,股票,价,涨,基金总持有,,,,,北上,市值.亿,PE,超额收益.相较于沪深300,,,行业
'57,688072.拓荆科技,'166.39,'-0.99%,'81,24.37%,44.08%,'+121.71%,'464,2.44%,'465,'211.47,2.81%,9.05%,18.33%,半导体
'58,688037.芯源微,'114.65,'-0.22%,'30,24.34%,24.34%,'+55.08%,'322,1.25%,'231,'300.0,12.61%,65.18%,'-12.2%,半导体
'59,002840.华统股份,'10.52,'-0.19%,'25,24.23%,31.92%,'+36.55%,'273,0.31%,'85,'33.91,'-6.09%,'-30.66%,'-44.16%,食品饮料
'60,688658.悦康药业,'32.59,'+2.90%,'19,24.22%,53.28%,'+67.82%,'128,0.70%,'147,亏损,120.44%,44.42%,55.36%,化学制药
'61,688002.睿创微纳,'70.77,'+8.03%,'30,24.19%,24.19%,'+46.08%,'299,2.88%,'323,'61.25,15.93%,154.35%,39.82%,半导体
'62,605266.健之佳,'21.95,'-0.86%,'10,24.07%,26.44%,'+67.00%,'120,'-,'34,'32.36,5.54%,'-16.34%,'-53.96%,医药商业
'63,000403.派林生物,'18.56,'+0.70%,'47,23.95%,25.75%,'+77.27%,'376,0.74%,'175,'26.86,8.26%,'-28.92%,19.51%,生物制品
'64,603179.新泉股份,'48.45,'+4.87%,'45,23.72%,23.72%,'+39.30%,'314,3.41%,'236,'24.18,3.83%,0.69%,2.55%,汽车零部件
'65,600089.特变电工,'13.40,'+0.37%,'166,23.67%,23.67%,'+26.27%,'421,4.40%,'677,'19.37,9.82%,'-16.28%,'-21.49%,电网设备
'66,688256.寒武纪-U,'694.34,'-0.09%,'152,23.47%,23.47%,'+49.83%,'734,3.75%,'2905,亏损,'-2.81%,163.87%,942.1%,半导体
'67,300476.胜宏科技,'197.65,'+4.32%,'65,23.43%,23.63%,'+244.71%,'532,3.21%,'1635,'87.94,129.62%,547.55%,1265.11%,电子元件
'68,603801.志邦家居,'10.04,'+0.20%,'13,23.34%,23.58%,'+200.90%,'164,0.43%,'44,'12.97,'-6.94%,'-14.8%,'-37.92%,装修建材
'69,688122.西部超导,'55.36,'+0.16%,'58,23.24%,23.24%,'+47.98%,'410,2.51%,'360,'47.22,8.18%,29.6%,'-37.54%,有色金属
'70,001301.尚太科技,'52.00,'+2.02%,'26,23.02%,37.64%,'+227.45%,'198,2.75%,'133,'14.57,'-5.16%,'-3.81%,'-2.31%,非金属材料
'71,600761.安徽合力,'18.44,'+1.60%,'42,23.01%,23.01%,'+167.33%,'574,1.73%,'164,'16.81,8.19%,'-12.51%,30.11%,工程机械
'72,000423.东阿阿胶,'51.30,'-0.68%,'92,22.86%,22.86%,'+38.68%,'499,9.35%,'333,'21.75,'-9.58%,'-21.39%,38.69%,中药
'73,002138.顺络电子,'28.90,'-1.30%,'51,22.84%,24.34%,'+107.17%,'535,6.23%,'236,'26.36,0.63%,'-7.26%,26.33%,电子元件
'74,300298.三诺生物,'20.95,'-0.57%,'32,22.71%,28.14%,'+68.01%,'223,3.96%,'118,'41.58,'-7.85%,'-40.55%,'-52.68%,医疗器械
'75,688083.中望软件,'68.79,'+3.23%,'14,22.42%,22.42%,'+175.29%,'176,0.43%,'117,亏损,'-4.15%,30.25%,'-47.26%,软件开发
'76,688301.奕瑞科技,'87.28,'+2.47%,'37,22.35%,22.35%,'+305.11%,'340,0.58%,'175,'41.19,'-7.03%,2.88%,'-62.68%,医疗器械
'77,002223.鱼跃医疗,'35.08,'-0.28%,'84,22.28%,23.79%,'+106.07%,'484,1.97%,'353,'26.03,'-4.97%,'-11.74%,'-9.28%,医疗器械
'78,000933.神火股份,'18.31,'+3.04%,'101,22.16%,22.27%,'+66.01%,'730,1.74%,'400,'10.47,'-1.54%,3.51%,30.08%,有色金属
'79,301030.仕净科技,'18.62,'+1.03%,'11,22.09%,27.71%,'+86.24%,'159,1.27%,'37,亏损,'-4.37%,'-48.02%,'-43.34%,专用设备
'80,600559.老白干酒,'16.84,'-0.06%,'37,22.06%,22.31%,'+129.38%,'287,0.50%,'154,'20.41,'-7.32%,'-26.06%,'-31.35%,酿酒行业
'81,002422.科伦药业,'37.57,'+0.05%,'107,22.05%,26.99%,'+51.71%,'742,2.50%,'600,'24.25,7.9%,'-5.23%,52.77%,化学制药
'82,600584.长电科技,'34.96,'+0.63%,'125,22.05%,22.05%,'+127.75%,'762,5.65%,'626,'38.31,'-1.8%,'-11.37%,37.62%,半导体
'83,688377.迪威尔,'31.09,'+10.44%,'5,22.00%,22.00%,'+28.82%,'91,'-,'61,'78.32,55.2%,140.16%,'-29.1%,专用设备
'84,603035.常熟汽饰,'13.70,'-0.07%,'11,21.99%,21.99%,'+1.46%,'137,0.33%,'52,'15.82,0.66%,'-17.32%,'-51.47%,汽车零部件
'85,605305.中际联合,'37.34,'-1.99%,'12,21.98%,21.98%,'+262.26%,'240,1.49%,'79,'25.53,37.5%,37.87%,28.63%,风电设备
'86,688687.凯因科技,'35.90,'+0.84%,'10,21.96%,21.96%,'+121.38%,'190,'-,'61,'43.76,37.41%,56.96%,80.75%,生物制品
'87,002332.仙琚制药,'10.46,'-0.67%,'25,21.96%,22.07%,'+528.38%,'297,0.56%,'104,'19.01,12.42%,'-36.17%,'-6.23%,化学制药
'88,600422.昆药集团,'14.61,'-0.95%,'29,21.84%,21.84%,'+85.83%,'217,1.26%,'111,'29.23,'-10.97%,'-18.42%,'-20.54%,中药
'89,300662.科锐国际,'32.85,'-0.42%,'7,21.83%,21.89%,'+89.44%,'186,0.27%,'65,'40.0,3.35%,123.63%,'-21.17%,专业服务
'90,300394.天孚通信,'103.03,'-0.17%,'106,21.68%,21.73%,'+71.51%,'1033,2.31%,'802,'58.26,86.02%,75.36%,590.19%,通信设备
'91,300567.精测电子,'59.26,'+0.87%,'33,21.51%,29.05%,'-1.92%,'242,0.63%,'164,亏损,'-7.61%,'-15.84%,4.49%,仪器仪表
'92,688536.思瑞浦,'149.04,'+2.89%,'28,21.42%,21.42%,'+71.25%,'193,0.70%,'198,亏损,'-4.2%,67.25%,'-54.14%,半导体
'93,603606.东方电缆,'48.27,'-0.29%,'72,21.39%,21.39%,'+89.35%,'699,6.09%,'332,'33.53,'-8.37%,'-25.71%,'-46.55%,电网设备
'94,688676.金盘科技,'44.29,'+5.30%,'51,21.30%,21.30%,'+421.37%,'364,2.77%,'203,'37.08,26.83%,13.94%,3.55%,电网设备
'95,600993.马应龙,'28.82,'-1.74%,'24,21.20%,21.24%,'+314.98%,'246,2.87%,'124,'24.23,2.7%,'-5.29%,11.52%,中药
'96,688279.峰岹科技,'188.40,'-0.45%,'22,21.15%,34.97%,'+25.00%,'169,3.58%,'215,'113.38,'-24.98%,60.95%,125.73%,半导体
'97,300002.神州泰岳,'13.49,'-1.25%,'33,21.00%,22.64%,'+100.42%,'453,2.87%,'269,'24.74,17.64%,27.7%,195.12%,游戏
'98,603997.继峰股份,'11.87,'+0.51%,'27,20.98%,22.78%,'+163.71%,'212,0.88%,'151,亏损,'-13.01%,'-21.34%,'-22.67%,汽车零部件
'99,002387.维信诺,'9.63,'+0.42%,'18,20.96%,21.05%,'-12.28%,'57,0.59%,'134,亏损,0.15%,5.25%,41.1%,光学光电子
'100,002832.比音勒芬,'16.07,'+0.69%,'29,20.77%,30.44%,'+29.29%,'267,0.56%,'91,'12.76,'-9.49%,'-36.36%,'-38.64%,纺织服装
