,股票,价,涨,基金总持有,,,,,北上,市值.亿,PE,超额收益.相较于沪深300,,,行业
,,,,市值.亿,占总股本,占流通,变更,机构数,,,,近3月,近1年,近3年,
'57,300298.三诺生物,'20.95,'-0.57%,'18,13.41%,16.62%,'-40.18%,'21,3.96%,'118,'41.58,'-7.85%,'-40.55%,'-52.68%,医疗器械
'58,300059.东方财富,'23.63,0.00%,'474,13.30%,15.71%,'-5.02%,'351,3.06%,'3734,'37.29,0.56%,100.08%,64.23%,互联网服务
'59,300750.宁德时代,'265.00,'-0.26%,'1468,13.18%,14.87%,'-13.61%,'1861,13.78%,'12114,'23.24,'-3.14%,19.02%,17.26%,电池
'60,300002.神州泰岳,'13.49,'-1.25%,'34,13.14%,14.17%,'-32.38%,'59,2.87%,'269,'24.74,17.64%,27.7%,195.12%,游戏
'61,000860.顺鑫农业,'15.86,'-0.06%,'16,13.13%,13.13%,'-19.65%,'12,0.40%,'118,'152.25,'-4.95%,'-17.63%,'-44.77%,酿酒行业
'62,688361.中科飞测,'85.99,'-2.08%,'33,12.98%,17.01%,'-53.77%,'77,0.35%,'277,亏损,5.25%,47.13%,14.33%,半导体
'63,688111.金山办公,'309.66,'-0.08%,'178,12.86%,12.86%,'-34.77%,'237,3.71%,'1434,'89.98,'-0.23%,51.5%,'-2.12%,软件开发
'64,001283.豪鹏科技,'79.12,'-2.32%,'6,12.85%,18.21%,'-43.70%,'16,'-,'65,'64.34,46.43%,102.92%,36.01%,电池
'65,603179.新泉股份,'48.45,'+4.87%,'30,12.85%,12.85%,'-45.89%,'57,3.41%,'236,'24.18,3.83%,0.69%,2.55%,汽车零部件
'66,300679.电连技术,'48.92,'+0.51%,'31,12.81%,15.17%,'-52.66%,'87,3.20%,'207,'35.62,4.32%,25.85%,13.46%,消费电子
'67,002025.航天电器,'52.30,'-0.06%,'32,12.74%,12.86%,'-53.57%,'81,0.19%,'238,'169.41,1.1%,'-14.38%,'-43.26%,电子元件
'68,002821.凯莱英,'109.78,'-0.55%,'36,12.55%,14.09%,'-40.51%,'38,3.80%,'398,'44.2,34.24%,53.07%,'-34.94%,医疗服务
'69,688777.中控技术,'49.07,'+2.29%,'52,12.48%,12.61%,'-29.43%,'50,5.33%,'388,'38.97,'-1.62%,'-1.14%,'-32.55%,软件开发
'70,002676.顺威股份,'8.61,'+6.03%,'6,12.47%,12.47%,'+0.50%,'5,'-,'58,'100.09,31.92%,71.09%,105.26%,家电行业
'71,002624.完美世界,'15.91,'+3.38%,'28,12.37%,13.13%,'-2.52%,'38,5.99%,'299,亏损,11.83%,86.68%,27.55%,游戏
'72,688123.聚辰股份,'75.42,'+1.49%,'16,12.33%,12.33%,'+163.26%,'34,3.76%,'119,'42.79,'-4.69%,37.58%,'-16.95%,半导体
'73,002896.中大力德,'94.38,'+10.00%,'16,12.30%,12.30%,'+136.41%,'22,1.08%,'169,'292.74,22.47%,296.81%,316.51%,通用设备
'74,603005.晶方科技,'30.35,'+5.60%,'25,12.25%,12.25%,'+36.96%,'89,0.63%,'198,'85.26,1.47%,44.6%,34.42%,半导体
'75,002371.北方华创,'331.58,'+0.94%,'272,12.25%,12.26%,'-31.84%,'523,10.19%,'2370,'39.07,'-2.58%,18.52%,58.74%,半导体
'76,603067.振华股份,'16.35,'+3.48%,'11,12.25%,12.25%,'+37.16%,'56,1.15%,'116,'22.84,3.39%,79.7%,52.97%,化学原料
'77,002138.顺络电子,'28.90,'-1.30%,'28,12.20%,13.06%,'-51.03%,'59,6.23%,'236,'26.36,0.63%,'-7.26%,26.33%,电子元件
'78,300203.聚光科技,'20.33,'-0.24%,'9,12.14%,12.15%,'-42.50%,'31,4.24%,'91,'68.74,'-4.86%,59.81%,'-56.44%,环保行业
'79,688369.致远互联,'32.99,'+0.76%,'5,12.08%,12.08%,'-4.29%,'20,'-,'38,亏损,11.15%,129.65%,'-48.18%,软件开发
'80,600809.山西汾酒,'182.10,'+0.45%,'314,12.02%,12.02%,'-16.61%,'223,4.02%,'2222,'17.57,'-16.08%,'-13.99%,'-35.3%,酿酒行业
