排名,股票,价,平均ROE,当前ROE,ROE详情,北上持股,扣非PE,PB,股息,A股市值,今年来,行业
'36,002027.分众传媒,'7.80,25.45%,28.45%,查看ROE详情,5.03%,'24.56,'6.36,1.25%,'1156.82,'+10.95%,文化传媒
'37,603619.中曼石油,'19.32,25.16%,22.31%,查看ROE详情,0.95%,'12.01,'2.10,3.78%,'89.32,'+1.32%,采掘行业
'38,603444.吉比特,'384.78,25.11%,19.72%,查看ROE详情,9.68%,'29.06,'5.35,2.60%,'277.20,'+78.42%,游戏
'39,601899.紫金矿业,'20.16,24.96%,27.38%,查看ROE详情,7.72%,'15.16,'3.67,1.88%,'4150.69,'+35.27%,有色金属
'40,301015.百洋医药,'23.77,24.86%,23.06%,查看ROE详情,0.27%,'20.56,'4.94,3.30%,'121.47,'+2.43%,医药商业
'41,688036.传音控股,'85.61,24.85%,21.72%,查看ROE详情,2.82%,'27.65,'4.70,3.50%,'976.25,'-8.01%,消费电子
'42,600873.梅花生物,'11.12,24.60%,19.84%,查看ROE详情,2.82%,'10.70,'2.05,5.41%,'317.23,'+15.26%,化学制品
'43,600961.株冶集团,'11.82,24.58%,21.81%,查看ROE详情,0.71%,'14.42,'2.81,'-,'126.81,'+50.19%,有色金属
'44,300033.同花顺,'292.70,24.17%,28.92%,查看ROE详情,2.29%,'88.65,'24.33,1.02%,'1576.62,'+2.85%,软件开发
'45,600188.兖矿能源,'13.31,24.16%,16.24%,查看ROE详情,1.84%,'10.31,'1.56,5.79%,'793.54,'-2.00%,煤炭行业
'46,601882.海天精工,'20.13,24.16%,18.73%,查看ROE详情,0.18%,'23.37,'3.75,1.79%,'105.08,'-6.45%,通用设备
'47,000858.五粮液,'122.16,24.12%,22.39%,查看ROE详情,3.08%,'14.54,'3.20,4.71%,'4733.62,'-8.71%,酿酒行业
'48,603369.今世缘,'39.45,24.04%,22.08%,查看ROE详情,2.75%,'14.08,'2.88,3.04%,'491.86,'-10.32%,酿酒行业
'49,603283.赛腾股份,'39.39,24.02%,19.38%,查看ROE详情,0.40%,'22.24,'3.42,1.02%,'109.74,'-19.64%,专用设备
'50,000895.双汇发展,'24.95,23.94%,21.88%,查看ROE详情,1.81%,'18.70,'3.89,5.64%,'865.47,'-1.12%,食品饮料
'51,300750.宁德时代,'265.00,23.91%,23.77%,查看ROE详情,13.78%,'23.24,'4.11,2.18%,'11699.82,'+2.10%,电池
'52,300979.华利集团,'52.28,23.87%,22.52%,查看ROE详情,0.49%,'16.36,'3.39,4.37%,'614.43,'-30.61%,纺织服装
'53,603699.纽威股份,'33.24,23.24%,28.55%,查看ROE详情,8.19%,'21.43,'5.55,4.56%,'255.47,'+55.34%,通用设备
'54,603129.春风动力,'244.01,23.15%,26.73%,查看ROE详情,3.88%,'23.56,'5.52,1.58%,'372.30,'+58.75%,交运设备
'55,603855.华荣股份,'21.64,22.92%,23.11%,查看ROE详情,3.20%,'15.68,'3.26,4.62%,'73.04,'+11.95%,专用设备
'56,600563.法拉电子,'111.41,22.90%,20.79%,查看ROE详情,7.06%,'23.23,'4.52,1.80%,'250.67,'-4.52%,电子元件
'57,300724.捷佳伟创,'66.80,22.84%,27.39%,查看ROE详情,2.41%,'8.91,'2.00,1.77%,'236.20,'+8.09%,光伏设备
'58,603025.大豪科技,'14.29,22.77%,24.85%,查看ROE详情,0.36%,'25.95,'6.24,2.43%,'159.57,'-3.76%,专用设备
'59,002011.盾安环境,'12.15,22.73%,20.40%,查看ROE详情,1.21%,'13.44,'2.21,'-,'126.25,'+12.40%,家电行业
'60,300910.瑞丰新材,'57.14,22.70%,23.09%,查看ROE详情,1.34%,'23.09,'4.66,2.14%,'165.61,'+22.53%,化学制品
'61,002158.汉钟精机,'17.35,22.64%,20.48%,查看ROE详情,0.77%,'11.62,'2.14,3.35%,'92.45,'-3.21%,通用设备
'62,300866.安克创新,'131.43,22.60%,25.95%,查看ROE详情,8.93%,'33.03,'7.10,1.68%,'664.60,'+36.66%,消费电子
'63,300832.新产业,'55.70,22.55%,21.68%,查看ROE详情,2.83%,'24.77,'4.78,2.37%,'430.57,'-19.59%,医疗器械
'64,603360.百傲化学,'20.69,22.51%,16.60%,查看ROE详情,0.34%,'53.34,'7.94,2.07%,'146.12,'+33.06%,农药兽药
'65,688019.安集科技,'149.46,22.42%,23.34%,查看ROE详情,7.58%,'43.25,'8.75,0.23%,'251.82,'+39.73%,电子化学品
'66,600285.羚锐制药,'23.10,22.29%,23.98%,查看ROE详情,1.73%,'19.71,'3.96,3.90%,'131.00,'+8.34%,中药
'67,603871.嘉友国际,'11.61,22.27%,22.27%,查看ROE详情,0.55%,'13.13,'2.71,4.31%,'158.83,'-13.61%,物流行业
'68,002594.比亚迪,'104.35,22.21%,23.82%,查看ROE详情,7.07%,'23.09,'4.10,1.26%,'5697.88,'+12.07%,汽车整车
'69,601702.华峰铝业,'16.40,22.16%,23.27%,查看ROE详情,0.47%,'13.64,'2.82,1.83%,'163.76,'-8.78%,有色金属
