序,股票,关注度,价,涨,北上持股,扣非PE,PB,股息,ROE,市值(亿),今年来,行业
'43,SH600150.中国船舶,'23,'38.51,'+10.00%,3.58%,'44.73,'3.31,0.65%,8.63%,'1722.33,'+7.97%,船舶制造
'60,SZ001318.阳光乳业,'23,'14.38,'+0.07%,'-,'34.01,'2.85,1.25%,8.27%,'40.62,'+28.27%,食品饮料
'61,SH688220.翱捷科技-U,'23,'90.20,'+0.22%,1.06%,'-1.00,'6.73,0.00%,'-1.00%,'377.31,'+66.76%,半导体
'71,SZ300373.扬杰科技,'23,'56.68,'+0.84%,1.46%,'29.95,'3.38,1.17%,12.55%,'305.42,'+31.33%,半导体
'74,SH688180.君实生物-U,'23,'41.28,'+4.61%,1.71%,'-1.00,'7.54,0.00%,'-1.00%,'316.37,'+51.04%,生物制品
'32,SH601918.新集能源,'22,'6.63,'+1.22%,0.47%,'7.33,'1.06,2.26%,15.36%,'171.75,'-7.66%,煤炭行业
'40,SH601628.中国人寿,'22,'41.52,'+0.65%,0.38%,'10.18,'2.20,1.57%,22.73%,'8645.93,'+0.17%,保险
'41,SH601658.邮储银行,'22,'5.90,'+0.85%,0.94%,'8.33,'0.71,3.51%,8.57%,'5914.09,'+9.02%,银行
'50,SH600219.南山铝业,'22,'4.05,'+0.75%,6.45%,'8.15,'0.91,4.21%,11.42%,'470.35,'+6.16%,有色金属
'59,SH603259.药明康德,'22,'93.58,'+0.31%,12.13%,'24.09,'4.49,1.43%,24.03%,'2325.59,'+73.71%,医疗服务
'79,SZ002475.立讯精密,'22,'36.21,'-0.71%,4.73%,'22.19,'3.65,0.55%,21.20%,'2644.81,'-10.66%,消费电子
'30,SH600967.内蒙一机,'21,'23.66,'+10.00%,0.12%,0.00,'3.42,0.62%,4.43%,'402.64,'+179.44%,交运设备
'44,SZ000063.中兴通讯,'21,'34.55,'+0.38%,2.19%,'30.01,'2.28,1.79%,11.37%,'1386.45,'-12.81%,通信设备
'49,SH600028.中国石化,'21,'5.71,0.00%,0.91%,'16.07,'0.83,5.01%,5.42%,'5551.96,'-12.46%,石油行业
'62,SZ000651.格力电器,'21,'46.90,'+0.39%,6.82%,'8.36,'1.83,2.14%,25.25%,'2616.98,'+5.43%,家电行业
'66,SH600580.卧龙电驱,'21,'24.94,'+6.67%,0.69%,'57.97,'3.77,0.50%,8.40%,'389.59,'+75.10%,电机
'68,SZ002100.天康生物,'21,'6.44,'-0.15%,0.21%,'13.96,'1.24,3.41%,10.33%,'88.06,'+1.74%,农牧饲渔
'69,SH688981.中芯国际,'21,'90.78,'+0.87%,3.19%,'227.05,'4.85,0.00%,3.11%,'1805.03,'-4.06%,半导体
