,股票,价,涨,ROE,股息,扣非PE,PB,市值(亿),今年来,行业
'228,000791.甘肃能源,'6.66,'+0.30%,18.17%,2.71%,'18.74,'1.53,'215.39,'+13.63%,电力行业
'229,605599.菜百股份,'15.45,'+1.18%,18.17%,4.66%,'16.95,'2.76,'120.17,'+41.55%,珠宝首饰
'230,603262.技源集团,'30.45,'-0.91%,18.17%,'-,'69.50,'12.43,'121.80,'+179.87%,食品饮料
'231,601717.中创智领,'17.39,0.00%,18.16%,6.44%,'8.47,'1.38,'268.18,'+42.96%,汽车零部件
'232,600795.国电电力,'4.58,0.00%,18.12%,4.37%,'18.00,'1.41,'816.87,'+2.31%,电力行业
'233,002835.同为股份,'18.93,'+0.27%,18.10%,1.69%,'21.31,'3.35,'41.44,'+0.29%,计算机设备
'234,600938.中国海油,'26.01,'-0.08%,18.09%,4.93%,'9.44,'1.58,'777.70,'-9.85%,石油行业
'235,000933.神火股份,'18.31,'+3.04%,18.07%,4.50%,'10.47,'1.78,'399.71,'+11.54%,有色金属
'236,603179.新泉股份,'48.45,'+4.87%,18.04%,0.62%,'24.18,'4.04,'236.10,'+14.22%,汽车零部件
'237,300514.友讯达,'13.93,'+0.51%,18.03%,2.16%,'16.52,'2.64,'27.72,'-1.44%,电网设备
'238,300442.润泽科技,'48.19,'+1.09%,18.02%,1.15%,'44.87,'7.51,'779.09,'-7.03%,互联网服务
'239,002028.思源电气,'77.30,'-0.59%,18.02%,0.64%,'30.66,'4.70,'605.29,'+7.05%,电网设备
'240,688605.先锋精科,'60.41,'+1.05%,18.02%,0.33%,'58.76,'8.00,'122.26,'-21.16%,半导体
'241,603530.神马电力,'29.85,'+2.05%,18.01%,1.54%,'42.03,'6.97,'128.86,'+22.88%,电网设备
'242,601958.金钼股份,'12.95,'+1.09%,17.97%,3.09%,'14.10,'2.36,'417.85,'+28.73%,小金属
'243,688082.盛美上海,'122.29,'-1.59%,17.95%,0.53%,'42.41,'6.68,'539.65,'+22.93%,半导体
'244,002170.芭田股份,'10.31,'+0.49%,17.95%,2.72%,'18.95,'2.93,'99.22,'+21.23%,化肥行业
'245,600729.重庆百货,'28.86,'-0.21%,17.90%,4.72%,'10.36,'1.60,'127.12,'+3.50%,商业百货
'246,603279.景津装备,'15.80,'-0.44%,17.88%,6.71%,'11.66,'1.97,'91.08,'-9.41%,通用设备
'247,603338.浙江鼎力,'50.32,'+0.46%,17.88%,1.99%,'15.06,'2.44,'254.79,'-20.22%,工程机械
'248,001337.四川黄金,'23.71,'+0.04%,17.85%,1.48%,'37.83,'6.39,'99.54,'+14.71%,贵金属
'249,002827.高争民爆,'46.06,'-2.02%,17.85%,0.32%,'95.44,'14.02,'129.75,'+82.90%,化学制品
'250,300015.爱尔眼科,'12.82,'-0.31%,17.85%,1.24%,'36.17,'5.49,'1199.25,'-1.99%,医疗服务
'251,601319.中国人保,'8.44,'+0.48%,17.81%,0.75%,'7.97,'1.34,'2996.01,'+11.79%,保险
'252,600803.新奥股份,'18.85,'+0.11%,17.77%,5.46%,'15.36,'2.36,'583.80,'-8.29%,燃气
'253,300770.新媒股份,'41.41,'-0.24%,17.71%,6.91%,'13.96,'2.54,'95.11,'+4.39%,文化传媒
'254,688300.联瑞新材,'53.63,'-0.80%,17.70%,0.72%,'53.96,'8.24,'129.50,'+9.34%,非金属材料
'255,600845.宝信软件,'25.18,'+1.33%,17.67%,2.38%,'35.71,'6.03,'543.88,'-11.89%,互联网服务
'256,003041.真爱美家,'28.06,'-1.06%,17.67%,1.41%,'47.53,'2.62,'40.84,'+6.12%,纺织服装
'257,002891.中宠股份,'57.44,'-2.18%,17.67%,0.66%,'39.92,'6.20,'178.73,'+61.28%,农牧饲渔
'258,301622.英思特,'85.75,'+0.34%,17.65%,0.47%,'58.36,'6.63,'99.08,'+38.50%,电子元件
'259,001376.百通能源,'12.17,'-0.33%,17.61%,1.23%,'33.03,'4.93,'56.28,'-16.09%,公用事业
'260,603565.中谷物流,'10.27,'+0.20%,17.56%,7.69%,'17.16,'1.86,'215.68,'+13.39%,物流行业
'261,600861.北京人力,'20.86,'-1.79%,17.55%,3.35%,'23.99,'1.66,'118.09,'+11.79%,专业服务
'262,601137.博威合金,'18.89,'+1.78%,17.54%,2.65%,'11.11,'1.75,'153.29,'-4.21%,有色金属
'263,300880.迦南智能,'20.57,'+0.88%,17.54%,2.21%,'22.94,'3.67,'39.79,'-5.29%,电网设备
'264,002833.弘亚数控,'16.85,'+2.56%,17.51%,4.26%,'14.51,'2.35,'69.70,'+2.58%,专用设备
'265,300124.汇川技术,'65.86,'+1.62%,17.48%,0.63%,'39.01,'5.91,'1746.86,'+13.14%,电子元件
'266,002050.三花智控,'27.65,'+2.71%,17.44%,1.30%,'34.33,'5.60,'1004.76,'+18.71%,家电行业
'267,002215.诺普信,'11.88,'-0.25%,17.44%,2.94%,'17.60,'2.68,'119.72,'+9.05%,农药兽药
'268,002275.桂林三金,'16.15,'-7.08%,17.43%,3.45%,'25.13,'3.26,'102.12,'+9.70%,中药
'269,605116.奥锐特,'23.45,'-0.04%,17.43%,1.24%,'24.95,'3.90,'95.25,'+12.60%,化学制药
'270,603100.川仪股份,'20.59,'+0.78%,17.41%,2.79%,'17.31,'2.39,'105.67,'-1.79%,仪器仪表
'271,300009.安科生物,'11.09,'-3.82%,17.34%,2.17%,'30.18,'4.72,'192.84,'+32.22%,生物制品
'272,600690.海尔智家,'25.23,'+0.80%,17.29%,3.82%,'12.78,'2.01,'1578.01,'-8.18%,家电行业
'273,000700.模塑科技,'8.00,'-0.12%,17.29%,4.07%,'13.12,'2.02,'73.53,'+17.49%,汽车零部件
'274,688188.柏楚电子,'137.61,'+1.18%,17.23%,1.49%,'45.18,'6.92,'396.86,'+0.26%,软件开发
'275,300547.川环科技,'38.23,'+3.63%,17.23%,1.13%,'40.91,'6.42,'80.02,'+40.19%,橡胶制品
'276,300453.三鑫医疗,'8.78,'-1.90%,17.23%,3.35%,'21.89,'3.38,'46.75,'+20.66%,医疗器械
'277,301552.科力装备,'43.65,'+7.62%,17.23%,1.76%,'26.65,'3.27,'38.61,'+6.10%,汽车零部件
'278,301301.川宁生物,'12.46,'-0.72%,17.23%,2.15%,'21.05,'3.42,'279.88,'+7.30%,生物制品
'279,600989.宝丰能源,'15.74,'+0.77%,17.21%,1.78%,'14.62,'2.54,'1154.27,'-4.05%,化学原料
'280,605183.确成股份,'20.48,'-0.78%,17.11%,1.46%,'15.57,'2.45,'85.17,'+23.59%,橡胶制品
'281,603998.方盛制药,'11.03,'-2.82%,17.09%,2.81%,'23.06,'2.91,'48.43,'+8.60%,中药
'282,600114.东睦股份,'26.44,'+5.13%,17.09%,1.13%,'36.16,'5.66,'162.97,'+65.95%,通用设备
'283,301595.太力科技,'40.38,'+1.71%,16.98%,'-,'50.99,'8.39,'42.99,'+136.83%,家用轻工
'284,603040.新坐标,'49.78,'+2.28%,16.97%,1.81%,'32.65,'4.75,'67.94,'+121.44%,汽车零部件
'285,002098.浔兴股份,'9.49,'+0.42%,16.97%,1.06%,'15.68,'2.46,'33.83,'+20.12%,纺织服装
'286,301630.同宇新材,'184.63,'+4.98%,16.96%,'-,'50.25,'8.42,'70.35,'+119.80%,电子化学品
'287,300638.广和通,'29.78,'+3.22%,16.95%,1.21%,'49.57,'5.92,'220.83,'+49.74%,通信设备
'288,000915.华特达因,'34.74,'-0.26%,16.95%,7.18%,'16.05,'2.64,'81.62,'+31.39%,化学制药
'289,603811.诚意药业,'15.60,'+5.41%,16.95%,1.60%,'36.14,'3.93,'51.06,'+107.43%,化学制药
'290,688120.华海清科,'109.10,'+0.09%,16.91%,0.34%,'43.00,'5.73,'385.56,'-0.37%,半导体
'291,002130.沃尔核材,'23.10,'-0.39%,16.87%,0.59%,'33.71,'5.07,'292.17,'-7.97%,非金属材料
'292,002262.恩华药业,'23.31,'-1.56%,16.86%,1.52%,'19.90,'3.14,'240.63,'-2.69%,化学制药
'293,603730.岱美股份,'5.72,'+1.42%,16.86%,4.71%,'15.41,'2.46,'122.90,'-13.53%,汽车零部件
'294,688692.达梦数据,'244.78,'+2.26%,16.84%,0.44%,'71.95,'8.31,'277.19,'+0.21%,软件开发
'295,000429.粤高速Ａ,'12.55,'+0.40%,16.81%,4.18%,'16.23,'2.36,'217.76,'-11.31%,铁路公路
'296,300354.东华测试,'41.26,'+2.25%,16.78%,0.44%,'46.07,'7.13,'55.81,'+19.14%,仪器仪表
'297,601126.四方股份,'17.24,'+0.88%,16.76%,4.18%,'19.09,'2.97,'143.66,'+6.11%,电网设备
'298,002895.川恒股份,'25.03,'+1.01%,16.75%,4.38%,'15.16,'2.36,'150.58,'+7.09%,化学原料
'299,002572.索菲亚,'13.82,'-0.43%,16.74%,7.20%,'12.29,'1.79,'133.67,'-13.88%,装修建材
'300,001388.信通电子,'47.00,'+0.34%,16.74%,'-,'57.59,'8.49,'73.07,'+186.24%,电网设备
