序,股票,价,涨,推荐数,北上,扣非PE,PB,股息,ROE,6月内涨,市值.亿,今年来,行业
'43,600066.宇通客车,'25.65,'-1.65%,'38,10.72%,'16.04,'4.01,5.85%,29.34%,'+3.59%,'567.88,'+1.02%,汽车整车
'44,600415.小商品城,'19.64,'-1.36%,'38,6.41%,'34.88,'5.05,1.68%,15.92%,'+58.51%,'1076.99,'+49.07%,商业百货
'45,002142.宁波银行,'28.92,'+1.51%,'37,3.77%,'6.80,'0.80,3.16%,12.37%,'+17.78%,'1881.36,'+22.93%,银行
'46,002463.沪电股份,'52.58,0.00%,'37,6.41%,'36.19,'7.99,0.95%,24.65%,'+26.21%,'1011.49,'+34.76%,电子元件
'47,688271.联影医疗,'129.15,'+0.47%,'37,2.67%,'97.77,'5.25,0.15%,6.42%,'-8.90%,'1064.40,'+2.23%,医疗器械
'48,600276.恒瑞医药,'61.58,'-1.16%,'37,8.39%,'61.92,'8.70,0.32%,15.40%,'+32.92%,'3928.19,'+34.64%,化学制药
'49,600426.华鲁恒升,'23.68,'+0.42%,'37,3.60%,'14.35,'1.58,2.53%,11.49%,'+18.40%,'502.78,'+11.11%,化学原料
'50,002487.大金重工,'31.40,'-4.33%,'37,3.04%,'33.03,'2.79,0.24%,9.01%,'+65.42%,'209.31,'+53.65%,风电设备
'51,002050.三花智控,'27.65,'+2.71%,'37,4.72%,'34.33,'5.60,1.30%,17.44%,'-20.14%,'1004.76,'+18.71%,家电行业
'52,603997.继峰股份,'11.87,'+0.51%,'37,0.88%,亏损,'3.12,0.00%,'-1.00%,'+6.55%,'150.51,'+3.67%,汽车零部件
'53,000568.泸州老窖,'127.58,'+0.45%,'36,2.22%,'13.91,'3.73,1.07%,27.99%,'+7.64%,'1869.53,'+3.10%,酿酒行业
'54,000157.中联重科,'7.44,'+1.64%,'36,2.57%,'23.89,'1.08,4.10%,6.95%,'-1.08%,'519.43,'+6.90%,工程机械
