排名,股票,价,涨,PEG,PE.扣非,预测增速,北上持股,PB,股息,ROE,市值.亿,今年来,行业
'75,SH601899.紫金矿业,'20.16,'+1.46%,'1.02,'14.90,14.81%,7.72%,'3.67,1.88%,27.38%,'4151,'+35.27%,有色金属
'76,SZ000755.山西高速,'4.99,'-0.40%,'1.02,'15.04,14.82%,0.31%,'1.35,3.99%,9.32%,'74,'+2.58%,铁路公路
'77,SZ002478.常宝股份,'5.57,'+0.36%,'1.02,'8.63,10.23%,0.60%,'0.87,3.96%,10.39%,'50,'+9.76%,钢铁行业
'78,SH600060.海信视像,'22.51,'-1.96%,'1.03,'12.59,15.09%,4.35%,'1.45,3.58%,11.86%,'294,'+12.89%,家电行业
'79,SH600690.海尔智家,'25.23,'+0.80%,'1.03,'12.17,12.41%,7.19%,'2.01,3.82%,17.29%,'1578,'-8.18%,家电行业
'80,SH601009.南京银行,'11.98,'+0.17%,'1.03,'7.20,7.08%,2.88%,'0.77,4.09%,11.17%,'1481,'+14.38%,银行
'81,SH600863.内蒙华电,'4.06,'+0.25%,'1.04,'12.15,11.91%,0.61%,'1.41,5.42%,11.46%,'265,'-1.28%,电力行业
'82,SH601001.晋控煤业,'14.50,'+6.62%,'1.04,'9.55,9.20%,1.32%,'1.27,5.21%,13.74%,'243,'+11.94%,煤炭行业
'83,SH603298.杭叉集团,'21.70,'+1.73%,'1.04,'13.67,13.35%,4.11%,'2.68,2.30%,21.25%,'284,'+24.52%,工程机械
'84,SZ002001.新和成,'22.26,'+0.14%,'1.04,'9.93,9.56%,6.24%,'2.23,3.15%,24.43%,'683,'+4.55%,化学制药
'85,SZ002895.川恒股份,'25.03,'+1.01%,'1.04,'14.71,14.53%,0.73%,'2.36,4.38%,16.75%,'151,'+7.09%,化学原料
'86,SH603198.迎驾贡酒,'41.16,'+0.10%,'1.05,'13.15,12.67%,1.12%,'3.09,3.64%,25.15%,'329,'-20.82%,酿酒行业
'87,SZ002170.芭田股份,'10.31,'+0.49%,'1.05,'18.83,17.97%,1.07%,'2.93,2.72%,17.95%,'99,'+21.23%,化肥行业
'88,SH601872.招商轮船,'6.25,'+2.12%,'1.06,'10.98,10.60%,2.93%,'1.24,4.11%,11.64%,'505,'-0.16%,航运港口
'89,SH603355.莱克电气,'23.55,'+0.04%,'1.07,'11.38,11.40%,1.17%,'2.61,6.37%,24.19%,'135,'+3.97%,家电行业
'90,SH603556.海兴电力,'27.64,'+2.64%,'1.08,'14.46,13.88%,2.14%,'1.85,2.53%,13.17%,'134,'-23.17%,电网设备
'91,SZ002083.孚日股份,'5.01,'+0.81%,'1.09,'12.22,11.26%,'-,'1.04,5.51%,9.10%,'47,'+5.61%,纺织服装
'92,SZ300514.友讯达,'13.93,'+0.51%,'1.09,'15.66,15.15%,'-,'2.64,2.16%,18.03%,'28,'-1.44%,电网设备
'93,SH600036.招商银行,'45.12,'-0.29%,'1.10,'7.71,7.04%,6.62%,'0.91,4.43%,12.48%,'9308,'+19.78%,银行
'94,SH600098.广州发展,'6.49,'+0.31%,'1.10,'13.10,12.67%,0.67%,'0.85,4.16%,6.59%,'228,'+5.41%,电力行业
'95,SH600853.龙建股份,'3.75,'-0.79%,'1.10,'9.17,8.60%,'-,'1.02,1.07%,12.84%,'38,'-5.19%,工程建设
'96,SH601669.中国电建,'6.33,'-1.40%,'1.11,'9.40,9.24%,2.96%,'0.66,2.01%,7.03%,'1090,'+18.92%,工程建设
'97,SH601187.厦门银行,'7.10,0.00%,'1.12,'7.53,6.68%,2.96%,'0.59,4.37%,7.96%,'187,'+28.87%,银行
'98,SH603568.伟明环保,'19.20,'-0.05%,'1.12,'12.09,11.15%,1.31%,'2.33,2.50%,21.09%,'327,'-9.03%,环保行业
'99,SZ002296.辉煌科技,'11.63,'+0.87%,'1.12,'15.15,13.56%,'-,'1.89,1.73%,13.17%,'45,'+20.77%,通信设备
'100,SZ002318.久立特材,'22.33,'+0.90%,'1.12,'13.94,12.24%,4.57%,'2.66,4.38%,20.03%,'216,'-0.77%,钢铁行业
