序,股票,价,涨,持股比,持有市值.亿,近3月,近1年,近2年,近3年,PE,股息,市值,今年来,行业
'157,002648.卫星化学,'19.03,'+0.42%,4.46%,'26.04,'-3.75%,'-4.43%,'-7.22%,'-5.42%,'9.56,2.64%,'638.36,'+4.33%,化学原料
'158,601169.北京银行,'6.52,'-0.46%,4.46%,'64.38,'-0.06%,'-0.15%,'+0.33%,'+0.97%,'5.36,4.91%,'1378.52,'+11.25%,银行
'159,002250.联化科技,'10.63,'-1.12%,4.43%,'4.44,'+2.34%,'+3.49%,'+0.55%,'+2.63%,'62.10,0.19%,'97.97,'+93.28%,农药兽药
'160,600741.华域汽车,'18.02,'+0.50%,4.42%,'24.61,'+0.75%,'-0.48%,'-2.34%,'-2.88%,'9.75,4.44%,'568.12,'+6.87%,汽车零部件
'161,600089.特变电工,'13.40,'+0.37%,4.40%,'26.52,'+1.32%,'+1.55%,'+1.72%,'-1.02%,'19.37,1.87%,'677.07,'+7.32%,电网设备
'162,002379.宏创控股,'15.39,'+1.79%,4.39%,'6.62,'+2.42%,'+3.95%,%,%,'-,'-,'171.82,'+71.57%,有色金属
'163,002466.天齐锂业,'38.16,'+0.24%,4.39%,'20.77,'+0.59%,'-0.51%,'+0.02%,'+3.59%,'-,3.55%,'562.33,'+15.64%,能源金属
'164,688223.晶科能源,'5.39,'+0.94%,4.38%,'22.72,'+0.58%,'+2.94%,'+3.59%,%,'-,4.16%,'539.28,'-24.19%,光伏设备
'165,601528.瑞丰银行,'5.71,'-0.70%,4.37%,'4.96,'+0.26%,'+3.04%,'+4.23%,%,'6.45,3.50%,'112.04,'+5.43%,银行
'166,600073.光明肉业,'7.58,'-0.26%,4.35%,'3.01,'+2.58%,'+3.70%,'+3.28%,'+2.32%,'46.94,0.92%,'71.08,'+10.28%,食品饮料
'167,600060.海信视像,'22.51,'-1.96%,4.35%,'13.05,'-0.18%,'+1.56%,'+1.71%,'+4.29%,'15.53,3.58%,'293.75,'+12.89%,家电行业
'168,002460.赣锋锂业,'35.97,'+0.20%,4.35%,'23.68,'+0.02%,'-0.49%,'-3.61%,'-3.59%,'-,0.42%,'579.28,'+3.20%,能源金属
'169,002839.张家港行,'4.53,'-0.88%,4.34%,'4.78,'-0.36%,'-0.41%,'+2.25%,'+0.89%,'5.96,4.38%,'111.71,'+8.55%,银行
'170,002032.苏泊尔,'51.23,'-0.33%,4.34%,'18.21,'-0.75%,'-2.84%,'-4.84%,'-4.09%,'19.73,5.47%,'411.90,'+1.08%,家电行业
'171,600309.万华化学,'61.08,'+0.15%,4.33%,'73.76,'-0.29%,'-4.66%,'-5.24%,'-3.37%,'15.58,2.05%,'1912.09,'-13.25%,化学制品
'172,600710.苏美达,'10.85,'-1.27%,4.33%,'5.44,'-0.13%,'+1.19%,'+2.19%,%,'13.06,3.40%,'141.78,'+21.28%,贸易行业
'173,603659.璞泰来,'18.04,'+0.61%,4.33%,'17.38,'-0.01%,'+1.05%,'-2.93%,'-2.85%,'34.47,0.94%,'385.54,'+14.54%,电池
'174,600029.南方航空,'5.72,'-0.17%,4.32%,'34.33,'-0.02%,'+0.11%,'-1.09%,'-0.45%,'-,'-,'770.88,'-11.86%,航空机场
'175,601058.赛轮轮胎,'13.29,'+0.45%,4.31%,'18.59,'+0.86%,'+1.26%,'+2.12%,'+2.58%,'10.97,2.86%,'436.99,'-5.49%,橡胶制品
'176,600048.保利发展,'8.01,'-0.37%,4.30%,'41.67,'+1.37%,'+0.86%,'+1.53%,'+0.02%,'23.79,5.12%,'958.83,'-9.59%,房地产开发
'177,601077.渝农商行,'6.91,0.00%,4.28%,'27.05,'-0.62%,'+0.38%,'+0.24%,'+1.54%,'6.89,4.41%,'611.10,'+19.81%,银行
'178,600926.杭州银行,'16.36,'-0.43%,4.28%,'52.09,'+0.14%,'+1.48%,'+2.09%,'+2.01%,'6.72,3.58%,'1185.94,'+13.83%,银行
'179,000001.平安银行,'12.46,'-0.08%,4.27%,'100.07,'+0.88%,'+0.67%,'-1.63%,'-4.86%,'5.50,4.88%,'2419.92,'+9.85%,银行
'180,002489.浙江永强,'3.71,'-0.27%,4.27%,'3.39,'+2.35%,'+3.43%,'+1.94%,'+2.41%,'49.57,1.08%,'80.69,'+15.71%,家用轻工
'181,000700.模塑科技,'8.00,'-0.12%,4.26%,'3.07,'+0.28%,'+3.45%,'+4.26%,'+4.24%,'13.12,4.07%,'73.53,'+17.49%,汽车零部件
'182,600298.安琪酵母,'35.20,'+0.83%,4.25%,'12.98,'+0.16%,'+0.86%,'+0.98%,'-5.41%,'25.21,1.56%,'305.58,'-0.86%,食品饮料
'183,300203.聚光科技,'20.33,'-0.24%,4.24%,'4.21,'+2.87%,'+2.75%,'+1.02%,'+3.66%,'68.74,1.23%,'91.45,'+35.21%,环保行业
'184,600801.华新水泥,'15.40,'+0.79%,4.23%,'6.74,'-0.50%,'+2.05%,'+1.87%,'-0.16%,'17.14,2.99%,'207.02,'+32.38%,水泥建材
'185,601888.中国中免,'64.86,'-0.03%,4.23%,'50.40,'+0.80%,'-0.35%,'-5.43%,'-6.09%,'35.49,1.62%,'1266.38,'-1.51%,旅游酒店
'186,601997.贵阳银行,'6.46,'-0.92%,4.23%,'9.65,'+0.08%,'-0.22%,'+0.70%,'+2.54%,'4.73,4.49%,'236.19,'+13.00%,银行
'187,600125.铁龙物流,'5.78,'+0.17%,4.22%,'3.12,'+0.14%,'-0.28%,'-0.52%,'-1.38%,'21.41,1.56%,'75.46,'-0.98%,物流行业
'188,002284.亚太股份,'11.62,'+2.20%,4.21%,'3.44,'+1.38%,'+3.40%,'+3.62%,'+4.19%,'35.30,0.44%,'84.04,'+50.82%,汽车零部件
'189,300274.阳光电源,'76.90,'+1.98%,4.20%,'58.99,'-0.06%,'-5.98%,'-7.35%,'-10.93%,'12.73,1.43%,'1563.41,'+5.92%,光伏设备
'190,600050.中国联通,'5.34,'-0.74%,4.20%,'70.19,'+0.49%,'+1.16%,'+0.18%,'+1.51%,'24.79,2.99%,'1669.52,'+1.75%,通信服务
'191,600410.华胜天成,'11.99,'+6.11%,4.15%,'4.36,'-1.03%,'+3.19%,'+2.87%,'+4.07%,'-,0.06%,'131.47,'+65.72%,互联网服务
'192,300113.顺网科技,'20.40,'+4.78%,4.15%,'5.61,'+0.07%,'+3.00%,'+3.06%,'+2.90%,'57.71,0.46%,'133.09,'+21.94%,游戏
'193,002543.万和电气,'12.97,'+10.01%,4.15%,'3.43,'+0.02%,'-2.24%,'+3.65%,'+4.15%,'12.83,3.73%,'87.67,'+29.21%,家电行业
'194,002174.游族网络,'15.20,'+6.07%,4.13%,'4.68,'+3.26%,'+3.11%,'+1.62%,'+2.71%,'-,0.01%,'133.83,'+62.57%,游戏
'195,002273.水晶光电,'20.97,'+0.72%,4.12%,'11.45,'-3.85%,'+0.08%,'+1.21%,'+1.19%,'29.16,1.44%,'289.53,'-4.67%,光学光电子
'196,601600.中国铝业,'7.53,'+0.67%,4.12%,'38.29,'+0.03%,'-1.14%,'-0.10%,'+2.54%,'9.76,1.09%,'994.84,'+2.45%,有色金属
'197,603298.杭叉集团,'21.70,'+1.73%,4.11%,'11.27,'-0.54%,'-0.59%,'+2.74%,'+2.95%,'13.92,2.30%,'284.23,'+24.52%,工程机械
'198,002572.索菲亚,'13.82,'-0.43%,4.11%,'5.55,'-1.93%,'-8.41%,'-8.14%,'-6.52%,'12.29,7.20%,'133.67,'-13.88%,装修建材
'199,600588.用友网络,'15.60,'-0.70%,4.10%,'18.74,'+0.34%,'+0.31%,'-3.16%,'-3.16%,'-,'-,'533.05,'+45.39%,软件开发
'200,600941.中国移动,'108.27,'-0.73%,4.09%,'41.60,'+2.02%,'+2.29%,'+3.22%,'+4.04%,'18.64,4.31%,'977.43,'-6.56%,通信服务
'201,603345.安井食品,'73.82,'-0.42%,4.07%,'9.60,'-0.26%,'-5.47%,'-3.92%,'-0.40%,'19.18,4.53%,'216.51,'-7.05%,食品饮料
'202,002697.红旗连锁,'5.69,'-0.87%,4.06%,'2.95,'+0.73%,'-1.99%,'-0.56%,'+2.60%,'16.34,2.00%,'78.06,'-1.70%,商业百货
'203,301029.怡合达,'25.00,'-0.08%,4.06%,'5.88,'+0.01%,'+2.75%,'+0.53%,'+3.94%,'37.35,1.20%,'158.68,'+2.53%,通用设备
'204,603083.剑桥科技,'50.36,'-0.40%,4.05%,'5.14,'+3.54%,'+3.40%,'+3.69%,%,'81.26,0.50%,'134.97,'+24.62%,通信设备
'205,688608.恒玄科技,'228.69,'-1.23%,4.04%,'16.87,'-0.79%,'+1.35%,'+3.59%,%,'68.46,0.61%,'385.04,'-1.32%,半导体
'206,300435.中泰股份,'16.70,'+0.54%,4.04%,'2.36,'+1.70%,'+3.90%,'+3.23%,%,'-,1.20%,'64.07,'+40.27%,燃气
'207,600809.山西汾酒,'182.10,'+0.45%,4.02%,'86.43,'+0.17%,'+0.73%,'+0.70%,'+1.21%,'17.57,3.33%,'2221.55,'+2.34%,酿酒行业
'208,600486.扬农化工,'66.22,'+0.24%,4.02%,'9.45,'+0.20%,'-1.83%,'+0.15%,'-1.59%,'23.02,1.03%,'268.46,'+15.66%,农药兽药
'209,000538.云南白药,'55.96,'-0.39%,3.98%,'39.66,'+0.16%,'+0.11%,'-0.48%,'-0.98%,'21.24,4.27%,'1002.40,'-4.70%,中药
'210,002705.新宝股份,'15.18,'+0.20%,3.98%,'4.75,'-0.38%,'-3.88%,'+2.84%,'+2.74%,'11.01,2.97%,'123.00,'+4.45%,家电行业
'211,300014.亿纬锂能,'44.26,'+0.20%,3.97%,'37.24,'-0.17%,'+0.62%,'-1.06%,'-2.56%,'27.56,1.13%,'903.60,'-4.25%,电池
'212,300298.三诺生物,'20.95,'-0.57%,3.96%,'5.05,'+1.12%,'-2.35%,'-3.95%,'-2.96%,'41.58,1.05%,'118.05,'-18.05%,医疗器械
'213,002557.洽洽食品,'22.72,'-0.96%,3.95%,'4.32,'+0.05%,'-5.91%,'-16.43%,'-16.68%,'19.04,5.67%,'116.04,'-17.40%,食品饮料
'214,600460.士兰微,'26.30,'+1.35%,3.91%,'16.17,'+1.36%,'+1.73%,'+1.89%,'+1.37%,'166.03,0.15%,'437.65,'+1.24%,半导体
'215,688169.石头科技,'178.46,'-0.36%,3.91%,'15.85,'+0.03%,'-6.27%,'+1.05%,'+1.05%,'30.41,0.43%,'462.36,'+14.53%,家电行业
'216,603129.春风动力,'244.01,'+7.59%,3.88%,'12.81,'-1.66%,'+1.79%,'+1.59%,'+3.00%,'23.56,1.58%,'372.30,'+58.75%,交运设备
'217,601668.中国建筑,'5.66,'-0.18%,3.88%,'92.55,'+0.87%,'-0.67%,'-0.50%,'-1.10%,'5.61,4.80%,'2338.73,'-1.26%,工程建设
'218,600803.新奥股份,'18.85,'+0.11%,3.88%,'22.68,'+0.25%,'-0.05%,'-1.88%,'-1.64%,'15.36,5.46%,'583.80,'-8.29%,燃气
'219,600742.富维股份,'10.55,'+0.48%,3.87%,'2.74,'+0.85%,'+3.01%,'+2.34%,'+2.61%,'15.27,3.32%,'78.39,'+23.74%,汽车零部件
'220,601886.江河集团,'7.50,'+2.18%,3.87%,'2.69,0.00%,'+2.55%,'+3.69%,'+3.81%,'20.16,7.33%,'84.98,'+48.70%,装修装饰
'221,300136.信维通信,'24.35,'+0.83%,3.87%,'8.38,'+3.11%,'+1.34%,'+0.96%,'+2.63%,'49.55,0.21%,'233.67,'-4.07%,消费电子
'222,600976.健民集团,'41.69,'-1.00%,3.86%,'2.32,'+1.32%,'+3.34%,'+1.77%,'+3.81%,'20.24,2.16%,'63.95,'+2.17%,中药
'223,600987.航民股份,'7.25,'+0.42%,3.86%,'2.79,'+0.60%,'+2.37%,'+2.27%,'+3.67%,'10.76,4.14%,'74.01,'+8.95%,纺织服装
'224,600111.北方稀土,'36.61,'+0.44%,3.84%,'34.53,'+1.12%,'+1.06%,'+1.58%,'+1.52%,'99.34,0.10%,'1323.48,'+72.78%,小金属
'225,603279.景津装备,'15.80,'-0.44%,3.81%,'3.28,'-0.62%,'-0.54%,'-3.85%,'+1.16%,'11.66,6.71%,'91.08,'-9.41%,通用设备
'226,000524.岭南控股,'11.97,'-0.66%,3.81%,'3.00,'+0.11%,'+3.67%,'+3.43%,%,'129.58,0.66%,'80.76,'+24.51%,旅游酒店
'227,002033.丽江股份,'8.73,'-0.57%,3.80%,'1.82,'-0.02%,'+3.49%,'+0.71%,'+3.80%,'24.48,3.99%,'48.25,'+2.45%,旅游酒店
'228,000776.广发证券,'19.71,'+0.41%,3.80%,'37.72,'-0.40%,'+2.58%,'+2.60%,'+2.54%,'14.75,2.55%,'1158.96,'+24.44%,证券
'229,002821.凯莱英,'109.78,'-0.55%,3.80%,'11.17,'+1.14%,'+0.96%,'-0.20%,'-0.60%,'44.20,1.00%,'367.64,'+46.15%,医疗服务
'230,600109.国金证券,'9.34,'-0.11%,3.80%,'12.37,'+1.94%,'+2.47%,'+2.83%,'+2.06%,'19.04,1.28%,'346.75,'+8.39%,证券
'231,600745.闻泰科技,'36.74,'+0.33%,3.79%,'15.81,'+0.77%,'+0.68%,'+1.36%,'+0.43%,'-,0.34%,'457.26,'-5.26%,消费电子
'232,601377.兴业证券,'6.57,0.00%,3.78%,'20.19,'+0.75%,'+1.50%,'+2.03%,'+1.98%,'25.44,1.98%,'567.38,'+4.95%,证券
'233,002311.海大集团,'58.37,'+0.78%,3.78%,'36.83,'-1.68%,'-3.45%,'-2.50%,'-1.45%,'18.67,1.90%,'963.64,'+21.26%,农牧饲渔
'234,002142.宁波银行,'28.92,'+1.51%,3.77%,'68.10,'-0.08%,'-1.06%,'-1.73%,'-2.64%,'6.80,3.16%,'1881.36,'+22.93%,银行
'235,688123.聚辰股份,'75.42,'+1.49%,3.76%,'4.82,'+0.25%,'-0.46%,'+3.40%,%,'42.79,0.40%,'119.25,'+29.42%,半导体
'236,688256.寒武纪-U,'694.34,'-0.09%,3.75%,'94.46,'+0.05%,'+1.52%,'+2.69%,%,'-,'-,'2904.77,'+5.52%,半导体
'237,688095.福昕软件,'86.12,'+5.32%,3.74%,'2.32,'+1.85%,'+0.99%,'+3.29%,%,'-,0.35%,'78.75,'+28.83%,软件开发
'238,600380.健康元,'12.42,'-2.36%,3.74%,'7.54,'+0.82%,'-2.26%,'-0.92%,'-1.85%,'17.27,1.61%,'227.22,'+12.02%,化学制药
'239,002202.金风科技,'9.77,'-0.10%,3.74%,'13.23,'+1.16%,'+0.75%,'-3.77%,'-2.69%,'20.63,1.02%,'337.56,'-5.42%,风电设备
'240,300054.鼎龙股份,'28.81,'+1.69%,3.73%,'10.11,'-0.27%,'-1.34%,'-2.02%,'+2.13%,'49.75,0.35%,'267.59,'+11.11%,电子化学品
'241,300308.中际旭创,'210.52,'-0.19%,3.72%,'60.25,'-0.80%,'-6.43%,'+0.74%,'-4.85%,'41.50,0.24%,'2343.57,'+71.13%,通信设备
'242,600718.东软集团,'10.18,'+2.00%,3.72%,'4.38,'-0.08%,'+1.97%,'+2.12%,'+3.70%,'-,1.50%,'121.06,'-3.98%,互联网服务
'243,688111.金山办公,'309.66,'-0.08%,3.71%,'48.17,'-0.07%,'-0.97%,'+0.32%,'+0.07%,'89.98,0.29%,'1434.28,'+8.49%,软件开发
'244,601019.山东出版,'9.12,'-0.44%,3.70%,'7.31,'-0.46%,'-1.72%,'-2.14%,'-0.16%,'12.55,3.40%,'190.33,'-17.29%,文化传媒
'245,000603.盛达资源,'16.02,'+0.63%,3.70%,'3.81,'+0.20%,'+0.75%,'+1.63%,'+2.68%,'40.06,0.63%,'109.84,'+34.48%,有色金属
'246,600153.建发股份,'10.20,'-0.10%,3.69%,'11.09,'+1.10%,'+1.36%,'+1.04%,'-0.41%,'17.19,6.98%,'295.75,'+4.05%,贸易行业
'247,603993.洛阳钼业,'9.51,'+1.39%,3.69%,'54.52,'+0.40%,'-0.79%,'-2.13%,'+1.59%,'13.60,2.70%,'1660.53,'+47.60%,小金属
'248,601939.建设银行,'9.58,'-0.62%,3.68%,'73.52,'-3.69%,'-4.02%,'-3.37%,'-1.62%,'7.56,1.91%,'2029.34,'+14.02%,银行
'249,600019.宝钢股份,'7.34,'+0.27%,3.68%,'53.08,'-0.05%,'-0.61%,'-1.37%,'-1.75%,'20.86,2.88%,'1598.81,'+6.42%,钢铁行业
'250,600958.东方证券,'11.45,'+0.35%,3.68%,'26.61,'+0.54%,'+1.42%,'+1.55%,'+2.14%,'25.23,1.53%,'855.26,'+9.53%,证券
'251,603806.福斯特,'13.96,'-3.72%,3.67%,'12.42,'+0.80%,'+0.89%,'-1.59%,'-0.28%,'31.83,1.86%,'364.18,'-3.70%,光伏设备
'252,600438.通威股份,'20.42,'-0.63%,3.65%,'27.49,'-0.66%,'-1.61%,'-0.38%,'-3.55%,'-,4.43%,'919.31,'-7.64%,光伏设备
'253,600491.龙元建设,'3.42,'-0.87%,3.65%,'2.06,'+0.80%,'+3.22%,'+3.14%,'+3.35%,'-,'-,'52.32,'-8.56%,工程建设
'254,601577.长沙银行,'10.21,'+0.20%,3.61%,'14.44,'-0.17%,'+0.61%,'+1.81%,'+0.52%,'5.19,4.11%,'410.60,'+19.70%,银行
'255,603929.亚翔集成,'37.53,'-0.13%,3.60%,'2.69,'-0.52%,'+3.58%,'+3.57%,'+3.55%,'14.31,2.66%,'80.07,'+40.23%,装修装饰
'256,600426.华鲁恒升,'23.68,'+0.42%,3.60%,'16.55,'+0.41%,'-1.22%,'-1.75%,'-1.28%,'14.35,2.53%,'502.78,'+11.11%,化学原料
'257,600150.中国船舶,'38.51,'+10.00%,3.58%,'52.07,'+0.76%,'+0.04%,'+1.62%,'+2.10%,'44.73,0.65%,'1722.33,'+7.97%,船舶制造
'258,600196.复星医药,'26.63,'-0.89%,3.58%,'19.04,'+0.53%,'+1.22%,'+1.69%,'+1.38%,'33.60,1.20%,'564.15,'+8.41%,化学制药
'259,688279.峰岹科技,'188.40,'-0.45%,3.58%,'6.14,'+2.00%,'+3.21%,'+3.33%,%,'113.38,0.41%,'174.01,'+19.90%,半导体
'260,605117.德业股份,'52.33,'+0.15%,3.57%,'17.00,'+0.04%,'+1.56%,'+1.23%,'+1.77%,'15.81,5.18%,'473.30,'-10.87%,光伏设备
'261,000680.山推股份,'9.96,'+0.91%,3.57%,'4.80,'+0.53%,'+1.29%,'+1.84%,'+2.93%,'14.14,0.91%,'148.06,'+3.65%,工程机械
'262,688668.鼎通科技,'93.42,'+0.68%,3.55%,'3.09,'+2.91%,'+2.72%,'+2.96%,%,'83.98,0.53%,'130.04,'+101.45%,通信设备
'263,601816.京沪高铁,'5.46,'+0.18%,3.54%,'99.56,'+0.91%,'+1.19%,'+2.19%,'+1.92%,'20.93,2.16%,'2671.34,'-9.48%,铁路公路
'264,601166.兴业银行,'22.98,'-0.48%,3.53%,'174.30,'-0.27%,'-0.73%,'+0.22%,'-0.85%,'6.38,4.61%,'4863.22,'+25.53%,银行
'265,603288.海天味业,'38.35,'-0.13%,3.52%,'76.07,'+0.01%,'+0.09%,'-2.43%,'-2.85%,'35.31,2.24%,'2132.49,'-14.79%,食品饮料
'266,603609.禾丰股份,'8.85,'+0.57%,3.52%,'2.65,'+0.90%,'+2.53%,'+2.42%,'+2.69%,'14.37,0.66%,'80.75,'+3.31%,农牧饲渔
'267,601919.中远海控,'15.63,'+1.10%,3.50%,'66.45,'+0.72%,'-0.27%,'+1.00%,'+1.32%,'4.49,9.96%,'1970.93,'+7.69%,航运港口
'268,600016.民生银行,'4.98,'-1.39%,3.50%,'58.96,'+0.51%,'+0.72%,'+0.86%,'+1.57%,'6.87,3.86%,'1766.01,'+21.98%,银行
'269,300973.立高食品,'45.74,'+3.27%,3.48%,'2.87,'+2.27%,'+1.46%,'+2.03%,'+3.13%,'27.55,1.58%,'75.00,'+18.38%,食品饮料
'270,600547.山东黄金,'32.25,'+1.57%,3.46%,'39.97,'+0.95%,'+0.43%,'+0.29%,'+1.06%,'43.56,0.71%,'1165.66,'+43.18%,贵金属
'271,601766.中国中车,'7.42,'+0.54%,3.46%,'59.28,'+0.33%,'+0.73%,'-0.35%,'+2.08%,'17.34,2.70%,'1805.12,'-11.46%,交运设备
'272,003006.百亚股份,'26.00,'+1.44%,3.46%,'4.07,'-0.18%,'-0.90%,'+1.77%,'+3.41%,'38.56,2.14%,'110.12,'+10.36%,美容护理
'273,002322.理工能科,'12.75,'+0.63%,3.46%,'1.59,'+0.76%,'+3.45%,'+3.45%,'+3.45%,'18.84,6.08%,'48.04,'+4.19%,软件开发
'274,002384.东山精密,'51.99,'-0.86%,3.46%,'23.97,'+0.57%,'+0.43%,'-0.56%,'-0.48%,'92.88,0.12%,'960.49,'+78.49%,电子元件
'275,002409.雅克科技,'55.98,'+1.14%,3.46%,'9.00,'-0.64%,'-1.86%,'+1.27%,'+1.80%,'28.77,1.05%,'263.43,'-2.93%,电子化学品
'276,300570.太辰光,'117.47,'-2.20%,3.44%,'7.53,'+0.60%,'+2.94%,'+3.42%,'+3.39%,'90.41,0.67%,'272.80,'+63.01%,通信设备
'277,603179.新泉股份,'48.45,'+4.87%,3.41%,'7.80,'+1.22%,'+1.08%,'+2.92%,%,'24.18,0.62%,'236.10,'+14.22%,汽车零部件
'278,603995.甬金股份,'17.96,'-0.22%,3.41%,'2.21,0.00%,'+1.43%,'+3.10%,%,'9.92,2.78%,'65.66,'+1.20%,钢铁行业
'279,601567.三星医疗,'22.79,'+0.31%,3.40%,'10.76,'+0.28%,'-2.37%,'+0.45%,'+2.41%,'14.01,3.92%,'320.26,'-22.97%,电网设备
'280,600346.恒力石化,'15.25,'+0.07%,3.40%,'34.10,'+0.33%,'+0.38%,'+1.09%,'+1.83%,'23.19,2.95%,'1073.46,'+2.48%,化纤行业
'281,600009.上海机场,'32.23,'-0.34%,3.39%,'26.77,'+0.34%,'-0.18%,'-3.02%,'-6.02%,'52.09,0.31%,'802.04,'-5.62%,航空机场
'282,000729.燕京啤酒,'12.87,'+0.23%,3.39%,'12.36,'+0.27%,'+0.74%,'-0.07%,'-0.34%,'33.17,1.48%,'361.90,'+8.48%,酿酒行业
'283,601127.赛力斯,'128.70,'+0.74%,3.36%,'73.65,'+0.86%,'+1.38%,'+2.31%,'+3.36%,'35.92,0.99%,'2102.14,'-2.78%,汽车整车
'284,688099.晶晨股份,'73.90,'+1.72%,3.36%,'10.05,'-0.56%,'+0.05%,'+1.59%,'+1.16%,'38.99,'-,'311.19,'+7.60%,半导体
'285,600875.东方电气,'19.98,0.00%,3.35%,'17.09,'+0.71%,'+0.33%,'+0.62%,'+1.65%,'34.16,2.16%,'609.46,'+25.74%,电源设备
'286,002367.康力电梯,'7.44,'+0.14%,3.35%,'1.88,'+0.03%,'+0.60%,'+0.89%,'+1.55%,'18.92,4.04%,'59.27,'+13.01%,专用设备
'287,002807.江阴银行,'4.76,'-0.83%,3.35%,'3.92,'-0.82%,'-0.69%,'+0.48%,'+0.54%,'5.92,4.17%,'118.15,'+14.61%,银行
'288,002955.鸿合科技,'25.38,'+1.20%,3.33%,'1.93,'-0.91%,'+0.03%,'+2.61%,'+3.30%,'38.73,10.22%,'59.35,'+13.24%,光学光电子
'289,600061.国投资本,'7.67,'+0.13%,3.33%,'16.02,'+1.08%,'+2.39%,'+0.97%,'+2.94%,'16.64,1.66%,'490.42,'+3.70%,证券
'290,002847.盐津铺子,'70.72,'+0.06%,3.32%,'7.28,'+0.40%,'+0.73%,'+1.99%,'+1.86%,'32.87,2.27%,'192.80,'+14.41%,食品饮料
'291,600362.江西铜业,'23.52,'+2.57%,3.31%,'16.07,'+1.23%,'-2.70%,'-1.91%,'+1.04%,'9.09,2.98%,'488.10,'+17.30%,有色金属
'292,688018.乐鑫科技,'160.00,0.00%,3.31%,'7.57,'+0.94%,'+1.04%,'+2.35%,%,'71.76,0.27%,'250.72,'+2.82%,半导体
'293,300533.冰川网络,'37.91,'+2.46%,3.30%,'2.59,%,'+2.08%,'+3.15%,%,'26.67,'-,'86.75,'+91.85%,游戏
'294,600600.青岛啤酒,'67.90,0.00%,3.29%,'16.21,'-0.31%,'+0.52%,'+0.02%,'+0.58%,'22.92,3.24%,'481.50,'-13.43%,酿酒行业
'295,300316.晶盛机电,'28.57,'+1.42%,3.29%,'11.68,'+0.22%,'-1.78%,'-7.35%,'-2.48%,'19.90,1.42%,'368.90,'-9.14%,光伏设备
'296,002595.豪迈科技,'57.27,'+2.51%,3.29%,'15.61,'-0.07%,'+0.37%,'-0.43%,'-1.29%,'22.20,1.39%,'446.96,'+14.89%,专用设备
'297,601211.国泰海通,'20.20,'+0.55%,3.28%,'88.73,'-0.21%,'+0.66%,'+0.79%,'+1.19%,'26.03,1.78%,'2853.04,'+9.80%,证券
'298,000528.柳工,'10.97,'+0.18%,3.27%,'6.35,'-3.03%,'-1.95%,'-0.97%,'+1.34%,'17.16,2.48%,'221.97,'-6.52%,工程机械
'299,000888.峨眉山Ａ,'14.08,'-0.92%,3.27%,'2.42,'-2.23%,'+2.69%,'+3.27%,'+3.27%,'33.80,1.76%,'74.87,'+8.39%,旅游酒店
'300,603337.杰克股份,'43.06,'+2.72%,3.26%,'5.58,'+0.35%,'+2.60%,'+2.81%,'+2.76%,'25.04,1.88%,'205.15,'+43.17%,专用设备
'301,603893.瑞芯微,'163.20,'+0.74%,3.26%,'20.82,'+1.64%,'+1.11%,'+2.38%,'+2.83%,'100.93,0.67%,'686.63,'+49.14%,半导体
'302,688606.奥泰生物,'74.69,'+1.73%,3.25%,'1.73,'+0.20%,'+1.66%,'+3.19%,%,'22.94,4.02%,'59.21,'+20.59%,医疗器械
'303,002372.伟星新材,'10.79,'+0.37%,3.23%,'5.33,'-1.64%,'-3.86%,'-5.84%,'-6.99%,'19.24,5.58%,'171.14,'-10.86%,装修建材
'304,600015.华夏银行,'8.08,0.00%,3.22%,'40.54,'+0.25%,'-0.02%,'+0.38%,'+0.79%,'4.81,5.01%,'1285.93,'+6.13%,银行
'305,300476.胜宏科技,'197.65,'+4.32%,3.21%,'37.17,'-0.82%,'+1.91%,'+1.95%,'+2.52%,'87.94,0.16%,'1634.54,'+371.51%,电子元件
'306,300496.中科创达,'59.98,'+1.20%,3.21%,'8.46,'+2.40%,'+1.40%,'-2.14%,'-5.32%,'153.71,0.31%,'272.65,'+0.81%,互联网服务
'307,300679.电连技术,'48.92,'+0.51%,3.20%,'6.15,'-0.50%,'+0.13%,'+2.12%,'+2.04%,'35.62,0.97%,'206.76,'-17.17%,消费电子
'308,600489.中金黄金,'14.83,'+0.34%,3.20%,'22.71,'+0.58%,'-0.23%,'+0.89%,'+2.89%,'17.71,2.62%,'718.86,'+26.58%,贵金属
'309,603855.华荣股份,'21.64,'+1.12%,3.20%,'2.39,'-3.04%,'+0.74%,'-0.14%,%,'15.68,4.62%,'73.04,'+11.95%,专用设备
'310,688617.惠泰医疗,'281.00,'-0.66%,3.20%,'13.39,'+0.44%,'-0.46%,'+1.48%,%,'57.68,0.43%,'396.25,'+9.91%,医疗器械
'311,688981.中芯国际,'90.78,'+0.87%,3.19%,'55.99,'+1.32%,'+1.73%,'+2.98%,'+3.00%,'227.05,'-,'1805.03,'-4.06%,半导体
'312,601601.中国太保,'37.40,'-0.40%,3.19%,'82.03,'-0.49%,'-0.80%,'-1.67%,'+0.48%,'8.41,2.89%,'2560.05,'+12.97%,保险
'313,600436.片仔癀,'201.51,'-0.03%,3.19%,'38.48,'+0.69%,'+0.84%,'+0.26%,'+0.16%,'39.75,1.47%,'1215.74,'-5.21%,中药
'314,000977.浪潮信息,'55.29,'+0.18%,3.18%,'23.82,'+0.78%,'+1.52%,'+0.74%,'+0.80%,'39.41,0.29%,'812.47,'+6.92%,计算机设备
