序,股票,关注度,价,涨,北上持股,扣非PE,PB,股息,ROE,市值(亿),今年来,行业
'37,SH603129.春风动力,'13,'244.01,'+7.59%,3.88%,'23.56,'5.52,1.58%,26.73%,'372.30,'+58.75%,交运设备
'40,SH603031.安孚科技,'13,'28.04,'+1.85%,1.13%,'34.75,'3.10,0.86%,9.43%,'59.20,'-1.05%,电池
'54,SH601628.中国人寿,'13,'41.52,'+0.65%,0.38%,'10.18,'2.20,1.57%,22.73%,'8645.93,'+0.17%,保险
'85,SH600328.中盐化工,'13,'8.15,'+3.03%,0.44%,'-1.00,'1.00,1.52%,1.10%,'119.50,'+5.38%,化学原料
'92,SH600211.西藏药业,'13,'42.12,'-4.01%,0.80%,'15.48,'3.31,4.65%,25.97%,'135.76,'+17.14%,生物制品
'52,SH600737.中粮糖业,'12,'10.04,'+0.30%,0.71%,'14.75,'1.84,1.99%,12.44%,'214.74,'-1.67%,食品饮料
'57,SH601567.三星医疗,'12,'22.79,'+0.31%,3.40%,'14.01,'2.54,3.92%,20.09%,'320.26,'-22.97%,电网设备
'61,SH601225.陕西煤业,'12,'21.43,'+5.62%,2.48%,'10.20,'2.15,6.29%,23.53%,'2077.64,'-2.07%,煤炭行业
'71,SH600651.飞乐音响,'12,'5.71,'-7.61%,0.09%,'-1.00,'5.82,0.00%,1.20%,'143.15,'+37.92%,光学光电子
'79,SH600422.昆药集团,'12,'14.61,'-0.95%,1.26%,'29.23,'2.07,2.05%,11.52%,'110.59,'-5.92%,中药
'82,SH600380.健康元,'12,'12.42,'-2.36%,3.74%,'17.27,'1.55,1.61%,9.57%,'227.22,'+12.02%,化学制药
'42,SH601989.中国重工,'11,'5.15,'+10.04%,1.46%,'117.23,'1.39,0.35%,2.02%,'1174.30,'+7.50%,船舶制造
'48,SH600879.航天电子,'11,'11.07,'+0.09%,0.24%,'300.00,'1.76,0.45%,2.12%,'365.23,'+24.25%,航天航空
'70,SH600654.中安科,'11,'3.36,'+10.16%,0.51%,'-1.00,'5.78,0.00%,0.54%,'96.65,'+4.02%,软件开发
'74,SH600582.天地科技,'11,'6.32,'+0.48%,1.80%,'11.60,'1.01,5.02%,13.59%,'261.56,'+7.70%,专用设备
'87,SH600309.万华化学,'11,'61.08,'+0.15%,4.33%,'15.58,'1.94,2.05%,12.54%,'1912.09,'-13.25%,化学制品
'27,SH603283.赛腾股份,'10,'39.39,'-2.23%,0.40%,'22.24,'3.42,1.02%,19.38%,'109.74,'-19.64%,专用设备
'34,SH603195.公牛集团,'10,'47.60,'-0.38%,2.97%,'22.78,'5.10,3.60%,26.74%,'860.89,'-1.95%,家用轻工
'44,SH600938.中国海油,'10,'26.01,'-0.08%,1.99%,'9.44,'1.58,4.93%,18.09%,'777.70,'-9.85%,石油行业
'45,SH600930.华电新能,'10,'6.46,'-0.46%,'-,'30.44,'2.44,0.00%,8.29%,'2646.59,'+103.14%,电力行业
'58,SH601318.中国平安,'10,'59.06,'-0.14%,5.94%,'9.69,'1.14,4.32%,12.68%,'6356.43,'+15.43%,保险
'62,SH601208.东材科技,'10,'16.24,'-1.10%,1.48%,'89.24,'3.14,0.62%,4.83%,'145.64,'+117.73%,塑料制品
'64,SH601088.中国神华,'10,'37.56,'-1.57%,1.04%,'13.48,'1.72,6.02%,12.74%,'6194.03,'-8.58%,煤炭行业
'75,SH600518.康美药业,'10,'2.08,'-0.48%,0.37%,'-1.00,'4.00,0.00%,0.13%,'287.64,'-11.11%,中药
'76,SH600482.中国动力,'10,'24.63,'+5.44%,1.36%,'35.71,'1.40,1.30%,4.44%,'554.88,'+1.54%,船舶制造
'77,SH600475.华光环能,'10,'17.51,'+9.99%,1.22%,'51.66,'1.87,2.57%,7.40%,'167.39,'+98.92%,电源设备
'86,SH600316.洪都航空,'10,'45.26,'+1.53%,0.24%,'300.00,'6.08,0.04%,0.75%,'324.57,'+40.98%,航天航空
'96,SH600163.中闽能源,'10,'5.34,'-0.19%,0.38%,'15.28,'1.45,1.93%,10.22%,'101.62,'-10.96%,电力行业
