序,股票,关注度,价,涨,北上持股,扣非PE,PB,股息,ROE,市值(亿),今年来,行业
'92,SZ002472.双环传动,'69,'36.35,'+5.06%,17.92%,'27.67,'3.22,0.65%,12.56%,'293.31,'+19.56%,汽车零部件
'67,SH601669.中国电建,'68,'6.33,'-1.40%,2.96%,'10.22,'0.66,2.01%,7.03%,'1090.42,'+18.92%,工程建设
'74,SH600967.内蒙一机,'68,'23.66,'+10.00%,0.12%,0.00,'3.42,0.62%,4.43%,'402.64,'+179.44%,交运设备
'87,SZ300059.东方财富,'68,'23.63,0.00%,3.06%,'37.29,'4.48,0.25%,13.23%,'3734.49,'-8.21%,互联网服务
'90,SZ002896.中大力德,'68,'94.38,'+10.00%,1.08%,'292.74,'14.15,0.23%,6.34%,'168.62,'+220.56%,通用设备
'73,SH601988.中国银行,'67,'5.66,'+0.18%,0.69%,'7.74,'0.65,3.78%,8.62%,'13504.20,'+7.35%,银行
'81,SH603338.浙江鼎力,'67,'50.32,'+0.46%,6.77%,'15.06,'2.44,1.99%,17.88%,'254.79,'-20.22%,工程机械
'84,SZ300033.同花顺,'67,'292.70,'-0.19%,2.29%,'88.65,'24.33,1.02%,28.92%,'1576.62,'+2.85%,软件开发
'65,SH600660.福耀玻璃,'66,'55.56,'-0.41%,18.64%,'18.32,'3.84,3.24%,23.06%,'1112.86,'-8.12%,玻璃玻纤
'77,SZ300866.安克创新,'66,'131.43,'+5.80%,8.93%,'33.03,'7.10,1.68%,25.95%,'664.60,'+36.66%,消费电子
'93,SZ002884.凌霄泵业,'66,'16.52,'+0.36%,0.94%,'13.56,'2.43,6.08%,19.02%,'58.87,'-3.90%,通用设备
'88,SH603605.珀莱雅,'65,'82.39,'-0.12%,11.99%,'20.30,'5.63,1.44%,31.86%,'326.47,'-1.32%,美容护理
'89,SZ002557.洽洽食品,'65,'22.72,'-0.96%,3.95%,'19.04,'2.05,5.67%,12.08%,'116.04,'-17.40%,食品饮料
'75,SZ000708.中信特钢,'64,'12.97,'-0.15%,0.95%,'13.08,'1.55,3.90%,12.49%,'655.63,'+18.72%,钢铁行业
'69,SZ000426.兴业银锡,'62,'19.02,'+1.71%,1.62%,'19.71,'4.01,0.36%,22.37%,'332.04,'+71.04%,有色金属
'79,SH688981.中芯国际,'62,'90.78,'+0.87%,3.19%,'227.05,'4.85,0.00%,3.11%,'1805.03,'-4.06%,半导体
'66,SH600009.上海机场,'61,'32.23,'-0.34%,3.39%,'52.09,'1.90,0.31%,4.97%,'802.04,'-5.62%,航空机场
'68,SH603589.口子窖,'61,'33.53,'-0.12%,1.45%,'12.30,'1.80,3.89%,15.63%,'200.55,'-11.24%,酿酒行业
'70,SH600674.川投能源,'61,'15.55,'-0.19%,2.64%,'16.22,'1.74,2.57%,11.17%,'758.00,'-7.57%,电力行业
'71,SH600585.海螺水泥,'61,'23.37,'-0.04%,4.83%,'16.17,'0.65,3.04%,4.25%,'934.73,'+1.51%,水泥建材
'86,SZ002032.苏泊尔,'61,'51.23,'-0.33%,4.34%,'19.73,'5.95,5.47%,33.07%,'411.90,'+1.08%,家电行业
'72,SH689009.九号公司-WD,'60,'65.46,'+0.38%,'-,'26.28,'6.95,1.72%,27.90%,'470.95,'+40.40%,交运设备
'78,SH600219.南山铝业,'60,'4.05,'+0.75%,6.45%,'8.15,'0.91,4.21%,11.42%,'470.35,'+6.16%,有色金属
'82,SH601689.拓普集团,'60,'48.02,'+2.04%,5.07%,'31.86,'3.68,1.08%,14.38%,'834.51,'-0.93%,汽车零部件
'95,SH688012.中微公司,'56,'196.06,'+0.45%,9.18%,'86.24,'6.09,0.15%,8.82%,'1227.62,'+3.82%,半导体
'94,SZ000538.云南白药,'55,'55.96,'-0.39%,3.98%,'21.24,'2.46,4.27%,12.10%,'1002.40,'-4.70%,中药
'97,SH688256.寒武纪-U,'55,'694.34,'-0.09%,3.75%,'-1.00,'49.84,0.00%,2.30%,'2904.77,'+5.52%,半导体
'100,SH603986.兆易创新,'54,'118.28,'+0.24%,6.12%,'73.37,'4.68,0.29%,7.05%,'785.45,'+11.06%,半导体
'96,SH605305.中际联合,'53,'37.34,'-1.99%,1.49%,'25.53,'2.95,1.21%,14.04%,'79.35,'+34.16%,风电设备
'99,SH601288.农业银行,'53,'6.62,'+1.22%,0.96%,'8.18,'0.74,3.65%,9.26%,'21133.97,'+29.36%,银行
'98,SH603486.科沃斯,'52,'88.95,'+1.43%,1.65%,'65.09,'6.59,0.51%,13.47%,'511.29,'+90.85%,家电行业
