序	代码	股票	价	涨	控盘度	股东数.人	更新日	北上持股	扣非PE	PB	股息	A股市值	今年来	行业
181	301035	润丰股份	65.68	1.03%	6649	5,591	3.31	0.85%	32.04	2.63	0.91%	182.53	35.83%	农药兽药
182	301333	诺思格	56.3	-2.54%	6647	10,210	6.2	0.86%	47.23	2.99	0.28%	55.79	12.99%	医疗服务
183	603922	金鸿顺	22.3	-0.45%	6636	7,940	3.31	-	-	3.9	0.06%	39.96	-10.59%	汽车零部件
184	1211	双枪科技	24.44	0.16%	6629	9,510	7.31	-	212.69	2	0.87%	17.57	27.16%	家用轻工
185	300838	浙江力诺	15.81	1.35%	6626	8,718	3.31	-	130.76	2.15	0.96%	21.52	26.19%	仪器仪表
186	301024	霍普股份	46.42	-0.21%	6607	4,955	3.31	-	-	7	-	29.58	95.04%	工程建设
187	600768	宁波富邦	12.95	0.70%	6593	9,517	3.31	-	-	4.52	0.77%	17.32	52.88%	有色金属
188	301113	雅艺科技	22.81	0.71%	6592	7,195	7.31	-	300	2.86	2.38%	20.61	30.49%	装修装饰
189	300796	贝斯美	10.83	0.18%	6590	10,869	3.31	0.15%	-	2.25	-	39.04	6.07%	农药兽药
190	300614	百川畅银	14.86	-0.34%	6585	9,862	3.31	-	-	1.88	-	23.92	56.75%	环保行业
191	1210	金房能源	15.21	-1.43%	6576	11,933	3.31	-	26.89	1.75	1.08%	24.2	31.46%	公用事业
192	300417	南华仪器	14.1	1.22%	6571	12,756	3.31	-	-	4.12	0.57%	18.74	19.69%	仪器仪表
193	600729	重庆百货	28.86	-0.21%	6568	14,864	3.31	2.83%	10.36	1.6	4.72%	127.12	3.50%	商业百货
194	2830	名雕股份	17.48	5.94%	6551	8,354	7.31	-	55.86	3.27	1.52%	22	42.37%	装修装饰
195	300650	太龙股份	15.16	1.41%	6539	13,693	3.31	-	82.89	2.61	0.33%	32.64	32.12%	光学光电子
196	603867	新化股份	26.95	4.30%	6537	11,285	4.3	0.72%	23.87	2.08	1.67%	51.95	12.53%	化学制品
197	300966	共同药业	24.89	-7.30%	6498	12,864	3.31	-	-	3.36	0.06%	30.95	54.31%	化学制药
198	603365	水星家纺	17.82	-0.11%	6497	7,955	3.31	-	14.39	1.52	5.05%	46.8	15.30%	纺织服装
199	300807	天迈科技	50.22	-0.91%	6477	10,579	3.31	-	-	7.12	-	34.48	65.69%	计算机设备
200	300991	创益通	34.4	4.59%	6465	12,492	7.31	-	211.53	7.32	0.09%	47.36	66.47%	电子元件
