序,股票,价,涨,推荐数,北上,扣非PE,PB,股息,ROE,3周内涨,市值.亿,今年来,行业
'20,600900.长江电力,'27.97,'-0.46%,'7,6.19%,'20.27,'3.17,3.37%,16.00%,'-4.96%,'6843.76,'-2.27%,电力行业
'21,003010.若羽臣,'48.90,'+0.89%,'6,0.23%,'88.96,'9.95,0.77%,11.37%,'-7.32%,'105.99,'+144.73%,互联网服务
'22,600276.恒瑞医药,'61.58,'-1.16%,'6,8.39%,'61.92,'8.70,0.32%,15.40%,'+6.67%,'3928.19,'+34.64%,化学制药
'23,000625.长安汽车,'12.91,'-0.08%,'6,1.33%,'39.30,'1.64,2.28%,9.93%,'+2.95%,'1068.80,'-1.13%,汽车整车
'24,002241.歌尔股份,'23.03,'-0.17%,'5,3.03%,'33.42,'2.39,1.29%,8.55%,'-0.94%,'805.49,'-10.15%,消费电子
'25,688313.仕佳光子,'57.15,'-0.03%,'5,0.33%,'100.76,'18.85,0.10%,21.30%,'+9.42%,'262.21,'+249.25%,通信设备
'26,688775.影石创新,'167.73,'+0.51%,'5,'-,'71.74,'20.03,0.00%,29.50%,'+0.09%,'672.60,'+254.83%,消费电子
'27,002458.益生股份,'8.92,'-1.00%,'5,0.53%,'31.13,'2.32,2.22%,7.54%,'+7.90%,'99.69,'-5.01%,农牧饲渔
'28,601128.常熟银行,'7.68,'+0.26%,'5,3.17%,'6.49,'0.86,2.96%,14.12%,'+3.64%,'254.71,'+15.20%,银行
'29,603893.瑞芯微,'163.20,'+0.74%,'5,3.26%,'100.93,'18.25,0.67%,21.38%,'+8.09%,'686.63,'+49.14%,半导体
'30,603588.高能环境,'6.44,'-0.77%,'5,1.91%,'26.80,'1.04,6.25%,5.98%,'+7.69%,'98.10,'+24.44%,环保行业
'31,002768.国恩股份,'39.05,'+4.13%,'5,2.01%,'19.94,'2.02,0.75%,13.78%,'+9.11%,'101.72,'+71.05%,塑料制品
'32,601886.江河集团,'7.50,'+2.18%,'5,3.87%,'20.16,'1.13,7.33%,8.13%,'+6.69%,'84.98,'+48.70%,装修装饰
'33,605507.国邦医药,'23.11,'-2.53%,'5,0.79%,'16.09,'1.60,2.62%,10.66%,'+10.84%,'129.14,'+14.18%,化学制药
'34,603997.继峰股份,'11.87,'+0.51%,'5,0.88%,亏损,'3.12,0.00%,'-1.00%,'-6.09%,'150.51,'+3.67%,汽车零部件
'35,002701.奥瑞金,'5.47,'+0.18%,'5,2.92%,'20.36,'1.44,2.20%,12.61%,'-3.36%,'139.76,'-1.59%,包装材料
'36,688521.芯原股份,'101.88,'-0.10%,'4,1.11%,亏损,'27.87,0.00%,'-1.00%,'+15.22%,'535.60,'+94.32%,半导体
'37,002444.巨星科技,'32.40,'+0.68%,'4,1.65%,'16.46,'2.27,1.56%,14.61%,'+1.77%,'384.38,'+0.15%,通用设备
'38,688100.威胜信息,'34.91,'+0.06%,'4,0.38%,'26.67,'5.17,1.49%,21.00%,'-4.67%,'171.65,'-2.13%,通信设备
'39,002850.科达利,'116.68,'+2.03%,'4,2.43%,'20.83,'2.54,1.75%,13.42%,'-4.90%,'312.78,'+21.58%,电池
'40,688041.海光信息,'137.34,'-3.59%,'4,3.15%,'152.87,'15.12,0.12%,11.30%,'-0.48%,'3192.25,'-8.20%,半导体
'41,605128.上海沿浦,'36.39,'+2.83%,'4,0.25%,'49.67,'3.78,0.72%,9.37%,'+9.48%,'76.83,'+47.56%,汽车零部件
'42,603986.兆易创新,'118.28,'+0.24%,'4,6.12%,'73.37,'4.68,0.29%,7.05%,'+0.25%,'785.45,'+11.06%,半导体
'43,300395.菲利华,'76.50,'-1.86%,'4,0.93%,'131.31,'9.59,0.17%,8.30%,'+22.95%,'407.11,'+104.00%,非金属材料
'44,600483.福能股份,'9.59,'+0.21%,'4,0.68%,'8.96,'1.02,3.23%,12.43%,'+2.02%,'266.62,'-0.70%,电力行业
'45,002142.宁波银行,'28.92,'+1.51%,'4,3.77%,'6.80,'0.80,3.16%,12.37%,'+6.74%,'1881.36,'+22.93%,银行
'46,300308.中际旭创,'210.52,'-0.19%,'4,3.72%,'41.50,'11.31,0.24%,31.55%,'+19.26%,'2343.57,'+71.13%,通信设备
'47,002468.申通快递,'16.10,'-1.11%,'4,2.82%,'23.49,'2.53,0.41%,11.54%,'+32.25%,'249.21,'+59.88%,物流行业
'48,002225.濮耐股份,'7.53,'+6.51%,'4,0.32%,'106.48,'2.06,0.71%,3.62%,'+21.27%,'71.44,'+52.72%,装修建材
'49,688012.中微公司,'196.06,'+0.45%,'4,9.18%,'86.24,'6.09,0.15%,8.82%,'+10.03%,'1227.62,'+3.82%,半导体
'50,000988.华工科技,'51.02,'-0.16%,'3,4.65%,'52.38,'4.85,0.40%,13.38%,'+3.13%,'513.81,'+18.37%,电子元件
'51,000513.丽珠集团,'40.66,'-2.14%,'3,2.63%,'18.71,'2.65,2.65%,14.53%,'-1.68%,'251.08,'+10.04%,化学制药
