序,股票,价,涨,北上,现金/市值,资产负债率,现金流.亿,市值.亿,PE.扣非,股息,净利润.亿,今年来,行业
'249,002452.长高电新,'7.36,'-0.81%,'-,17.37%,28.30%,'7.93,'45.66,'19.90,1.09%,'2.29,'+0.35%,电网设备
'250,002543.万和电气,'11.98,'-1.24%,4.15%,17.31%,40.16%,'15.42,'89.08,'13.33,3.67%,'6.68,'+19.35%,家电行业
'251,000570.苏常柴Ａ,'5.85,'+1.04%,'-,17.30%,34.86%,'7.14,'41.28,'83.55,0.17%,'0.49,'+15.19%,汽车零部件
'252,301289.国缆检测,'52.10,'-0.34%,'-,17.27%,19.34%,'7.02,'40.64,'50.14,0.79%,'0.81,'+7.54%,专业服务
'253,688006.杭可科技,'30.15,'+17.13%,0.64%,17.25%,43.88%,'31.39,'182.01,'54.90,0.75%,'3.32,'+69.83%,电池
'254,301332.德尔玛,'10.74,'+0.66%,0.28%,17.21%,36.99%,'8.53,'49.57,'38.25,1.40%,'1.30,'+8.75%,家电行业
'255,600730.中国高科,'10.35,'+7.25%,'-,17.18%,11.68%,'10.43,'60.72,'-,0.10%,'-0.06,'+71.35%,教育
'256,002695.煌上煌,'12.48,'-0.95%,0.26%,17.17%,16.24%,'11.99,'69.82,'115.88,0.88%,'0.60,'+47.91%,食品饮料
'257,300994.久祺股份,'19.42,'+0.10%,'-,17.16%,38.18%,'7.77,'45.27,'31.06,'-,'1.46,'+72.16%,交运设备
'258,603173.福斯达,'52.12,'-2.56%,'-,17.12%,68.53%,'14.28,'83.39,'21.17,0.96%,'3.94,'+129.35%,通用设备
'259,603630.拉芳家化,'26.97,'+9.99%,'-,17.11%,10.96%,'10.39,'60.74,'300.00,0.52%,'0.07,'+96.51%,美容护理
'260,688369.致远互联,'29.23,'-2.66%,'-,16.98%,35.98%,'5.72,'33.68,'-,0.44%,'-3.04,'+45.64%,软件开发
'261,301208.中亦科技,'47.97,'+3.18%,'-,16.96%,18.41%,'9.76,'57.56,'83.09,0.42%,'0.69,'+25.06%,软件开发
'262,600959.江苏有线,'3.71,'+0.54%,0.97%,16.89%,37.45%,'31.34,'185.53,'-,0.59%,'-1.43,'+11.43%,文化传媒
'263,603515.欧普照明,'18.16,'-1.25%,3.13%,16.88%,34.31%,'22.80,'135.08,'19.17,4.96%,'7.05,'+16.08%,家电行业
'264,600522.中天科技,'16.15,'-0.55%,6.17%,16.85%,40.32%,'92.87,'551.19,'20.52,1.86%,'26.86,'+15.18%,通信设备
'265,300557.理工光科,'28.43,'-0.46%,'-,16.81%,39.73%,'5.78,'34.39,'106.89,0.54%,'0.32,'+13.83%,仪器仪表
'266,688153.唯捷创芯,'35.76,'+1.74%,0.41%,16.74%,10.45%,'25.76,'153.88,'-,0.15%,'-0.61,'+6.87%,半导体
'267,301302.华如科技,'25.81,'-0.50%,'-,16.58%,15.47%,'6.67,'40.23,'-,'-,'-3.85,'+7.32%,软件开发
'268,301636.泽润新能,'56.47,'+0.28%,'-,16.52%,35.37%,'5.96,'36.07,'33.83,'-,'1.07,'+70.81%,光伏设备
'269,002140.东华科技,'10.04,'-0.20%,0.42%,16.42%,69.32%,'11.67,'71.08,'16.32,1.49%,'4.35,'+3.31%,工程建设
'270,301119.正强股份,'37.30,'-1.87%,'-,16.40%,33.83%,'6.36,'38.79,'37.80,2.73%,'1.03,'+23.55%,汽车零部件
'271,000596.古井贡酒,'170.40,'-0.53%,1.26%,16.38%,31.55%,'147.50,'900.73,'16.25,3.52%,'55.43,'+2.60%,酿酒行业
'272,688334.西高院,'18.89,'+0.59%,0.12%,16.32%,17.14%,'9.76,'59.80,'26.62,2.11%,'2.25,'+17.37%,专业服务
'273,300562.乐心医疗,'15.43,'+1.58%,'-,16.25%,33.31%,'5.47,'33.67,'54.60,2.65%,'0.62,'+5.65%,医疗器械
'274,603218.日月股份,'12.77,'-1.16%,2.82%,16.20%,27.93%,'21.31,'131.58,'29.90,2.74%,'4.40,'+8.96%,风电设备
'275,002912.中新赛克,'30.40,'-1.30%,'-,16.20%,24.01%,'8.41,'51.91,'66.58,0.66%,'0.78,'+19.84%,互联网服务
'276,301533.威马农机,'38.40,'-1.34%,'-,16.19%,18.51%,'6.11,'37.75,'65.36,1.04%,'0.58,'+31.70%,专用设备
'277,301333.诺思格,'54.75,'+3.32%,0.86%,16.13%,18.11%,'8.53,'52.88,'44.55,0.29%,'1.19,'+9.88%,医疗服务
'278,300833.浩洋股份,'37.64,'-2.79%,2.80%,16.07%,8.79%,'7.65,'47.61,'29.27,3.45%,'1.63,'-11.52%,专用设备
'279,600085.同仁堂,'36.08,'+1.12%,2.66%,16.01%,33.70%,'79.20,'494.83,'34.56,2.77%,'14.32,'-9.88%,中药
'280,300439.美康生物,'11.00,'+0.64%,'-,15.94%,19.42%,'6.74,'42.28,'42.23,1.23%,'1.00,'+6.69%,医疗器械
'281,600822.上海物贸,'12.19,'+3.13%,'-,15.89%,30.86%,'9.61,'60.46,'300.00,'-,'0.05,'+19.28%,汽车服务
'282,002035.华帝股份,'6.50,'+0.62%,7.30%,15.86%,43.68%,'8.74,'55.10,'12.70,4.62%,'4.34,'-7.30%,家电行业
'283,688558.国盛智科,'30.85,'+0.49%,'-,15.84%,24.40%,'6.45,'40.72,'29.89,1.94%,'1.36,'+47.92%,通用设备
