序	代码	股票	价	涨	控盘度	股东数.人	更新日	北上持股	扣非PE	PB	股息	A股市值	今年来	行业
225	300445	康斯特	18.95	+1.18%	5905	12,185	07.31	-	36.16	3.27	0.47%	40.26	+17.08%	仪器仪表
226	002778	中晟高科	19.90	-2.16%	5901	11,049	06.30	-	-	8.28	-	24.83	+13.97%	石油行业
227	300889	爱克股份	21.22	+1.82%	5890	13,613	08.08	-	-	3.13	-	46.27	+115.10%	光学光电子
228	603790	雅运股份	18.47	-0.91%	5878	6,626	06.30	-	66.84	2.86	0.65%	35.34	+68.71%	化学制品
229	300881	盛德鑫泰	35.00	+2.07%	5869	9,506	06.30	-	20.65	3.75	2.86%	38.50	+17.66%	钢铁行业
230	300616	尚品宅配	13.29	-0.52%	5865	14,809	06.30	-	-	0.95	6.77%	29.84	+15.65%	装修建材
231	301298	东利机械	17.15	+1.30%	5859	14,064	06.30	-	34.07	2.73	1.75%	25.18	+26.82%	汽车零部件
232	605003	众望布艺	23.88	+0.51%	5854	4,552	06.30	-	48.22	1.85	1.72%	26.27	+28.87%	纺织服装
233	300138	晨光生物	13.85	-3.62%	5847	16,049	08.20	0.29%	45.00	2.05	0.94%	66.91	+60.71%	农牧饲渔
234	603810	丰山集团	15.33	+0.07%	5833	10,118	06.30	-	218.64	1.58	-	25.33	+69.58%	农药兽药
235	603159	上海亚虹	22.00	+10.00%	5832	7,580	06.30	-	211.33	6.11	0.30%	30.80	+42.31%	专用设备
236	300948	冠中生态	11.25	+2.55%	5829	10,179	06.30	-	-	1.96	-	15.75	+19.55%	环保行业
237	301007	德迈仕	49.55	+2.48%	5820	14,300	08.29	-	150.16	11.31	0.46%	75.98	+171.05%	汽车零部件
238	001205	盛航股份	16.32	+1.43%	5789	14,921	06.30	-	36.23	1.46	0.74%	30.68	-14.77%	航运港口
239	605178	时空科技	23.10	-1.41%	5788	9,884	06.30	-	-	1.80	-	22.89	+60.75%	装修装饰
240	300813	泰林生物	32.93	+0.92%	5779	10,924	06.30	-	289.35	4.93	0.30%	39.91	+91.70%	医疗器械
241	301107	瑜欣电子	30.88	-1.37%	5760	9,138	06.30	-	45.64	3.41	1.62%	31.63	+71.59%	通用设备
242	300594	朗进科技	17.68	+3.27%	5755	11,448	08.20	-	-	1.93	0.57%	16.24	+3.15%	交运设备
243	301102	兆讯传媒	11.57	+0.35%	5748	17,397	06.30	-	88.56	1.54	0.17%	46.97	+6.06%	文化传媒
244	301229	纽泰格	22.33	+0.27%	5738	11,214	07.31	-	93.15	3.58	0.57%	35.78	+43.16%	汽车零部件
245	301117	佳缘科技	34.71	-1.64%	5733	13,802	06.30	-	300.00	3.40	0.04%	44.83	+58.77%	软件开发
246	603755	日辰股份	26.88	-1.39%	5721	6,357	06.30	-	42.09	3.59	0.93%	26.51	+0.13%	食品饮料
247	300937	药易购	29.00	+0.28%	5717	15,032	06.30	-	-	3.33	0.34%	27.74	+16.32%	医药商业
248	300126	锐奇股份	7.30	+3.69%	5695	14,974	06.30	-	-	2.12	0.14%	22.19	+42.30%	通用设备
249	603506	南都物业	13.81	+2.14%	5683	7,770	06.30	-	61.25	2.12	-	25.93	+62.28%	房地产服务
250	300599	雄塑科技	8.00	-0.50%	5674	14,491	06.30	-	-	1.44	-	28.65	+10.80%	装修建材
251	300635	中达安	14.53	+5.44%	5670	15,114	06.30	-	-	5.39	-	20.36	+48.42%	工程咨询服务
252	603031	安孚科技	35.70	-2.43%	5654	10,782	06.30	1.13%	51.07	4.76	0.56%	90.01	+25.99%	电池
253	300743	天地数码	19.62	-0.76%	5651	13,241	06.30	-	28.09	5.00	2.55%	29.67	+32.62%	非金属材料
254	301125	腾亚精工	19.66	-1.01%	5650	8,658	08.29	-	144.47	4.63	0.15%	27.87	+77.54%	通用设备
255	301312	智立方	55.80	+0.72%	5641	17,727	07.31	-	115.62	5.62	0.52%	67.64	+62.21%	专用设备
256	300923	研奥股份	26.11	+0.19%	5639	8,251	08.29	-	50.23	1.82	1.72%	20.52	+37.02%	交运设备
257	300305	裕兴股份	6.36	+1.27%	5631	13,265	06.30	-	-	1.10	0.22%	23.88	+16.70%	塑料制品
258	300971	博亚精工	25.21	+2.27%	5631	16,283	08.20	-	66.97	2.88	0.71%	29.65	+75.66%	通用设备
259	603458	勘设股份	9.17	+2.12%	5630	16,081	08.20	-	-	0.97	-	28.07	+58.65%	工程咨询服务
260	600671	天目药业	19.44	-1.87%	5622	10,088	07.31	-	62.42	37.80	-	23.67	+121.41%	中药
261	301198	喜悦智行	11.52	+3.97%	5622	10,317	06.30	-	-	2.14	-	19.47	+5.49%	塑料制品
262	301036	双乐股份	36.54	-1.11%	5621	15,564	06.30	-	38.04	2.21	1.37%	36.54	-6.28%	化学制品
263	003041	真爱美家	23.30	-4.59%	5617	6,942	08.20	-	52.01	2.26	1.72%	33.55	-11.88%	纺织服装
264	300978	东箭科技	11.16	-0.80%	5606	17,837	06.30	0.75%	32.90	2.91	3.14%	47.17	+5.39%	汽车零部件
265	301191	菲菱科思	107.22	+1.68%	5604	12,991	06.30	0.29%	165.88	4.54	0.93%	74.35	+21.34%	通信设备
266	603991	至正股份	61.76	+0.08%	5595	13,047	06.30	-	-	22.45	-	46.03	+18.31%	塑料制品
267	003030	祖名股份	19.65	+1.39%	5588	11,019	06.30	-	-	2.51	0.76%	24.52	+28.77%	食品饮料
268	301083	百胜智能	16.61	-0.18%	5574	11,868	08.29	-	209.55	3.60	0.72%	29.54	+18.96%	专用设备
269	300514	友讯达	14.11	+0.71%	5573	15,309	08.20	-	18.29	2.58	2.13%	28.22	-0.17%	电网设备
270	300906	日月明	32.07	+3.82%	5568	9,507	06.30	-	71.14	2.90	1.56%	25.66	+25.77%	交运设备
271	300838	浙江力诺	14.32	+2.87%	5553	10,498	06.30	-	300.00	2.01	1.05%	19.76	+14.30%	仪器仪表
272	300845	捷安高科	13.06	+1.00%	5553	18,007	06.30	-	61.20	3.39	1.90%	26.78	+45.66%	软件开发
273	001222	源飞宠物	26.69	+5.62%	5549	15,255	06.30	-	31.83	3.72	0.56%	50.95	+69.89%	家用轻工
274	301055	张小泉	24.93	-0.12%	5548	7,862	06.30	-	101.67	6.04	0.48%	38.89	+58.38%	通用设备
275	000526	学大教育	48.17	+0.08%	5544	12,229	06.30	2.14%	26.24	6.06	-	58.70	+14.53%	教育
276	301188	力诺药包	18.86	-1.26%	5535	11,107	06.30	-	117.57	2.83	0.52%	45.08	+26.18%	玻璃玻纤
277	002749	国光股份	16.04	-0.56%	5526	11,670	06.30	0.28%	19.98	3.63	6.25%	74.80	+20.68%	农药兽药
278	603041	美思德	12.73	-0.47%	5515	10,718	06.30	-	74.11	1.56	0.94%	23.31	+20.26%	化学制品
279	301168	通灵股份	40.65	-0.97%	5515	9,949	06.30	-	215.51	2.27	0.36%	48.78	+51.76%	光伏设备
280	300610	晨化股份	12.28	-0.73%	5512	16,700	08.20	-	41.70	2.28	1.63%	26.40	+25.00%	塑料制品
281	300345	华民股份	8.03	-0.50%	5508	14,552	06.30	-	-	8.86	-	46.53	+42.38%	光伏设备
282	300959	线上线下	45.66	+0.09%	5507	11,573	08.20	-	211.94	3.25	0.72%	36.70	+4.27%	通信服务
283	301199	迈赫股份	28.09	-2.19%	5500	13,447	06.30	-	64.88	2.77	0.25%	52.44	+34.47%	专用设备
284	300395	菲利华	92.55	-3.00%	5482	14,545	06.30	0.93%	145.16	11.27	0.14%	483.36	+146.80%	非金属材料
285	603949	雪龙集团	19.69	+4.79%	5457	18,324	06.30	-	81.04	4.00	0.51%	41.57	+65.14%	汽车零部件
286	301035	润丰股份	80.04	+2.81%	5445	6,828	06.30	0.85%	26.80	3.17	0.74%	224.73	+65.52%	农药兽药
287	301119	正强股份	37.30	-1.87%	5440	8,238	06.30	-	37.80	3.91	2.73%	38.79	+23.55%	汽车零部件
288	605286	同力日升	41.19	-2.67%	5434	7,511	06.30	2.84%	29.64	3.34	0.58%	69.20	+37.03%	专用设备
289	002831	裕同科技	26.57	+1.72%	5420	13,632	06.30	2.17%	15.77	2.16	3.55%	244.58	+0.44%	造纸印刷
290	301013	利和兴	19.31	+3.26%	5411	17,141	06.30	-	-	5.68	0.26%	45.14	+64.81%	专用设备
291	002144	宏达高科	12.90	+4.96%	5401	17,081	08.20	-	278.53	1.08	0.39%	22.80	+24.48%	纺织服装
292	300662	科锐国际	32.00	-2.35%	5399	12,872	08.08	0.27%	36.82	3.00	0.50%	62.98	+52.75%	专业服务
293	002790	瑞尔特	7.35	-0.27%	5394	14,822	06.30	-	25.62	1.46	3.27%	30.71	+3.58%	装修建材
294	300385	雪浪环境	5.25	+2.34%	5392	11,896	07.31	-	-	12.51	-	17.49	+11.46%	环保行业
295	300733	西菱动力	20.87	+0.97%	5385	13,119	06.30	-	87.29	3.82	0.24%	63.79	+79.35%	汽车零部件
296	301012	扬电科技	21.19	+0.57%	5382	16,272	06.30	-	89.31	3.62	0.48%	41.74	+19.13%	电网设备
297	300940	南极光	30.54	+0.46%	5352	16,105	08.20	-	72.38	5.90	-	68.00	+126.22%	光学光电子
298	002760	凤形股份	21.03	+0.38%	5348	14,344	06.30	-	-	2.78	0.48%	22.71	+23.71%	通用设备
299	300652	雷迪克	60.01	+1.45%	5346	9,691	06.30	-	59.04	5.47	0.19%	80.05	+162.98%	汽车零部件
300	301152	天力锂能	27.83	+1.53%	5337	17,018	07.31	-	-	2.40	-	33.05	-15.28%	电池
