序,股票,价,涨,推荐数,北上,扣非PE,PB,股息,ROE,1周内涨,市值.亿,今年来,行业
'34,002444.巨星科技,'32.40,'+0.68%,'2,1.65%,'16.46,'2.27,1.56%,14.61%,'+3.44%,'384.38,'+0.15%,通用设备
'35,600066.宇通客车,'25.65,'-1.65%,'2,10.72%,'16.04,'4.01,5.85%,29.34%,'+2.93%,'567.88,'+1.02%,汽车整车
'36,688696.极米科技,'110.13,'+0.41%,'2,6.55%,'55.31,'2.58,0.27%,5.60%,'-3.28%,'77.09,'+12.35%,家电行业
'37,002557.洽洽食品,'22.72,'-0.96%,'2,3.95%,'19.04,'2.05,5.67%,12.08%,'-0.26%,'116.04,'-17.40%,食品饮料
'38,688536.思瑞浦,'149.04,'+2.89%,'2,0.70%,亏损,'3.71,0.00%,'-1.00%,'+4.60%,'197.63,'+61.12%,半导体
'39,600276.恒瑞医药,'61.58,'-1.16%,'2,8.39%,'61.92,'8.70,0.32%,15.40%,'-2.10%,'3928.19,'+34.64%,化学制药
'40,600733.北汽蓝谷,'9.08,'+3.77%,'2,1.21%,亏损,'11.11,0.00%,'-1.00%,'+11.82%,'506.07,'+13.50%,汽车整车
'41,600104.上汽集团,'17.53,'-2.23%,'2,2.97%,亏损,'0.69,0.50%,0.68%,'+2.04%,'2029.15,'-15.14%,汽车整车
'42,601633.长城汽车,'22.61,'+1.57%,'2,1.37%,'21.08,'2.34,1.99%,14.52%,'+4.53%,'1410.90,'-12.35%,汽车整车
'43,603529.爱玛科技,'35.63,'+0.71%,'2,2.08%,'16.01,'3.21,2.57%,23.63%,'+2.80%,'309.65,'-11.70%,交运设备
'44,002850.科达利,'116.68,'+2.03%,'2,2.43%,'20.83,'2.54,1.75%,13.42%,'+4.53%,'312.78,'+21.58%,电池
'45,603501.豪威集团,'121.22,'-0.21%,'2,13.37%,'44.19,'5.85,0.46%,15.70%,'-0.05%,'1475.52,'+16.31%,半导体
'46,605333.沪光股份,'35.44,'+1.14%,'2,0.34%,'23.72,'6.68,0.65%,33.47%,'+7.46%,'154.79,'+9.51%,汽车零部件
'47,688005.容百科技,'21.63,'+1.36%,'2,1.08%,'91.71,'1.86,1.71%,2.60%,'-3.05%,'154.60,'+3.49%,电池
'48,002948.青岛银行,'5.11,'+0.99%,'2,1.83%,'6.79,'0.66,3.16%,10.37%,'+6.53%,'178.54,'+35.89%,银行
'49,603171.税友股份,'50.79,'+1.72%,'2,0.34%,'269.07,'8.20,0.39%,4.19%,'-1.05%,'206.60,'+67.36%,互联网服务
'50,002203.海亮股份,'12.17,'-1.78%,'2,1.19%,'39.64,'1.75,1.45%,5.16%,'+13.05%,'247.94,'+15.08%,有色金属
'51,300685.艾德生物,'23.65,'-0.55%,'2,8.09%,'32.57,'4.94,1.26%,16.44%,'+1.58%,'93.11,'+5.24%,医疗器械
'52,601933.永辉超市,'4.74,0.00%,'2,1.14%,亏损,'9.43,0.00%,'-1.00%,'+0.21%,'430.16,'-25.24%,商业百货
'53,600459.贵研铂业,'15.52,'+0.39%,'1,1.02%,'20.93,'1.62,1.55%,8.40%,'+2.71%,'118.00,'+14.83%,小金属
'54,603087.甘李药业,'64.36,'+1.05%,'1,1.25%,'61.61,'3.42,2.33%,7.50%,'+11.16%,'386.85,'+48.45%,生物制品
'55,600422.昆药集团,'14.61,'-0.95%,'1,1.26%,'29.23,'2.07,2.05%,11.52%,'-0.20%,'110.59,'-5.92%,中药
'56,300395.菲利华,'76.50,'-1.86%,'1,0.93%,'131.31,'9.59,0.17%,8.30%,'-7.64%,'407.11,'+104.00%,非金属材料
'57,603567.珍宝岛,'12.92,'+2.54%,'1,0.59%,'62.70,'1.54,1.55%,2.80%,'-0.77%,'121.58,'+11.38%,中药
'58,688234.天岳先进,'61.39,'+1.47%,'1,0.56%,'227.25,'4.95,0.00%,2.68%,'+3.87%,'263.80,'+19.90%,半导体
'59,300779.惠城环保,'175.87,'+2.17%,'1,0.48%,亏损,'25.29,0.06%,0.95%,'+0.93%,'337.48,'+80.29%,环保行业
'60,603266.天龙股份,'22.44,'+0.63%,'1,'-,'48.93,'2.89,0.76%,6.86%,'+2.89%,'44.63,'+40.63%,塑料制品
'61,600480.凌云股份,'13.04,'+4.99%,'1,1.44%,'29.77,'2.05,2.36%,8.62%,'+11.84%,'159.40,'+60.15%,汽车零部件
'62,603811.诚意药业,'15.60,'+5.41%,'1,'-,'36.14,'3.93,1.60%,16.95%,'+22.83%,'51.06,'+107.43%,化学制药
'63,600874.创业环保,'5.93,'-0.50%,'1,1.13%,'12.83,'0.94,2.87%,8.40%,'+1.02%,'72.96,'+2.14%,环保行业
'64,300586.美联新材,'13.89,'+4.44%,'1,0.55%,'300.00,'4.92,0.00%,0.97%,'+6.15%,'94.59,'+70.64%,塑料制品
'65,688208.道通科技,'36.55,'+2.52%,'1,6.46%,'39.99,'6.51,1.66%,20.36%,'+4.94%,'244.95,'+40.00%,计算机设备
'66,688484.南芯科技,'41.19,'-0.99%,'1,2.26%,'68.37,'4.38,0.73%,6.89%,'+7.66%,'175.35,'+14.87%,半导体
'67,603416.信捷电气,'58.60,'+7.11%,'1,2.04%,'44.72,'3.93,1.48%,10.23%,'+6.06%,'92.08,'+42.10%,专用设备
'68,603505.金石资源,'15.93,'+0.63%,'1,0.52%,'50.17,'8.06,0.68%,15.69%,'+1.21%,'134.08,'-5.94%,采掘行业
'69,600761.安徽合力,'18.44,'+1.60%,'1,1.73%,'16.81,'1.54,3.25%,13.12%,'+3.71%,'164.24,'+8.50%,工程机械
'70,603886.元祖股份,'12.75,0.00%,'1,'-,'15.64,'1.88,7.84%,14.16%,'+1.35%,'30.60,'-4.96%,食品饮料
'71,603518.锦泓集团,'9.85,'+0.20%,'1,'-,'13.57,'0.92,3.15%,7.73%,'-1.10%,'34.10,'+4.39%,纺织服装
'72,300746.汉嘉设计,'15.59,'+0.45%,'1,'-,亏损,'4.62,0.00%,'-1.00%,'+0.71%,'35.03,'+36.63%,工程咨询服务
'73,688266.泽璟制药-U,'111.76,'-0.79%,'1,0.83%,亏损,'24.13,0.00%,'-1.00%,'-0.06%,'295.84,'+79.36%,化学制药
'74,688531.日联科技,'59.27,'+6.70%,'1,0.30%,'107.12,'3.00,0.93%,4.44%,'+17.13%,'98.15,'+81.46%,专用设备
