序,股票,价,涨,持股比,持有市值.亿,近3月,近1年,近2年,近3年,PE,股息,市值,今年来,行业
'83,002563.森马服饰,'5.48,'+0.18%,6.37%,'9.03,'-0.42%,'-1.82%,'+0.15%,'+2.05%,'17.59,6.39%,'147.64,'-17.10%,纺织服装
'84,300408.三环集团,'43.64,'-1.31%,6.37%,'40.75,'-1.21%,'+0.13%,'+2.30%,'+1.54%,'40.11,0.87%,'836.36,'+14.67%,电子元件
'85,603236.移远通信,'106.81,'-2.89%,6.36%,'14.27,'+0.60%,'+3.61%,'+4.12%,'+2.41%,'35.16,1.15%,'279.48,'+57.77%,通信设备
'86,603596.伯特利,'46.55,'-2.39%,6.34%,'20.27,'-0.46%,'-1.94%,'+3.40%,'+5.65%,'23.51,0.75%,'282.33,'+5.11%,汽车零部件
'87,600132.重庆啤酒,'55.07,'-0.65%,6.24%,'16.63,'+0.32%,'+0.13%,'-0.30%,'-2.98%,'22.42,4.36%,'266.52,'-11.18%,酿酒行业
'88,002001.新和成,'24.83,'-0.28%,6.24%,'40.82,'+0.65%,'+2.05%,'+4.07%,'+3.14%,'10.38,2.82%,'763.13,'+16.62%,化学制药
'89,002138.顺络电子,'35.84,'+10.01%,6.23%,'14.13,'-1.00%,'-3.12%,'-0.34%,'-0.52%,'32.27,1.67%,'288.98,'+16.16%,电子元件
'90,600900.长江电力,'27.79,'-1.07%,6.19%,'456.18,'+0.17%,'-1.66%,'-0.54%,'-2.31%,'19.81,3.39%,'6799.72,'-2.90%,电力行业
'91,600522.中天科技,'16.15,'-0.55%,6.17%,'30.47,'+0.35%,'-4.04%,'-2.33%,'-0.27%,'20.52,1.86%,'551.19,'+15.18%,通信设备
'92,601877.正泰电器,'27.90,'+1.79%,6.13%,'29.89,'+0.75%,'+2.05%,'+2.25%,'+2.17%,'13.94,2.15%,'599.56,'+22.42%,电网设备
'93,603986.兆易创新,'174.88,'+10.00%,6.12%,'51.42,'+0.01%,'+1.87%,'+1.81%,'+1.52%,'105.43,0.19%,'1161.26,'+64.21%,半导体
'94,600312.平高电气,'15.90,'+0.57%,6.12%,'12.77,'-5.80%,'-4.42%,'+3.39%,'+5.90%,'19.24,1.82%,'215.75,'-16.43%,电网设备
'95,603606.东方电缆,'54.70,'+3.64%,6.09%,'21.66,'+1.21%,'+0.40%,'+1.94%,'+0.35%,'45.73,0.82%,'376.18,'+5.06%,电网设备
'96,600872.中炬高新,'19.20,'+0.42%,6.02%,'8.90,'-0.30%,'-0.07%,'+1.02%,'+1.46%,'25.17,2.19%,'149.57,'-10.83%,食品饮料
'97,002555.三七互娱,'19.65,'-0.20%,6.01%,'22.97,'+2.81%,'-0.25%,'-2.00%,'-1.45%,'16.08,5.09%,'434.70,'+30.63%,游戏
'98,002624.完美世界,'16.28,'-2.28%,5.99%,'17.63,'+2.71%,'+4.94%,'-3.16%,'+2.80%,'-,1.41%,'315.83,'+60.10%,游戏
'99,601318.中国平安,'58.51,'-2.29%,5.94%,'354.55,'-0.29%,'+0.57%,'-0.63%,'+0.11%,'9.13,4.36%,'6297.23,'+14.35%,保险
'100,002690.美亚光电,'20.26,'+1.30%,5.87%,'8.73,'+0.93%,'-1.71%,'-7.45%,'-5.76%,'27.12,3.46%,'178.74,'+42.41%,专用设备
