排名,股票,价,涨,便宜指数,北上持股,PE.扣非,PE.TTM,PB,股息,ROE,市值(亿),今年来,行业
'86,SH600256.广汇能源,'5.13,'-3.21%,'6.85,1.43%,'14.29,'13.90,'1.38,12.32%,9.51%,'327.91,'-15.24%,石油行业
'87,SZ000581.威孚高科,'22.48,'-0.13%,'6.85,2.59%,'17.26,'15.45,'1.10,5.17%,7.20%,'178.58,'+24.59%,汽车零部件
'88,SZ002884.凌霄泵业,'17.11,'-2.78%,'6.85,0.94%,'13.98,'13.32,'2.79,5.84%,21.41%,'61.20,'-0.46%,通用设备
'89,SZ002532.天山铝业,'9.98,'-1.09%,'6.84,2.42%,'10.77,'10.40,'1.67,4.01%,16.77%,'464.26,'+29.95%,有色金属
'90,SH603365.水星家纺,'17.15,'-0.17%,'6.84,'-,'14.76,'12.45,'1.55,5.25%,12.68%,'45.04,'+10.97%,纺织服装
'91,SZ001286.陕西能源,'9.17,0.00%,'6.83,0.24%,'12.45,'12.27,'1.38,4.47%,11.55%,'343.88,'+3.43%,电力行业
'92,SZ000933.神火股份,'19.28,'-0.15%,'6.83,1.74%,'10.93,'11.04,'1.94,4.15%,18.38%,'433.67,'+17.44%,有色金属
'93,SH600350.山东高速,'9.22,'+1.10%,'6.82,1.18%,'14.71,'13.67,'1.09,4.56%,7.96%,'445.75,'-6.44%,铁路公路
'94,SZ002483.润邦股份,'6.62,'-1.19%,'6.82,4.85%,'12.87,'12.37,'1.36,4.53%,11.30%,'58.68,'+33.45%,专用设备
'95,SZ000404.长虹华意,'7.37,'-1.21%,'6.81,0.14%,'12.18,'10.67,'1.23,4.07%,11.99%,'51.29,'+3.87%,家电行业
'96,SH600583.海油工程,'5.51,'-0.36%,'6.80,2.61%,'12.63,'11.81,'0.92,3.65%,7.96%,'243.62,'+4.61%,采掘行业
'97,SH600803.新奥股份,'18.76,'-0.21%,'6.80,3.88%,'14.06,'13.29,'2.51,5.49%,19.27%,'581.01,'-8.73%,燃气
'98,SH601518.吉林高速,'2.78,'-0.36%,'6.77,0.03%,'10.54,'10.05,'0.96,3.09%,9.92%,'52.56,'+3.20%,铁路公路
'99,SH600998.九州通,'5.13,'+0.20%,'6.74,1.79%,'16.32,'9.42,'0.93,3.90%,10.54%,'258.68,'+4.06%,医药商业
'100,SH600033.福建高速,'3.49,0.00%,'6.73,1.15%,'11.76,'12.04,'0.78,2.87%,6.72%,'95.78,'-8.79%,铁路公路
'101,SH601886.江河集团,'7.71,'-0.13%,'6.72,3.87%,'18.28,'13.58,'1.21,7.13%,8.93%,'87.35,'+52.87%,装修装饰
'102,SZ002818.富森美,'12.31,'-0.41%,'6.72,0.94%,'14.59,'13.78,'1.64,8.77%,11.75%,'92.14,'-13.45%,商业百货
'103,SZ002267.陕天然气,'8.34,'+0.60%,'6.72,0.87%,'16.27,'12.99,'1.41,5.40%,10.67%,'92.75,'+3.16%,燃气
'104,SZ300770.新媒股份,'45.92,'-2.71%,'6.70,1.08%,'14.25,'14.50,'2.81,6.25%,19.46%,'105.22,'+15.76%,文化传媒
'105,SH601163.三角轮胎,'13.92,'-0.43%,'6.69,1.54%,'16.62,'12.56,'0.83,3.81%,6.72%,'111.36,'-4.17%,橡胶制品
