排名,股票,价,涨,便宜指数,北上持股,PE.扣非,PE.TTM,PB,股息,ROE,市值(亿),今年来,行业
'37,SH600928.西安银行,'3.90,'+0.26%,'9.30,2.00%,'6.71,'6.70,'0.51,2.56%,7.93%,'173.33,'+10.64%,银行
'38,SH601328.交通银行,'7.72,'-0.64%,'9.21,2.62%,'7.32,'7.26,'0.59,3.61%,8.24%,'4118.77,'+4.54%,银行
'39,SZ002966.苏州银行,'8.69,'-0.46%,'9.14,2.67%,'7.63,'7.55,'0.68,4.22%,9.87%,'390.29,'+9.63%,银行
'40,SH600064.南京高科,'7.60,'+0.40%,'9.10,0.84%,'7.29,'6.95,'0.68,3.95%,10.11%,'131.51,'+1.56%,房地产开发
'41,SH601009.南京银行,'11.98,'+0.17%,'8.90,2.88%,'7.29,'7.20,'0.77,4.09%,11.17%,'1481.16,'+14.38%,银行
'42,SZ002948.青岛银行,'5.11,'+0.99%,'8.88,1.83%,'6.79,'6.63,'0.66,3.16%,10.37%,'178.54,'+35.89%,银行
'43,SH601398.工商银行,'7.76,0.00%,'8.87,0.92%,'7.66,'7.63,'0.69,3.97%,9.18%,'20921.91,'+16.98%,银行
'44,SH601988.中国银行,'5.66,'+0.18%,'8.87,0.69%,'7.74,'7.72,'0.65,3.78%,8.62%,'13504.20,'+7.35%,银行
'45,SZ002936.郑州银行,'2.10,'-0.47%,'8.87,1.23%,'9.94,'9.97,'0.35,0.95%,3.55%,'149.21,'+0.91%,银行
'46,SH600926.杭州银行,'16.36,'-0.43%,'8.81,4.28%,'6.72,'6.64,'0.81,3.58%,13.61%,'1185.94,'+13.83%,银行
'47,SH600048.保利发展,'8.01,'-0.37%,'8.70,4.30%,'23.79,'20.28,'0.48,5.12%,2.37%,'958.83,'-9.59%,房地产开发
'48,SH600985.淮北矿业,'12.89,'+2.06%,'8.67,1.06%,'9.25,'8.77,'0.81,5.82%,9.31%,'347.16,'-2.65%,煤炭行业
'49,SH600036.招商银行,'45.12,'-0.29%,'8.63,6.62%,'7.73,'7.71,'0.91,4.43%,12.48%,'9307.78,'+19.78%,银行
'50,SZ002142.宁波银行,'28.92,'+1.51%,'8.45,3.77%,'6.80,'6.83,'0.80,3.16%,12.37%,'1881.36,'+22.93%,银行
'51,SZ000543.皖能电力,'7.12,0.00%,'8.45,0.33%,'7.94,'7.86,'1.00,4.48%,13.52%,'161.40,'-5.90%,电力行业
'52,SH600971.恒源煤电,'7.05,'+1.44%,'8.44,2.20%,'11.82,'12.67,'0.68,6.67%,5.24%,'84.60,'-20.24%,煤炭行业
'53,SZ000090.天健集团,'3.50,'-0.85%,'8.44,1.15%,'12.13,'11.70,'0.45,2.83%,3.86%,'65.96,'-12.50%,房地产开发
'54,SH601128.常熟银行,'7.68,'+0.26%,'8.38,3.17%,'6.49,'6.46,'0.86,2.96%,14.12%,'254.71,'+15.20%,银行
'55,SH601717.中创智领,'17.39,0.00%,'8.35,5.04%,'8.47,'7.80,'1.38,6.44%,18.16%,'268.18,'+42.96%,汽车零部件
'56,SZ002091.江苏国泰,'7.38,'-0.67%,'8.32,1.73%,'11.32,'10.65,'0.76,5.38%,7.24%,'120.93,'+5.03%,贸易行业
'57,SH600970.中材国际,'9.12,'-0.22%,'8.30,2.35%,'9.03,'8.00,'1.11,4.93%,14.51%,'240.76,'+1.13%,工程建设
'58,SH601857.中国石油,'8.64,'+0.58%,'8.29,0.53%,'9.08,'9.54,'1.01,5.44%,10.85%,'13990.07,'-0.58%,石油行业
'59,SH601288.农业银行,'6.62,'+1.22%,'8.29,0.96%,'8.18,'8.17,'0.74,3.65%,9.26%,'21133.97,'+29.36%,银行
'60,SH600219.南山铝业,'4.05,'+0.75%,'8.28,6.45%,'8.15,'8.28,'0.91,4.21%,11.42%,'470.35,'+6.16%,有色金属
'61,SH601898.中煤能源,'12.45,'+2.55%,'8.26,0.72%,'9.09,'9.00,'1.06,6.23%,11.99%,'1139.42,'+2.22%,煤炭行业
'62,SH600000.浦发银行,'13.79,'+0.29%,'8.25,2.94%,'9.36,'9.19,'0.56,2.97%,6.10%,'4173.91,'+38.08%,银行
'63,SH601658.邮储银行,'5.90,'+0.85%,'8.23,0.94%,'8.33,'8.26,'0.71,3.51%,8.57%,'5914.09,'+9.02%,银行
'64,SH600008.首创环保,'3.10,0.00%,'8.21,1.90%,'14.32,'6.38,'0.77,5.48%,12.06%,'227.56,'-0.27%,公用事业
'65,SH600704.物产中大,'5.44,'-0.73%,'8.19,2.51%,'10.68,'8.70,'0.65,3.88%,7.96%,'281.31,'+11.53%,物流行业
'66,SH600096.云天化,'24.56,'+1.32%,'8.16,12.59%,'8.91,'8.67,'1.89,5.74%,23.52%,'447.73,'+16.89%,化肥行业
'67,SH601666.平煤股份,'8.44,'+2.30%,'8.11,0.47%,'11.83,'11.84,'0.78,7.13%,6.36%,'208.41,'-9.70%,煤炭行业
'68,SH600741.华域汽车,'18.02,'+0.50%,'8.03,4.42%,'9.75,'8.48,'0.90,4.44%,10.95%,'568.12,'+6.87%,汽车零部件
'69,SH600023.浙能电力,'5.24,'-0.19%,'8.00,1.28%,'10.96,'10.02,'0.94,5.53%,9.72%,'702.62,'-2.40%,电力行业
'70,SH601107.四川成渝,'5.64,'-1.23%,'7.99,1.27%,'11.87,'11.32,'0.86,5.14%,8.44%,'121.98,'+12.90%,铁路公路
'71,SH600582.天地科技,'6.32,'+0.48%,'7.99,1.80%,'11.60,'7.77,'1.01,5.02%,13.59%,'261.56,'+7.70%,专用设备
'72,SH603368.柳药集团,'18.33,'-1.13%,'7.96,0.82%,'8.96,'8.75,'0.92,4.11%,11.23%,'72.80,'+7.27%,医药商业
'73,SH601156.东航物流,'14.39,'+0.91%,'7.96,1.07%,'9.09,'8.64,'1.27,4.70%,15.51%,'228.45,'-12.78%,物流行业
'74,SH600694.大商股份,'19.47,'-0.76%,'7.94,4.50%,'12.18,'11.51,'0.76,4.67%,6.67%,'67.71,'-15.22%,商业百货
'75,SH601001.晋控煤业,'14.50,'+6.62%,'7.93,1.32%,'9.58,'9.55,'1.27,5.21%,13.74%,'242.69,'+11.94%,煤炭行业
'76,SH600035.楚天高速,'4.32,'-0.23%,'7.91,1.77%,'9.79,'9.11,'0.78,3.94%,8.79%,'69.56,'-2.38%,铁路公路
