排名,股票,价,涨,PEG,PE.扣非,预测增速,北上持股,PB,股息,ROE,市值.亿,今年来,行业
'228,SH601198.东兴证券,'12.16,'-0.41%,'1.59,'22.00,13.53%,1.30%,'1.35,1.18%,6.31%,'393,'+11.31%,证券
'229,SH601811.新华文轩,'16.18,'-0.80%,'1.59,'11.84,7.12%,1.57%,'1.32,3.71%,11.75%,'128,'+4.84%,文化传媒
'230,SH603889.新澳股份,'6.03,0.00%,'1.59,'10.18,6.64%,0.34%,'1.26,4.98%,12.87%,'44,'-9.55%,纺织服装
'231,SZ002917.金奥博,'14.53,'-0.62%,'1.59,'36.32,23.70%,'-,'3.03,0.69%,8.61%,'51,'+53.07%,化学制品
'232,SZ300428.立中集团,'21.46,'+1.18%,'1.59,'18.90,14.05%,0.56%,'1.79,1.57%,9.98%,'137,'+34.23%,汽车零部件
'233,SZ300791.仙乐健康,'25.52,'-2.60%,'1.59,'23.64,14.87%,0.51%,'3.07,1.96%,13.58%,'78,'+28.61%,食品饮料
'234,SH600982.宁波能源,'4.64,'+1.09%,'1.60,'17.22,13.59%,0.18%,'1.08,3.23%,6.71%,'52,'+16.23%,电力行业
'235,SH603112.华翔股份,'17.61,'+0.34%,'1.60,'17.92,12.97%,0.45%,'2.25,2.21%,15.00%,'95,'+41.86%,家电行业
'236,SH688616.西力科技,'13.23,'-2.14%,'1.61,'22.18,14.50%,'-,'2.89,2.27%,13.09%,'24,'+30.33%,电网设备
'237,SZ002014.永新股份,'11.23,'-0.62%,'1.61,'14.61,9.60%,0.54%,'2.87,5.52%,20.06%,'69,'+7.92%,包装材料
'238,SH601633.长城汽车,'26.08,'+0.89%,'1.63,'18.68,17.84%,1.37%,'2.64,1.73%,15.09%,'1627,'+1.10%,汽车整车
'239,SH603855.华荣股份,'20.61,'-3.24%,'1.63,'15.12,9.34%,3.20%,'3.50,4.85%,24.13%,'70,'+6.62%,专用设备
'240,SH603939.益丰药房,'23.51,'-0.97%,'1.63,'17.69,11.14%,19.58%,'2.56,2.76%,15.08%,'285,'-0.95%,医药商业
'241,SZ002911.佛燃能源,'11.48,'-1.71%,'1.64,'17.04,10.82%,0.35%,'1.78,4.18%,10.76%,'149,'-5.28%,燃气
'242,SH603055.台华新材,'9.42,'-0.63%,'1.65,'13.38,11.84%,0.36%,'1.64,2.65%,12.79%,'84,'-12.71%,纺织服装
'243,SH603530.神马电力,'29.25,'-0.34%,'1.65,'38.27,23.70%,1.62%,'7.22,1.57%,19.70%,'126,'+20.41%,电网设备
'244,SH688089.嘉必优,'27.36,'-5.07%,'1.65,'28.03,19.00%,'-,'2.83,0.73%,10.47%,'46,'+44.94%,食品饮料
'245,SZ300566.激智科技,'19.61,'+0.20%,'1.66,'28.41,20.76%,0.04%,'2.51,1.02%,9.19%,'52,'+0.52%,光学光电子
'246,SH603238.诺邦股份,'21.37,'-6.97%,'1.67,'32.56,21.04%,'-,'2.69,1.40%,8.44%,'38,'+67.97%,美容护理
'247,SZ002270.华明装备,'19.06,'-1.04%,'1.67,'25.56,15.76%,17.44%,'5.40,2.86%,21.12%,'171,'+14.74%,电网设备
'248,SZ300018.中元股份,'8.61,'-0.35%,'1.67,'40.70,23.50%,'-,'3.15,0.81%,8.00%,'42,'+28.49%,电网设备
'249,SZ000887.中鼎股份,'22.32,'-3.83%,'1.68,'21.72,14.39%,1.88%,'2.14,0.67%,10.34%,'294,'+71.60%,汽车零部件
'250,SZ002353.杰瑞股份,'47.20,'-0.51%,'1.68,'17.38,10.59%,5.58%,'2.21,1.72%,13.37%,'483,'+30.22%,专用设备
'251,SH600750.江中药业,'21.93,'+0.32%,'1.69,'16.95,10.85%,1.44%,'3.53,5.45%,20.99%,'139,'-0.34%,中药
'252,SZ000783.长江证券,'8.41,'-1.64%,'1.69,'16.70,9.98%,2.36%,'1.15,1.78%,7.16%,'465,'+26.10%,证券
'253,SZ000913.钱江摩托,'16.81,'-1.06%,'1.69,'14.83,11.09%,2.13%,'1.82,4.64%,12.61%,'89,'-4.18%,交运设备
'254,SZ000568.泸州老窖,'135.85,'-0.98%,'1.71,'15.25,8.95%,2.22%,'4.30,4.38%,29.68%,'2000,'+13.86%,酿酒行业
'255,SZ300545.联得装备,'36.00,'-2.01%,'1.71,'32.72,20.53%,0.17%,'3.37,0.54%,10.93%,'67,'+15.72%,光学光电子
'256,SH600487.亨通光电,'20.71,'+1.12%,'1.73,'18.42,11.23%,2.61%,'1.71,1.11%,9.69%,'511,'+22.08%,通信设备
'257,SH603786.科博达,'58.80,'-0.32%,'1.73,'27.89,16.81%,0.99%,'4.34,1.11%,16.58%,'237,'-3.70%,汽车零部件
