排名,股票,价,平均ROE,当前ROE,ROE详情,北上持股,扣非PE,PB,股息,A股市值,今年来,行业
'35,300896.爱美客,'196.90,25.65%,22.53%,查看ROE详情,2.31%,'39.60,'7.99,1.93%,'595.80,'+10.29%,美容护理
'36,601899.紫金矿业,'24.38,25.62%,29.99%,查看ROE详情,7.72%,'17.10,'4.56,1.15%,'5019.53,'+63.59%,有色金属
'37,603355.莱克电气,'22.58,25.51%,20.44%,查看ROE详情,1.17%,'13.19,'2.42,6.64%,'129.49,'-0.31%,家电行业
'38,603444.吉比特,'460.00,25.42%,20.94%,查看ROE详情,9.68%,'31.20,'6.26,2.17%,'331.39,'+113.30%,游戏
'39,600961.株冶集团,'14.28,24.89%,23.01%,查看ROE详情,0.71%,'15.19,'3.25,'-,'153.21,'+81.45%,有色金属
'40,600873.梅花生物,'10.98,24.85%,20.85%,查看ROE详情,2.82%,'10.36,'2.09,5.48%,'313.24,'+13.81%,化学制品
'41,000895.双汇发展,'25.61,24.50%,24.14%,查看ROE详情,1.81%,'18.50,'4.26,8.04%,'887.30,'+4.15%,食品饮料
'42,688036.传音控股,'90.00,24.49%,20.30%,查看ROE详情,2.82%,'34.09,'5.18,3.33%,'1026.32,'-3.29%,消费电子
'43,000858.五粮液,'128.87,24.48%,23.83%,查看ROE详情,3.08%,'15.50,'3.56,4.46%,'5002.23,'-3.70%,酿酒行业
'44,300033.同花顺,'397.41,24.28%,29.37%,查看ROE详情,2.29%,'112.16,'31.16,0.75%,'2136.48,'+39.64%,软件开发
'45,603699.纽威股份,'33.79,24.27%,32.66%,查看ROE详情,8.19%,'20.41,'6.30,4.49%,'259.70,'+57.91%,通用设备
'46,301015.百洋医药,'25.92,24.15%,20.23%,查看ROE详情,0.27%,'29.45,'6.28,2.94%,'136.24,'+11.69%,医药商业
'47,300979.华利集团,'52.59,24.00%,23.04%,查看ROE详情,0.49%,'16.96,'3.80,4.37%,'613.73,'-30.20%,纺织服装
'48,603619.中曼石油,'19.44,23.96%,17.53%,查看ROE详情,0.95%,'15.92,'2.15,3.76%,'89.88,'+1.95%,采掘行业
'49,601882.海天精工,'21.00,23.94%,17.87%,查看ROE详情,0.18%,'25.72,'3.98,1.71%,'109.62,'-2.41%,通用设备
'50,603283.赛腾股份,'42.55,23.92%,19.00%,查看ROE详情,0.40%,'24.00,'3.75,0.94%,'118.54,'-13.19%,专用设备
'51,300750.宁德时代,'304.00,23.91%,23.77%,查看ROE详情,13.78%,'26.58,'4.70,2.23%,'13386.33,'+17.55%,电池
'52,603025.大豪科技,'16.74,23.82%,29.08%,查看ROE详情,0.36%,'28.15,'7.79,2.08%,'186.93,'+12.74%,专用设备
'53,603369.今世缘,'42.90,23.70%,20.72%,查看ROE详情,2.75%,'16.94,'3.30,2.80%,'534.88,'-2.48%,酿酒行业
'54,603129.春风动力,'272.00,23.69%,28.91%,查看ROE详情,3.88%,'24.34,'6.13,1.42%,'415.01,'+76.96%,交运设备
'55,300724.捷佳伟创,'108.12,23.63%,30.52%,查看ROE详情,2.41%,'12.26,'3.01,1.11%,'375.95,'+74.95%,光伏设备
'56,600563.法拉电子,'120.00,23.26%,22.22%,查看ROE详情,7.06%,'24.12,'4.99,1.67%,'270.00,'+2.84%,电子元件
'57,603855.华荣股份,'20.61,23.17%,24.13%,查看ROE详情,3.20%,'15.22,'3.50,4.85%,'69.56,'+6.62%,专用设备
'58,600285.羚锐制药,'23.31,23.09%,27.17%,查看ROE详情,1.73%,'19.14,'4.31,3.86%,'132.19,'+9.33%,中药
'59,300866.安克创新,'145.05,23.07%,27.84%,查看ROE详情,8.93%,'37.33,'8.51,1.44%,'777.70,'+50.83%,消费电子
'60,300910.瑞丰新材,'61.01,22.97%,24.15%,查看ROE详情,1.34%,'24.92,'5.22,1.97%,'180.55,'+30.83%,化学制品
'61,688019.安集科技,'189.99,22.85%,25.03%,查看ROE详情,7.58%,'49.41,'10.51,0.18%,'320.24,'+77.62%,电子化学品
'62,002920.德赛西威,'126.37,22.70%,26.54%,查看ROE详情,1.41%,'30.38,'7.28,0.95%,'701.29,'+16.17%,汽车零部件
'63,002011.盾安环境,'12.73,22.67%,20.16%,查看ROE详情,1.21%,'13.84,'2.23,'-,'135.63,'+17.76%,家电行业
'64,603360.百傲化学,'26.53,22.64%,17.12%,查看ROE详情,0.34%,'74.98,'11.84,1.62%,'187.36,'+70.61%,农药兽药
'65,002555.三七互娱,'19.65,22.46%,21.90%,查看ROE详情,6.01%,'16.08,'3.34,5.09%,'434.70,'+30.63%,游戏
'66,300832.新产业,'62.52,22.44%,21.26%,查看ROE详情,2.83%,'31.11,'5.91,2.08%,'491.23,'-9.75%,医疗器械
'67,300487.蓝晓科技,'56.06,22.20%,21.72%,查看ROE详情,9.86%,'36.09,'7.00,1.28%,'284.60,'+18.50%,塑料制品
'68,002372.伟星新材,'10.69,22.16%,19.21%,查看ROE详情,3.23%,'20.13,'3.72,5.61%,'170.19,'-11.69%,装修建材
'69,601702.华峰铝业,'17.76,22.10%,23.02%,查看ROE详情,0.47%,'14.89,'3.05,1.69%,'177.34,'-1.22%,有色金属
'70,000596.古井贡酒,'170.40,22.04%,23.42%,查看ROE详情,1.26%,'16.25,'3.58,3.52%,'696.25,'+2.60%,酿酒行业
'71,002594.比亚迪,'109.70,21.87%,22.47%,查看ROE详情,7.07%,'26.14,'4.31,1.21%,'5960.88,'+17.82%,汽车整车
'72,002475.立讯精密,'45.27,21.83%,21.77%,查看ROE详情,4.73%,'26.62,'4.39,0.44%,'3282.99,'+11.69%,消费电子
'73,603288.海天味业,'41.22,21.75%,20.25%,查看ROE详情,3.52%,'36.77,'6.16,2.09%,'2292.08,'-8.42%,食品饮料
'74,002318.久立特材,'22.37,21.75%,22.41%,查看ROE详情,4.57%,'13.20,'2.82,4.34%,'218.59,'-0.59%,钢铁行业
'75,600436.片仔癀,'207.33,21.69%,19.07%,查看ROE详情,3.19%,'45.60,'8.55,1.43%,'1250.86,'-2.47%,中药
'76,002056.横店东磁,'18.54,21.68%,22.84%,查看ROE详情,3.04%,'14.07,'2.89,2.44%,'301.59,'+47.89%,光伏设备
'77,002158.汉钟精机,'25.50,21.65%,16.51%,查看ROE详情,0.77%,'21.16,'3.18,2.27%,'136.35,'+42.26%,通用设备
'78,603871.嘉友国际,'12.29,21.54%,19.38%,查看ROE详情,0.55%,'15.88,'2.91,4.07%,'168.13,'-8.55%,物流行业
'79,300705.九典制药,'18.90,21.45%,21.80%,查看ROE详情,1.41%,'18.83,'3.65,1.64%,'94.54,'+7.39%,化学制药
'80,002463.沪电股份,'69.80,21.41%,27.40%,查看ROE详情,6.41%,'43.62,'10.54,0.72%,'1342.94,'+78.89%,电子元件
'81,000333.美的集团,'74.03,21.38%,22.97%,查看ROE详情,14.64%,'13.60,'2.63,4.73%,'5200.41,'+3.17%,家电行业
'82,603613.国联股份,'29.59,21.36%,18.07%,查看ROE详情,1.14%,'15.16,'2.51,0.22%,'213.21,'+11.64%,互联网服务
'83,603088.宁波精达,'10.00,21.34%,16.07%,查看ROE详情,'-,'36.72,'4.67,2.53%,'50.24,'+13.71%,通用设备
'84,000848.承德露露,'8.67,21.34%,19.60%,查看ROE详情,1.79%,'14.64,'2.69,3.46%,'91.26,'-0.52%,食品饮料
'85,600660.福耀玻璃,'65.81,21.09%,26.17%,查看ROE详情,18.64%,'20.03,'4.82,2.74%,'1318.17,'+8.83%,玻璃玻纤
'86,603565.中谷物流,'11.17,20.98%,21.06%,查看ROE详情,0.92%,'15.65,'2.24,7.07%,'234.58,'+23.33%,物流行业
'87,002043.兔宝宝,'10.85,20.91%,20.23%,查看ROE详情,0.76%,'18.25,'2.92,5.55%,'90.03,'-5.78%,装修建材
'88,603170.宝立食品,'14.55,20.86%,17.86%,查看ROE详情,2.01%,'25.68,'4.18,2.75%,'58.20,'-2.62%,食品饮料
'89,300009.安科生物,'11.93,20.71%,17.03%,查看ROE详情,1.24%,'33.33,'5.03,2.10%,'199.53,'+42.23%,生物制品
'90,600845.宝信软件,'25.63,20.67%,15.63%,查看ROE详情,3.11%,'47.02,'6.95,2.36%,'550.26,'-10.31%,互联网服务
'91,603298.杭叉集团,'24.87,20.67%,21.42%,查看ROE详情,4.11%,'15.53,'3.00,2.01%,'325.75,'+42.71%,工程机械
'92,603568.伟明环保,'19.35,20.67%,20.91%,查看ROE详情,1.31%,'12.51,'2.37,2.48%,'329.83,'-8.32%,环保行业
'93,600938.中国海油,'25.94,20.59%,16.97%,查看ROE详情,1.99%,'9.98,'1.57,4.94%,'775.61,'-10.09%,石油行业
'94,300415.伊之密,'25.05,20.51%,22.85%,查看ROE详情,2.80%,'18.40,'3.84,2.00%,'117.37,'+27.93%,专用设备
'95,002595.豪迈科技,'59.59,20.26%,21.73%,查看ROE详情,3.29%,'22.28,'4.29,1.30%,'476.72,'+19.55%,专用设备
'96,002648.卫星化学,'20.00,20.25%,23.56%,查看ROE详情,4.46%,'10.04,'2.17,2.50%,'673.73,'+9.65%,化学原料
'97,603279.景津装备,'15.69,20.21%,15.83%,查看ROE详情,3.81%,'12.64,'1.96,6.76%,'90.45,'-10.04%,通用设备
'98,300124.汇川技术,'75.90,20.09%,18.44%,查看ROE详情,17.60%,'44.10,'6.77,0.54%,'2045.81,'+30.39%,电子元件
'99,000915.华特达因,'33.47,20.01%,18.53%,查看ROE详情,3.15%,'15.54,'2.82,7.47%,'78.43,'+26.59%,化学制药
'100,688697.纽威数控,'14.89,19.84%,19.23%,查看ROE详情,0.06%,'25.79,'4.07,2.88%,'68.10,'+29.38%,通用设备
'101,603259.药明康德,'111.58,19.80%,24.03%,查看ROE详情,12.13%,'29.52,'5.50,1.21%,'2759.69,'+107.12%,医疗服务
'102,600760.中航沈飞,'64.40,19.78%,17.47%,查看ROE详情,1.28%,'63.87,'10.37,0.60%,'1825.80,'+28.04%,航天航空
'103,605099.共创草坪,'33.09,19.78%,21.38%,查看ROE详情,1.16%,'23.36,'4.69,1.93%,'132.90,'+60.76%,家用轻工
'104,601168.西部矿业,'19.33,19.74%,19.66%,查看ROE详情,4.92%,'14.84,'2.77,5.17%,'460.63,'+28.05%,有色金属
'105,601156.东航物流,'15.58,19.64%,15.40%,查看ROE详情,1.07%,'9.89,'1.35,1.85%,'247.34,'-5.56%,物流行业
'106,688625.呈和科技,'34.02,19.63%,20.29%,查看ROE详情,0.12%,'25.08,'4.49,1.26%,'64.07,'+25.81%,化学制品
'107,300770.新媒股份,'45.92,19.63%,19.46%,查看ROE详情,1.08%,'14.25,'2.81,6.25%,'105.22,'+15.76%,文化传媒
'108,603338.浙江鼎力,'53.91,19.62%,18.75%,查看ROE详情,6.77%,'14.95,'2.58,1.85%,'272.97,'-14.53%,工程机械
'109,603551.奥普科技,'12.59,19.56%,22.46%,查看ROE详情,'-,'16.64,'3.74,6.82%,'49.12,'+23.87%,家电行业
'110,002884.凌霄泵业,'17.11,19.37%,21.41%,查看ROE详情,0.94%,'13.98,'2.79,5.84%,'61.20,'-0.46%,通用设备
'111,600729.重庆百货,'29.34,19.34%,18.96%,查看ROE详情,2.83%,'10.39,'1.69,4.64%,'129.24,'+5.22%,商业百货
'112,002833.弘亚数控,'17.29,19.20%,16.23%,查看ROE详情,2.00%,'17.44,'2.52,4.05%,'73.35,'+5.25%,专用设备
'113,003013.地铁设计,'15.81,19.20%,19.27%,查看ROE详情,0.11%,'12.90,'2.31,3.04%,'64.56,'+8.12%,工程咨询服务
'114,603596.伯特利,'46.55,19.05%,19.77%,查看ROE详情,6.34%,'23.51,'4.06,0.75%,'282.33,'+5.11%,汽车零部件
'115,603277.银都股份,'17.42,18.93%,19.00%,查看ROE详情,0.72%,'24.85,'3.63,3.97%,'106.91,'+11.36%,通用设备
'116,600750.江中药业,'21.93,18.91%,20.99%,查看ROE详情,1.44%,'18.32,'3.53,5.45%,'139.25,'-0.34%,中药
'117,688100.威胜信息,'37.86,18.68%,21.00%,查看ROE详情,0.38%,'28.92,'5.61,1.37%,'186.15,'+6.14%,通信设备
'118,003006.百亚股份,'30.12,18.67%,21.51%,查看ROE详情,3.46%,'48.95,'9.16,1.82%,'129.41,'+27.85%,美容护理
'119,002572.索菲亚,'13.65,18.50%,16.73%,查看ROE详情,4.11%,'13.27,'1.92,7.33%,'131.46,'-14.94%,装修建材
'120,603100.川仪股份,'20.74,18.48%,17.31%,查看ROE详情,0.68%,'17.84,'2.36,2.77%,'106.44,'-1.07%,仪器仪表
'121,601100.恒立液压,'91.30,18.42%,17.08%,查看ROE详情,7.65%,'49.07,'7.47,0.77%,'1224.17,'+74.75%,工程机械
'122,603439.贵州三力,'12.82,18.40%,15.98%,查看ROE详情,0.21%,'23.22,'3.55,2.65%,'52.54,'+1.46%,中药
'123,002014.永新股份,'11.23,18.26%,20.06%,查看ROE详情,0.54%,'15.50,'2.87,5.52%,'68.78,'+7.92%,包装材料
'124,300638.广和通,'32.35,18.23%,16.19%,查看ROE详情,0.62%,'63.44,'6.93,1.08%,'247.62,'+62.66%,通信设备
'125,002050.三花智控,'31.89,18.17%,15.69%,查看ROE详情,4.72%,'37.27,'4.62,1.10%,'1190.26,'+36.92%,家电行业
'126,603899.晨光股份,'30.86,18.11%,15.77%,查看ROE详情,3.13%,'25.19,'3.33,3.25%,'284.21,'+5.61%,家用轻工
'127,300453.三鑫医疗,'9.77,18.02%,18.31%,查看ROE详情,'-,'23.35,'3.79,3.07%,'51.04,'+34.27%,医疗器械
'128,600885.宏发股份,'26.08,17.99%,18.76%,查看ROE详情,20.32%,'23.00,'3.83,1.41%,'380.70,'+16.64%,电网设备
'129,688389.普门科技,'14.14,17.99%,15.07%,查看ROE详情,0.25%,'21.96,'2.95,1.99%,'60.59,'-2.98%,医疗器械
'130,002867.周大生,'13.86,17.92%,16.01%,查看ROE详情,0.93%,'15.29,'2.41,6.92%,'150.45,'-0.05%,珠宝首饰
'131,001323.慕思股份,'29.40,17.90%,16.54%,查看ROE详情,0.21%,'19.75,'2.84,5.47%,'127.91,'-11.74%,家用轻工
'132,000807.云铝股份,'19.41,17.84%,16.03%,查看ROE详情,5.67%,'14.55,'2.19,2.11%,'673.13,'+45.14%,有色金属
'133,600989.宝丰能源,'17.57,17.83%,20.65%,查看ROE详情,2.76%,'14.57,'2.88,1.59%,'1288.47,'+7.11%,化学原料
'134,300015.爱尔眼科,'13.30,17.82%,17.31%,查看ROE详情,2.07%,'36.98,'5.72,1.20%,'1240.28,'+1.68%,医疗服务
'135,002415.海康威视,'31.15,17.68%,16.51%,查看ROE详情,0.44%,'23.85,'3.66,2.25%,'2876.14,'+3.98%,计算机设备
'136,601717.中创智领,'21.71,17.63%,19.94%,查看ROE详情,5.04%,'10.20,'1.76,5.16%,'334.80,'+78.47%,汽车零部件
'137,600887.伊利股份,'28.27,17.61%,15.28%,查看ROE详情,10.60%,'23.21,'3.35,4.32%,'1788.18,'-2.39%,食品饮料
'138,605090.九丰能源,'29.66,17.55%,15.51%,查看ROE详情,0.63%,'14.39,'2.00,4.03%,'197.50,'+7.16%,燃气
'139,002895.川恒股份,'27.09,17.46%,18.46%,查看ROE详情,0.73%,'14.98,'2.43,4.00%,'164.62,'+15.91%,化学原料
'140,300360.炬华科技,'15.87,17.36%,17.09%,查看ROE详情,2.99%,'14.30,'2.00,3.78%,'81.60,'-2.91%,电网设备
'141,603611.诺力股份,'25.85,17.32%,16.29%,查看ROE详情,2.18%,'16.01,'2.22,3.47%,'66.59,'+50.13%,工程机械
'142,600690.海尔智家,'25.95,17.20%,18.45%,查看ROE详情,7.19%,'12.59,'2.12,3.72%,'1623.04,'-5.56%,家电行业
'143,603676.卫信康,'12.55,17.15%,18.35%,查看ROE详情,'-,'24.59,'3.67,2.73%,'54.61,'+28.15%,化学制药
'144,300627.华测导航,'37.57,17.10%,18.99%,查看ROE详情,0.77%,'49.84,'7.79,0.95%,'295.00,'+27.22%,通信设备
'145,002615.哈尔斯,'8.19,17.05%,15.24%,查看ROE详情,'-,'15.63,'2.20,3.05%,'38.19,'+6.43%,家用轻工
'146,601838.成都银行,'18.20,17.02%,16.36%,查看ROE详情,5.83%,'5.80,'0.87,4.90%,'771.40,'+11.47%,银行
'147,002262.恩华药业,'25.02,16.80%,16.86%,查看ROE详情,0.75%,'21.02,'3.31,1.44%,'254.15,'+4.45%,化学制药
'148,002128.电投能源,'21.08,16.61%,15.17%,查看ROE详情,1.28%,'9.56,'1.32,4.03%,'472.52,'+12.20%,煤炭行业
'149,300776.帝尔激光,'77.30,16.56%,17.97%,查看ROE详情,0.76%,'36.28,'5.70,0.50%,'211.46,'+22.47%,光伏设备
'150,603201.常润股份,'17.58,16.54%,16.84%,查看ROE详情,'-,'13.48,'1.99,2.27%,'33.41,'+27.57%,汽车零部件
'151,601138.工业富联,'55.62,16.50%,18.32%,查看ROE详情,2.47%,'41.61,'7.28,1.15%,'11045.84,'+163.77%,消费电子
'152,603040.新坐标,'66.96,16.24%,18.01%,查看ROE详情,'-,'41.31,'6.48,1.34%,'91.39,'+197.86%,汽车零部件
'153,600406.国电南瑞,'21.60,16.12%,16.68%,查看ROE详情,13.56%,'22.92,'3.56,2.64%,'1734.93,'-12.69%,电网设备
'154,002003.伟星股份,'10.74,16.10%,15.08%,查看ROE详情,2.41%,'19.33,'2.86,4.66%,'125.54,'-22.21%,纺织服装
'155,002130.沃尔核材,'25.98,16.09%,17.94%,查看ROE详情,0.69%,'34.69,'5.54,0.53%,'327.32,'+3.50%,非金属材料
'156,600710.苏美达,'10.31,15.90%,16.60%,查看ROE详情,4.33%,'11.79,'1.73,3.58%,'134.73,'+15.24%,贸易行业
'157,600600.青岛啤酒,'69.44,15.65%,15.79%,查看ROE详情,3.29%,'22.79,'3.16,3.17%,'492.42,'-11.47%,酿酒行业
