,股票,价,涨,ROE,股息,扣非PE,PB,市值(亿),今年来,行业
'147,603298.杭叉集团,'24.87,'+7.11%,21.42%,2.01%,'15.53,'3.00,'325.75,'+42.71%,工程机械
'148,002946.新乳业,'19.33,'-2.23%,21.41%,1.47%,'24.60,'5.08,'166.37,'+35.41%,食品饮料
'149,002884.凌霄泵业,'17.11,'-2.78%,21.41%,5.84%,'13.98,'2.79,'61.20,'-0.46%,通用设备
'150,605099.共创草坪,'33.09,'+2.07%,21.38%,1.93%,'23.36,'4.69,'132.90,'+60.76%,家用轻工
'151,000408.藏格矿业,'54.79,'+1.63%,21.37%,0.48%,'27.95,'5.47,'860.33,'+97.58%,化肥行业
'152,300529.健帆生物,'23.15,'+0.61%,21.33%,3.46%,'29.53,'5.92,'184.88,'-18.26%,医疗器械
'153,688313.仕佳光子,'83.49,'+0.58%,21.30%,0.07%,'147.19,'27.54,'383.05,'+410.21%,通信设备
'154,001337.四川黄金,'25.90,'+7.60%,21.26%,1.35%,'34.61,'6.91,'108.78,'+25.31%,贵金属
'155,300832.新产业,'62.52,'+0.16%,21.26%,2.08%,'31.11,'5.91,'491.23,'-9.75%,医疗器械
'156,300251.光线传媒,'19.87,'+0.56%,21.25%,1.01%,'29.42,'5.62,'582.91,'+112.83%,文化传媒
'157,688615.合合信息,'174.76,'-0.48%,21.24%,0.82%,'65.61,'9.09,'244.66,'+21.90%,软件开发
'158,000975.山金国际,'20.87,'+6.32%,21.18%,1.75%,'21.59,'4.27,'579.50,'+38.35%,贵金属
'159,002270.华明装备,'19.06,'-1.04%,21.12%,2.86%,'26.33,'5.40,'170.82,'+14.74%,电网设备
'160,603565.中谷物流,'11.17,'+6.69%,21.06%,7.07%,'15.65,'2.24,'234.58,'+23.33%,物流行业
'161,688100.威胜信息,'37.86,'-1.30%,21.00%,1.37%,'28.92,'5.61,'186.15,'+6.14%,通信设备
'162,600750.江中药业,'21.93,'+0.32%,20.99%,5.45%,'18.32,'3.53,'139.25,'-0.34%,中药
'163,603444.吉比特,'460.00,'+0.17%,20.94%,2.17%,'31.20,'6.26,'331.39,'+113.30%,游戏
'164,603568.伟明环保,'19.35,'+0.42%,20.91%,2.48%,'12.51,'2.37,'329.83,'-8.32%,环保行业
'165,603236.移远通信,'106.81,'-2.89%,20.90%,1.15%,'35.16,'6.35,'279.48,'+57.77%,通信设备
'166,688208.道通科技,'42.02,'-1.18%,20.88%,1.44%,'38.78,'7.61,'281.61,'+60.95%,计算机设备
'167,603194.中力股份,'39.95,'-2.23%,20.85%,1.58%,'19.05,'3.18,'160.20,'+13.29%,工程机械
'168,600873.梅花生物,'10.98,'-0.72%,20.85%,5.48%,'10.36,'2.09,'313.24,'+13.81%,化学制品
'169,600609.金杯汽车,'5.02,'-1.95%,20.81%,'-,'29.63,'4.37,'65.49,'-30.28%,汽车零部件
'170,603379.三美股份,'62.18,'+1.09%,20.80%,0.72%,'27.90,'5.28,'379.60,'+63.53%,化学制品
'171,301479.弘景光电,'101.43,'-1.31%,20.78%,1.06%,'53.28,'7.75,'90.24,'+242.40%,光学光电子
'172,603369.今世缘,'42.90,'-0.90%,20.72%,2.80%,'16.94,'3.30,'534.88,'-2.48%,酿酒行业
