序,股票,价,涨,推荐数,北上,扣非PE,PB,股息,ROE,1年内涨,市值.亿,今年来,行业
'81,601658.邮储银行,'5.90,'+0.85%,'59,0.94%,'8.33,'0.71,3.51%,8.57%,'+34.09%,'5914.09,'+9.02%,银行
'82,601898.中煤能源,'12.45,'+2.55%,'58,0.72%,'9.09,'1.06,6.23%,11.99%,'-4.23%,'1139.42,'+2.22%,煤炭行业
'83,300413.芒果超媒,'22.12,'-0.04%,'58,2.51%,'27.95,'1.81,0.99%,5.66%,'+17.90%,'413.99,'-16.88%,文化传媒
'84,600048.保利发展,'8.01,'-0.37%,'58,4.30%,'23.79,'0.48,5.12%,2.37%,'+2.82%,'958.83,'-9.59%,房地产开发
'85,600801.华新水泥,'15.40,'+0.79%,'58,4.23%,'17.14,'1.05,2.99%,8.29%,'+44.33%,'207.02,'+32.38%,水泥建材
'86,300308.中际旭创,'210.52,'-0.19%,'58,3.72%,'41.50,'11.31,0.24%,31.55%,'+108.30%,'2343.57,'+71.13%,通信设备
'87,603298.杭叉集团,'21.70,'+1.73%,'57,4.11%,'13.92,'2.68,2.30%,21.25%,'+28.71%,'284.23,'+24.52%,工程机械
'88,600415.小商品城,'19.64,'-1.36%,'57,6.41%,'34.88,'5.05,1.68%,15.92%,'+128.90%,'1076.99,'+49.07%,商业百货
'89,002126.银轮股份,'30.85,'+7.42%,'57,1.22%,'33.68,'3.70,0.42%,13.12%,'+72.91%,'239.75,'+65.57%,汽车零部件
'90,002372.伟星新材,'10.79,'+0.37%,'56,3.23%,'19.24,'3.29,5.58%,16.73%,'+0.47%,'171.14,'-10.86%,装修建材
'91,603501.豪威集团,'121.22,'-0.21%,'56,13.37%,'44.19,'5.85,0.46%,15.70%,'+39.08%,'1475.52,'+16.31%,半导体
'92,002568.百润股份,'24.87,'-0.40%,'56,0.45%,'38.02,'5.38,1.20%,16.20%,'+53.00%,'262.03,'-10.32%,酿酒行业
'93,300973.立高食品,'45.74,'+3.27%,'56,3.48%,'27.55,'2.86,1.58%,10.91%,'+82.56%,'75.00,'+18.38%,食品饮料
'94,600426.华鲁恒升,'23.68,'+0.42%,'56,3.60%,'14.35,'1.58,2.53%,11.49%,'+8.82%,'502.78,'+11.11%,化学原料
'95,688271.联影医疗,'129.15,'+0.47%,'55,2.67%,'97.77,'5.25,0.15%,6.42%,'+24.36%,'1064.40,'+2.23%,医疗器械
'96,600060.海信视像,'22.51,'-1.96%,'55,4.35%,'15.53,'1.45,3.58%,11.86%,'+45.51%,'293.75,'+12.89%,家电行业
'97,603444.吉比特,'384.78,'+3.88%,'55,9.68%,'29.06,'5.35,2.60%,19.72%,'+98.00%,'277.20,'+78.42%,游戏
'98,688208.道通科技,'36.55,'+2.52%,'55,6.46%,'39.99,'6.51,1.66%,20.36%,'+131.62%,'244.95,'+40.00%,计算机设备
'99,601601.中国太保,'37.40,'-0.40%,'55,3.19%,'8.41,'1.36,2.89%,16.43%,'+27.30%,'2560.05,'+12.97%,保险
'100,002078.太阳纸业,'14.40,'+1.12%,'54,1.70%,'12.57,'1.35,2.11%,10.72%,'+20.37%,'397.94,'-0.97%,造纸印刷
