,股票,价,涨,最新股息,平均股息,扣非PE,PB,ROE,市值(亿),今年来,行业
'738,600897.厦门空港,'14.95,'-0.07%,2.14%,2.09%,'17.08,'1.36,9.78%,'62.33,'+0.31%,航空机场
'739,601888.中国中免,'69.31,'+0.03%,1.51%,2.09%,'40.95,'2.60,6.57%,'1353.26,'+5.25%,旅游酒店
'740,603307.扬州金泉,'39.10,'-0.48%,2.54%,2.09%,'27.00,'1.89,8.51%,'26.54,'+11.02%,纺织服装
'741,002969.嘉美包装,'3.51,'+0.29%,0.71%,2.09%,'23.62,'1.38,6.14%,'33.54,'+13.20%,包装材料
'742,300303.聚飞光电,'6.99,'+5.43%,1.85%,2.09%,'41.62,'2.71,9.36%,'98.95,'+4.72%,光学光电子
'743,601616.广电电气,'3.78,'+1.89%,1.85%,2.08%,'68.36,'1.32,1.93%,'32.27,'-12.39%,电网设备
'744,601811.新华文轩,'16.18,'-0.80%,3.71%,2.08%,'11.34,'1.32,11.75%,'128.13,'+4.84%,文化传媒
'745,603180.金牌家居,'20.00,'+1.06%,3.14%,2.08%,'22.74,'1.09,7.00%,'30.85,'-2.91%,装修建材
'746,605088.冠盛股份,'38.23,'+0.98%,1.44%,2.08%,'25.64,'2.93,12.47%,'77.54,'+55.05%,汽车零部件
'747,688819.天能股份,'29.84,'-0.40%,1.37%,2.08%,'30.99,'1.77,7.68%,'290.07,'+11.36%,电池
'748,000597.东北制药,'5.72,'+1.24%,1.75%,2.08%,'27.54,'1.53,7.39%,'81.63,'+10.68%,化学制药
'749,000869.张裕Ａ,'22.29,0.00%,1.79%,2.08%,'138.22,'1.42,2.55%,'102.49,'-2.02%,酿酒行业
'750,300845.捷安高科,'13.06,'+1.00%,1.90%,2.08%,'61.20,'3.39,5.82%,'26.78,'+45.66%,软件开发
'751,600033.福建高速,'3.49,0.00%,2.87%,2.07%,'11.76,'0.78,6.72%,'95.78,'-8.79%,铁路公路
'752,600629.华建集团,'15.46,'+2.05%,0.79%,2.07%,'79.95,'2.84,6.61%,'150.01,'+70.16%,工程咨询服务
'753,603105.芯能科技,'9.30,'+4.26%,2.15%,2.07%,'24.41,'2.12,9.07%,'46.50,'+5.77%,光伏设备
'754,603776.永安行,'21.30,'+5.92%,1.01%,2.07%,亏损,'1.97,'-1.00%,'59.80,'+66.63%,专业服务
'755,605580.恒盛能源,'20.97,'-0.52%,1.67%,2.07%,'55.62,'6.26,16.86%,'58.72,'+93.51%,电力行业
'756,300384.三联虹普,'17.93,'+0.39%,2.81%,2.07%,'20.00,'2.11,11.00%,'57.20,'-2.50%,专业服务
'757,300682.朗新集团,'26.30,'+5.03%,0.95%,2.07%,亏损,'4.27,'-1.00%,'284.11,'+118.67%,软件开发
'758,301177.迪阿股份,'37.19,'+5.89%,1.34%,2.07%,亏损,'2.40,1.54%,'148.76,'+65.67%,珠宝首饰
'759,601188.龙江交通,'3.55,'+0.85%,2.00%,2.06%,'26.52,'1.00,3.71%,'46.71,'+0.54%,铁路公路
'760,601618.中国中冶,'3.43,'+0.59%,1.63%,2.06%,'16.88,'0.47,3.78%,'612.34,'+5.87%,工程建设
'761,603619.中曼石油,'19.44,'-0.66%,3.76%,2.06%,'15.92,'2.15,17.53%,'89.88,'+1.95%,采掘行业
'762,605058.澳弘电子,'29.21,'-2.37%,2.05%,2.06%,'29.18,'2.43,8.54%,'41.75,'+50.81%,电子元件
'763,002053.云南能投,'14.47,'-3.47%,2.28%,2.06%,'32.52,'1.79,5.67%,'133.23,'+30.68%,综合行业
'764,002406.远东传动,'8.18,'-0.73%,1.83%,2.06%,'65.80,'1.50,3.02%,'59.73,'+29.42%,汽车零部件
'765,002959.小熊电器,'55.48,'+5.76%,1.80%,2.06%,'28.03,'3.03,11.89%,'87.13,'+18.25%,家电行业
'766,300092.科新机电,'13.62,'+6.82%,1.75%,2.06%,'31.88,'2.30,7.83%,'37.31,'+20.31%,通用设备
'767,600019.宝钢股份,'6.89,'-0.58%,3.07%,2.05%,'20.43,'0.74,3.81%,'1500.79,'-0.10%,钢铁行业
'768,600388.龙净环保,'12.60,'+1.37%,2.22%,2.05%,'20.32,'1.56,9.27%,'160.03,'+2.00%,环保行业
'769,601688.华泰证券,'21.35,'-1.52%,2.44%,2.05%,'17.16,'0.96,9.25%,'1560.31,'+23.47%,证券
'770,603637.镇海股份,'11.94,'+3.02%,1.68%,2.05%,'40.75,'2.83,8.71%,'28.50,'+46.23%,工程建设
'771,002275.桂林三金,'15.06,'-0.33%,3.98%,2.05%,'22.82,'2.83,16.74%,'88.49,'+2.29%,中药
