,股票,价,涨,最新股息,平均股息,扣非PE,PB,ROE,市值(亿),今年来,行业
'1203,603681.永冠新材,'15.82,'+1.41%,0.95%,1.21%,'108.75,'1.18,4.30%,'30.24,'+23.92%,化学制品
'1204,000407.胜利股份,'3.70,'+1.93%,1.14%,1.21%,'28.80,'1.08,4.16%,'32.56,'+9.54%,燃气
'1205,002208.合肥城建,'6.78,'+0.15%,1.25%,1.21%,亏损,'0.84,'-1.00%,'54.46,'-4.64%,房地产开发
'1206,002641.公元股份,'4.15,0.00%,1.20%,1.21%,'108.88,'0.94,2.03%,'51.01,'-4.55%,装修建材
'1207,002743.富煌钢构,'6.01,'-0.66%,1.11%,1.21%,'64.08,'0.81,1.37%,'26.16,'-8.52%,水泥建材
'1208,002916.深南电路,'199.88,'+0.95%,0.58%,1.21%,'63.42,'8.76,15.56%,'1332.68,'+110.82%,电子元件
'1209,300439.美康生物,'11.00,'+0.64%,1.23%,1.21%,'42.23,'1.43,4.71%,'42.28,'+6.69%,医疗器械
'1210,300676.华大基因,'53.92,'+0.22%,0.18%,1.21%,亏损,'2.44,'-1.00%,'225.56,'+28.47%,医疗器械
'1211,300717.华信新材,'20.70,'+0.83%,0.97%,1.21%,'41.85,'2.99,7.46%,'21.27,'+50.23%,塑料制品
'1212,600109.国金证券,'10.36,'+0.48%,1.16%,1.20%,'17.42,'1.12,6.96%,'384.62,'+20.23%,证券
'1213,600748.上实发展,'4.11,'+5.66%,0.51%,1.20%,亏损,'0.74,'-1.00%,'75.81,'+14.17%,房地产开发
'1214,603297.永新光学,'116.38,'+10.00%,0.73%,1.20%,'68.86,'6.61,11.53%,'129.11,'+25.32%,光学光电子
'1215,002957.科瑞技术,'18.42,'+0.93%,0.92%,1.20%,'48.69,'2.52,5.82%,'77.36,'+18.67%,专用设备
'1216,300547.川环科技,'47.49,'-4.64%,0.88%,1.20%,'53.03,'8.31,17.16%,'103.01,'+74.15%,橡胶制品
'1217,300682.朗新集团,'26.30,'+5.03%,0.95%,1.20%,亏损,'4.27,'-1.00%,'284.11,'+118.67%,软件开发
'1218,301097.天益医疗,'44.20,'-0.49%,1.13%,1.20%,亏损,'2.23,'-1.00%,'26.05,'+22.37%,医疗器械
'1219,600905.三峡能源,'4.24,'-0.24%,1.58%,1.19%,'23.23,'1.37,6.80%,'1212.12,'-1.44%,电力行业
'1220,603530.神马电力,'29.25,'-0.34%,1.57%,1.19%,'39.17,'7.22,19.70%,'126.27,'+20.41%,电网设备
'1221,603693.江苏新能,'13.25,'+1.15%,1.13%,1.19%,'32.39,'1.72,6.05%,'118.12,'+36.07%,电力行业
'1222,603939.益丰药房,'23.51,'-0.97%,2.76%,1.19%,'18.17,'2.56,15.08%,'285.04,'-0.95%,医药商业
'1223,688059.华锐精密,'74.44,'+5.35%,0.58%,1.19%,'55.32,'4.70,9.02%,'64.88,'+135.31%,通用设备
'1224,688269.凯立新材,'38.77,'-0.28%,1.29%,1.19%,'48.09,'5.03,10.83%,'50.67,'+57.91%,化学制品
'1225,002262.恩华药业,'25.02,'+1.13%,1.44%,1.19%,'21.02,'3.31,16.86%,'254.15,'+4.45%,化学制药
'1226,002500.山西证券,'6.59,'-1.05%,1.52%,1.19%,'26.85,'1.29,5.10%,'236.57,'+5.83%,证券
'1227,002850.科达利,'138.16,'-0.53%,1.45%,1.19%,'24.60,'3.09,13.85%,'377.88,'+43.97%,电池
'1228,300915.海融科技,'26.12,'+0.73%,1.09%,1.19%,'109.11,'2.10,2.90%,'32.87,'+14.76%,食品饮料
'1229,301216.万凯新材,'18.07,'+6.29%,0.83%,1.19%,亏损,'1.75,'-1.00%,'93.10,'+79.14%,化学制品
'1230,600386.北巴传媒,'4.68,'+0.43%,0.21%,1.18%,'156.87,'2.12,0.96%,'37.74,'+4.92%,汽车服务
'1231,000725.京东方Ａ,'4.20,'-0.71%,1.19%,1.18%,'34.87,'1.18,4.77%,'1542.28,'-3.11%,光学光电子
'1232,000920.沃顿科技,'13.06,'-0.99%,1.51%,1.18%,'27.80,'3.21,11.96%,'61.72,'+48.52%,环保行业
'1233,002040.南京港,'9.68,'+0.41%,0.98%,1.18%,'30.84,'1.40,4.87%,'47.23,'+48.28%,航运港口
'1234,002709.天赐材料,'21.89,'+1.77%,0.46%,1.18%,'97.45,'3.20,3.94%,'419.05,'+11.62%,化学制品
'1235,300640.德艺文创,'6.61,'+2.16%,0.30%,1.18%,'161.75,'2.55,1.73%,'20.56,'+17.50%,家用轻工
'1236,300882.万胜智能,'18.21,'-0.49%,0.27%,1.18%,'43.68,'4.19,10.97%,'52.12,'+13.63%,电网设备
'1237,300918.南山智尚,'21.62,'-4.55%,0.60%,1.18%,'60.65,'2.91,6.33%,'109.43,'+111.64%,纺织服装
'1238,600420.国药现代,'11.24,'+0.27%,2.67%,1.17%,'15.12,'1.10,7.79%,'150.75,'-4.14%,化学制药
'1239,600493.凤竹纺织,'6.58,'+0.61%,0.89%,1.17%,亏损,'1.60,5.02%,'17.90,'+28.48%,纺织服装
'1240,601858.中国科传,'21.59,'+0.28%,1.27%,1.17%,'34.45,'3.06,8.89%,'170.67,'+7.38%,文化传媒
'1241,603040.新坐标,'66.96,'+1.30%,1.34%,1.17%,'41.31,'6.48,18.01%,'91.39,'+197.86%,汽车零部件
'1242,603915.国茂股份,'16.79,'-0.42%,1.43%,1.17%,'62.17,'2.99,6.96%,'110.25,'+44.45%,通用设备
'1243,688003.天准科技,'58.95,'+0.12%,0.85%,1.17%,'109.23,'6.17,7.55%,'114.44,'+37.71%,通用设备
'1244,688077.大地熊,'40.37,'-2.63%,0.50%,1.17%,'300.00,'4.34,3.46%,'46.21,'+95.87%,小金属
'1245,002015.协鑫能科,'12.80,'+1.59%,0.78%,1.17%,'43.14,'1.72,5.03%,'207.79,'+66.19%,电力行业
'1246,002561.徐家汇,'9.34,'+0.43%,0.64%,1.17%,亏损,'1.77,0.35%,'38.83,'+2.03%,商业百货
'1247,002649.博彦科技,'15.51,'+2.11%,1.10%,1.17%,'64.90,'2.17,4.17%,'90.79,'+29.64%,互联网服务
'1248,002909.集泰股份,'7.13,'+0.71%,1.40%,1.17%,'300.00,'3.10,0.57%,'27.81,'+45.99%,化学制品
'1249,003027.同兴科技,'19.36,'+0.73%,1.55%,1.17%,'38.51,'1.49,4.22%,'25.31,'+30.80%,环保行业
'1250,300144.宋城演艺,'8.88,'+1.49%,2.25%,1.17%,'26.80,'2.91,11.54%,'232.89,'-2.16%,旅游酒店
'1251,300316.晶盛机电,'30.46,'+0.96%,1.31%,1.17%,'44.31,'2.33,6.32%,'398.88,'-3.13%,光伏设备
'1252,300632.光莆股份,'13.20,'+0.99%,2.27%,1.17%,'300.00,'2.28,1.50%,'40.28,'+19.91%,光学光电子
'1253,600128.苏豪弘业,'11.06,'+4.83%,0.90%,1.16%,亏损,'1.28,1.90%,'27.29,'+37.47%,贸易行业
'1254,601008.连云港,'5.85,'-0.17%,1.03%,1.16%,'58.36,'1.78,3.74%,'72.58,'+54.45%,航运港口
'1255,688267.中触媒,'29.76,'+2.69%,1.18%,1.16%,'33.94,'1.87,6.41%,'52.44,'+28.28%,化学原料
'1256,688696.极米科技,'126.26,'-1.64%,0.24%,1.16%,'48.14,'3.05,7.04%,'88.38,'+28.81%,家电行业
'1257,000501.武商集团,'11.10,'+3.35%,2.70%,1.16%,'52.14,'0.77,2.05%,'85.36,'+8.48%,商业百货
'1258,002363.隆基机械,'7.96,'-0.87%,1.39%,1.16%,'77.01,'1.56,2.35%,'33.18,'+22.10%,汽车零部件
'1259,003039.顺控发展,'13.77,'+0.66%,1.53%,1.16%,'33.57,'3.12,10.15%,'85.03,'+6.92%,公用事业
'1260,300971.博亚精工,'25.21,'+2.27%,0.71%,1.16%,'66.97,'2.88,6.02%,'29.65,'+75.66%,通用设备
'1261,600906.财达证券,'7.66,'-0.78%,1.31%,1.15%,'30.39,'2.07,6.99%,'248.57,'+9.33%,证券
'1262,603166.福达股份,'18.10,'-1.79%,1.10%,1.15%,'48.08,'4.72,10.70%,'116.96,'+150.49%,汽车零部件
'1263,605118.力鼎光电,'33.59,'+8.25%,1.19%,1.15%,'65.85,'9.11,15.32%,'137.95,'+91.70%,光学光电子
'1264,688122.西部超导,'64.38,'+3.24%,1.16%,1.15%,'46.76,'6.14,15.27%,'418.25,'+52.39%,有色金属
'1265,688139.海尔生物,'32.98,'-0.06%,1.43%,1.15%,'44.90,'2.43,6.42%,'104.86,'-4.90%,医疗器械
'1266,000922.佳电股份,'11.98,'+1.70%,0.93%,1.15%,'47.24,'1.85,5.51%,'83.29,'+7.20%,电机
'1267,002017.东信和平,'30.10,'+5.76%,0.54%,1.15%,'100.96,'10.05,11.29%,'174.71,'+194.30%,通信设备
'1268,002390.信邦制药,'3.74,'+3.03%,1.60%,1.15%,'46.28,'1.08,1.38%,'72.70,'-17.13%,中药
'1269,002493.荣盛石化,'9.96,'-0.60%,1.02%,1.15%,'117.78,'2.29,1.07%,'994.95,'+11.26%,化纤行业
'1270,002882.金龙羽,'34.20,'+5.59%,0.88%,1.15%,'128.04,'7.13,5.91%,'148.05,'+115.28%,电网设备
'1271,002941.新疆交建,'15.82,'+0.83%,0.89%,1.15%,'26.12,'2.92,14.33%,'108.50,'+43.57%,工程建设
'1272,300674.宇信科技,'27.94,'+2.34%,0.93%,1.15%,'46.77,'4.52,10.42%,'196.71,'+44.70%,互联网服务
'1273,300916.朗特智能,'44.60,'+3.41%,0.90%,1.15%,'56.62,'4.82,9.87%,'64.51,'+50.86%,消费电子
'1274,600180.瑞茂通,'4.52,'-0.22%,1.11%,1.14%,'300.00,'0.62,'-1.00%,'49.12,'+5.71%,物流行业
'1275,601600.中国铝业,'7.85,'+0.26%,2.76%,1.14%,'11.16,'1.85,17.91%,'1037.12,'+8.75%,有色金属
'1276,002965.祥鑫科技,'43.31,'-1.21%,0.95%,1.14%,'40.59,'2.73,7.17%,'114.94,'+66.11%,通用设备
'1277,300095.华伍股份,'10.13,'-1.27%,0.99%,1.14%,亏损,'2.59,'-1.00%,'42.56,'+50.89%,通用设备
'1278,300724.捷佳伟创,'108.12,'+9.48%,1.11%,1.14%,'12.26,'3.01,30.52%,'375.95,'+74.95%,光伏设备
'1279,300837.浙矿股份,'24.90,'+2.81%,1.20%,1.14%,'86.44,'1.76,2.33%,'24.90,'+25.24%,专用设备
'1280,301023.江南奕帆,'43.60,'-1.25%,2.46%,1.14%,'39.55,'4.12,10.84%,'34.09,'+30.23%,电机
'1281,301226.祥明智能,'34.76,'+1.79%,0.29%,1.14%,'167.92,'4.15,4.03%,'37.82,'+50.30%,电机
'1282,600605.汇通能源,'33.88,'-0.82%,0.41%,1.13%,'300.00,'4.94,2.41%,'69.89,'-1.94%,房地产服务
'1283,601200.上海环境,'8.27,'-0.36%,1.21%,1.13%,'19.63,'0.97,5.35%,'111.33,'+2.49%,环保行业
'1284,603983.丸美生物,'40.51,'-0.59%,1.85%,1.13%,'48.12,'4.83,10.50%,'162.45,'+26.96%,美容护理
'1285,605005.合兴股份,'19.25,'-0.31%,1.04%,1.13%,'32.65,'3.87,12.81%,'77.19,'+19.44%,汽车零部件
'1286,605339.南侨食品,'17.37,'-0.80%,0.98%,1.13%,'77.47,'2.16,3.19%,'73.70,'+3.09%,食品饮料
'1287,688106.金宏气体,'19.02,'+1.17%,1.32%,1.13%,'91.32,'2.95,3.95%,'91.67,'+12.44%,电子化学品
'1288,688388.嘉元科技,'28.15,'-6.42%,0.05%,1.13%,亏损,'1.72,'-1.00%,'119.99,'+91.11%,电池
'1289,000548.湖南投资,'5.47,'+0.55%,0.91%,1.13%,'50.09,'1.33,2.64%,'27.31,'+7.21%,铁路公路
'1290,000563.陕国投Ａ,'3.67,'-1.08%,2.45%,1.13%,'14.51,'1.02,7.83%,'187.68,'+4.61%,多元金融
'1291,001296.长江材料,'24.82,'+10.02%,1.61%,1.13%,'31.20,'2.14,7.22%,'37.13,'+46.40%,非金属材料
'1292,002730.电光科技,'17.55,'+1.45%,0.74%,1.13%,'81.73,'3.95,5.88%,'63.55,'+29.44%,专用设备
'1293,002824.和胜股份,'21.70,'+6.37%,0.78%,1.13%,'69.99,'3.56,5.62%,'60.57,'+39.65%,有色金属
'1294,605399.晨光新材,'13.20,'+0.99%,0.76%,1.12%,亏损,'1.90,'-1.00%,'41.22,'+13.83%,化学制品
'1295,000062.深圳华强,'30.85,'+2.22%,1.39%,1.12%,'143.78,'4.63,3.86%,'322.66,'+38.59%,电子元件
'1296,000960.锡业股份,'23.06,'+5.54%,1.26%,1.12%,'16.88,'1.77,8.21%,'379.52,'+67.76%,小金属
'1297,002637.赞宇科技,'12.02,'+9.97%,1.00%,1.12%,'43.44,'1.49,3.81%,'56.54,'+23.51%,化学制品
'1298,300138.晨光生物,'13.85,'-3.62%,0.94%,1.12%,'45.00,'2.05,6.47%,'66.91,'+60.71%,农牧饲渔
'1299,300296.利亚德,'7.41,'+2.07%,1.35%,1.12%,亏损,'2.52,'-1.00%,'200.96,'+16.98%,光学光电子
'1300,300708.聚灿光电,'9.44,'+3.06%,1.18%,1.12%,'47.22,'3.33,7.41%,'91.73,'+9.25%,光学光电子
'1301,300919.中伟股份,'37.90,'+1.31%,1.69%,1.12%,'30.44,'1.75,6.63%,'355.51,'+6.11%,电池
'1302,600486.扬农化工,'74.55,'+1.50%,0.91%,1.11%,'24.76,'2.72,11.73%,'302.22,'+30.21%,农药兽药
'1303,600650.锦江在线,'16.79,'+2.07%,0.66%,1.11%,'75.60,'2.17,4.16%,'65.58,'+20.91%,铁路公路
'1304,688191.智洋创新,'24.97,'-1.27%,1.61%,1.11%,'205.13,'6.85,5.26%,'57.84,'+122.49%,电网设备
'1305,000686.东北证券,'8.66,'-1.03%,1.39%,1.11%,'17.49,'1.05,6.22%,'202.68,'+10.83%,证券
'1306,002038.双鹭药业,'7.84,'+3.43%,0.26%,1.11%,亏损,'1.41,0.30%,'80.54,'+5.24%,生物制品
