序号	基金代码	基金简称	日期	单位净值	累计净值	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来	自定义 	手续费
319	974	安信消费医药	9月1日	1.4831	1.5428	1.73%	1.94%	11.28%	20.53%	33.26%	57.58%	26.22%	3.93%	36.72%	54.55%	60.60%	0.15%
320	11651	招商港股通核	9月1日	0.9669	0.9669	1.63%	-1.16%	10.03%	21.55%	15.75%	57.53%	35.50%	23.17%	32.80%	-3.31%	59.63%	0.15%
321	10409	富国消费精选	9月1日	1.0746	1.0746	0.83%	-0.25%	8.44%	7.18%	19.75%	57.50%	40.93%	28.48%	34.41%	7.46%	58.73%	0.15%
322	5707	富国港股通量	9月1日	1.3745	1.3745	1.76%	-1.02%	5.08%	14.69%	19.79%	57.46%	61.17%	64.67%	34.75%	37.45%	59.36%	0.15%
323	14536	诺安高端制造	9月1日	1.798	1.798	2.28%	2.16%	16.38%	33.48%	31.91%	57.44%	34.28%	12.94%	32.79%	-1.53%	60.82%	0.00%
324	8264	南方ESG股	9月1日	1.5302	1.5302	2.44%	4.40%	20.48%	35.92%	43.88%	57.41%	51.90%	16.54%	46.61%	53.02%	58.32%	0.15%
325	17650	中庚港股通价	9月1日	1.2376	1.2376	1.88%	0.36%	14.13%	26.05%	30.67%	57.38%	25.21%	---	40.89%	23.76%	58.97%	--
326	8295	朱雀企业优胜	9月1日	1.5123	1.5123	2.23%	1.58%	11.91%	19.03%	15.81%	57.37%	20.58%	4.55%	29.68%	51.23%	60.73%	0.00%
327	11883	招商蓝筹精选	9月1日	0.8565	0.8565	1.43%	1.60%	14.69%	26.12%	26.93%	57.33%	35.76%	4.82%	36.17%	-14.35%	59.50%	0.00%
328	5495	创金合信科技	9月1日	2.0725	2.0725	0.98%	3.75%	20.94%	32.45%	11.92%	57.32%	19.31%	25.14%	22.95%	107.25%	63.52%	0.15%
329	18462	光大保德信智	9月1日	0.9574	0.9574	0.18%	0.31%	14.78%	20.31%	13.07%	57.31%	25.33%	---	30.83%	38.89%	59.81%	0.00%
330	14198	华夏智胜先锋	9月1日	1.4967	1.4967	0.56%	0.17%	8.27%	22.09%	28.31%	57.28%	32.12%	44.73%	29.70%	49.67%	59.92%	0.00%
331	9896	广发港股通成	9月1日	0.7486	0.7486	2.24%	-0.51%	9.56%	22.66%	21.98%	57.20%	26.71%	13.25%	39.61%	-25.14%	59.92%	0.15%
332	19903	国寿安保先进	9月1日	1.3752	1.3752	1.16%	4.62%	25.89%	49.01%	21.90%	57.11%	---	---	26.90%	37.52%	59.89%	0.00%
333	20331	红塔红土医药	9月1日	1.3367	1.4407	3.82%	0.59%	5.48%	27.62%	31.51%	56.97%	---	---	47.50%	44.95%	59.02%	0.12%
334	8265	南方ESG股	9月1日	1.4829	1.4829	2.43%	4.39%	20.42%	35.72%	43.44%	56.92%	50.50%	14.79%	46.03%	48.29%	57.82%	0.00%
335	11686	创金合信先进	9月1日	1.3628	1.3628	-0.14%	-0.66%	4.66%	14.93%	20.63%	56.90%	30.29%	30.10%	26.13%	36.28%	60.95%	0.00%
336	14455	中银成长优选	9月1日	1.0248	1.0248	0.74%	2.72%	20.10%	37.46%	26.91%	56.84%	20.49%	-4.47%	35.32%	-13.91%	59.13%	0.00%
337	9398	华富成长企业	9月1日	1.069	1.21	1.43%	2.43%	13.71%	26.33%	17.05%	56.68%	14.80%	3.46%	29.20%	19.47%	62.19%	0.15%
338	13490	同泰金融精选	9月1日	1.2587	1.2587	-0.23%	-4.21%	12.29%	33.32%	20.28%	56.67%	57.71%	46.45%	22.72%	25.87%	57.67%	0.15%
339	5496	创金合信科技	9月1日	1.9893	1.9893	0.98%	3.75%	20.89%	32.28%	11.63%	56.53%	18.14%	23.28%	22.54%	98.93%	62.71%	0.00%
340	16074	创金合信软件	9月1日	1.2546	1.2546	0.97%	-3.35%	1.71%	17.02%	7.66%	56.53%	-6.50%	---	20.74%	25.46%	61.47%	0.00%
341	9897	广发港股通成	9月1日	0.7335	0.7335	2.24%	-0.52%	9.53%	22.54%	21.72%	56.50%	25.64%	11.85%	39.24%	-26.65%	59.21%	0.00%
342	21605	富国消费精选	9月1日	1.0658	1.0658	0.82%	-0.27%	8.38%	7.02%	19.35%	56.46%	---	---	33.73%	42.51%	57.66%	0.00%
343	15627	圆信永丰弘阳	9月1日	1.0992	1.0992	1.32%	3.87%	17.66%	29.65%	17.11%	56.43%	38.44%	---	31.67%	9.92%	59.37%	0.15%
344	15628	圆信永丰弘阳	9月1日	1.0992	1.0992	1.32%	3.87%	17.66%	29.65%	17.11%	56.43%	38.44%	---	31.67%	9.92%	59.37%	0.00%
345	14163	富国港股通量	9月1日	1.3584	1.3584	1.76%	-1.02%	5.07%	14.63%	19.66%	56.41%	59.79%	62.98%	34.57%	42.55%	58.30%	0.00%
346	4640	华夏节能环保	9月1日	2.0958	2.0958	0.13%	-0.90%	14.29%	31.46%	25.27%	56.38%	11.17%	-9.45%	30.94%	109.58%	58.71%	0.15%
347	20332	红塔红土医药	9月1日	1.3347	1.4327	3.82%	0.59%	5.43%	27.48%	31.23%	56.35%	---	---	47.09%	44.09%	58.40%	0.00%
348	11652	招商港股通核	9月1日	0.9303	0.9303	1.63%	-1.17%	9.95%	21.31%	15.28%	56.22%	33.32%	19.88%	32.09%	-6.97%	58.32%	0.00%
349	4352	北信瑞丰研究	9月1日	1.6957	1.6957	2.53%	5.81%	24.36%	43.36%	33.11%	56.13%	43.63%	17.63%	41.91%	69.57%	59.04%	0.15%
350	854	鹏华养老产业	9月1日	3.012	3.012	3.22%	0.33%	7.07%	24.31%	39.83%	56.06%	15.62%	-2.02%	51.89%	201.20%	58.19%	0.15%
351	13491	同泰金融精选	9月1日	1.2397	1.2397	-0.23%	-4.21%	12.26%	33.20%	20.04%	56.05%	56.47%	44.69%	22.40%	23.97%	57.06%	0.00%
352	20142	路博迈中国医	9月1日	1.1834	1.1834	5.45%	-1.86%	2.91%	28.81%	41.40%	55.83%	---	---	47.28%	18.34%	60.70%	0.15%
353	17038	富国中证10	9月1日	1.2655	1.2655	0.28%	-0.39%	9.40%	21.94%	23.52%	55.79%	28.99%	---	27.02%	26.55%	58.31%	0.15%
354	17931	富达传承6个	9月1日	1.3649	1.3649	0.44%	-0.60%	14.06%	25.07%	27.18%	55.79%	40.73%	---	34.62%	36.53%	57.92%	0.15%
355	12210	申万菱信智能	9月1日	0.8138	0.8138	0.81%	3.20%	13.99%	17.19%	3.56%	55.75%	4.66%	-19.39%	20.19%	-18.62%	61.08%	0.15%
356	20487	华富成长企业	9月1日	1.0583	1.0583	1.43%	2.42%	13.65%	26.14%	16.69%	55.72%	---	---	28.67%	29.08%	61.23%	0.00%
357	160127	南方新兴消费	9月1日	0.8907	0.8907	-0.47%	0.21%	9.72%	11.41%	23.66%	55.55%	30.72%	17.66%	31.78%	321.17%	57.17%	0.15%
358	15060	华夏节能环保	9月1日	2.0526	2.0526	0.13%	-0.91%	14.24%	31.25%	24.88%	55.44%	9.84%	-11.06%	30.41%	-9.09%	57.76%	0.00%
359	866	华宝制造股票	9月1日	2.497	2.497	0.60%	-0.28%	9.09%	22.34%	22.82%	55.38%	28.71%	7.68%	28.91%	149.70%	57.14%	0.15%
360	1178	前海开源再融	9月1日	1.488	2.068	0.34%	1.36%	18.19%	28.28%	28.06%	55.16%	10.22%	15.08%	25.36%	122.60%	58.80%	0.15%
361	5303	嘉实医药健康	9月1日	2.0146	2.0146	3.90%	1.50%	9.41%	32.44%	46.22%	55.15%	31.22%	9.06%	47.85%	101.46%	57.24%	0.15%
362	5635	博时量化多策	9月1日	1.6733	1.8724	1.28%	4.56%	17.66%	29.83%	31.97%	55.14%	29.73%	30.45%	33.34%	95.26%	56.68%	0.15%
363	12211	申万菱信智能	9月1日	0.8001	0.8001	0.79%	3.19%	13.94%	17.08%	3.35%	55.12%	3.80%	-20.36%	19.87%	-19.99%	60.44%	0.00%
364	11229	创金合信数字	9月1日	1.7756	1.7756	1.54%	1.27%	17.25%	38.28%	22.44%	54.95%	25.69%	13.99%	31.83%	77.56%	57.30%	0.15%
365	17932	富达传承6个	9月1日	1.3464	1.3464	0.43%	-0.61%	13.99%	24.87%	26.78%	54.94%	39.12%	---	34.08%	34.69%	57.05%	0.00%
366	17039	富国中证10	9月1日	1.2444	1.2444	0.27%	-0.40%	9.34%	21.75%	23.16%	54.87%	27.43%	---	26.51%	24.44%	57.38%	0.00%
367	20143	路博迈中国医	9月1日	1.1713	1.1713	5.45%	-1.87%	2.86%	28.62%	40.97%	54.87%	---	---	46.69%	17.13%	59.71%	0.00%
368	160144	南方新兴消费	9月1日	0.8661	0.8661	-0.47%	0.20%	9.66%	11.24%	23.29%	54.66%	29.19%	15.59%	31.29%	-12.17%	56.28%	0.00%
369	1616	嘉实环保低碳	9月1日	2.601	2.601	1.36%	5.13%	15.86%	24.63%	20.70%	54.64%	5.26%	-14.72%	26.94%	160.10%	57.45%	0.15%
370	1421	南方量化成长	9月1日	1.3476	1.3476	0.69%	3.41%	17.18%	41.57%	37.52%	54.59%	21.62%	1.10%	40.84%	34.76%	56.04%	0.15%
371	4350	汇丰晋信价值	9月1日	2.1891	2.5891	1.32%	1.67%	11.56%	19.67%	15.68%	54.53%	17.18%	29.05%	24.13%	168.17%	57.65%	0.15%
372	1039	嘉实先进制造	9月1日	1.881	1.881	1.02%	3.12%	14.42%	26.84%	22.30%	54.18%	15.90%	-1.16%	26.75%	88.10%	57.67%	0.15%
373	9852	银华品质消费	9月1日	0.8732	0.8732	0.07%	-1.30%	6.89%	2.73%	17.73%	54.14%	19.31%	8.54%	35.09%	-12.68%	56.35%	0.15%
374	14299	宏利先进制造	9月1日	1.0356	1.0356	1.88%	5.59%	23.74%	32.89%	19.45%	53.95%	28.82%	7.12%	24.52%	3.56%	56.60%	0.15%
375	5636	博时量化多策	9月1日	1.6077	1.7753	1.28%	4.54%	17.58%	29.58%	31.46%	53.91%	27.68%	27.37%	32.64%	83.95%	55.45%	0.00%
376	5304	嘉实医药健康	9月1日	1.8958	1.8958	3.89%	1.48%	9.34%	32.17%	45.63%	53.90%	29.19%	6.51%	47.06%	89.58%	55.99%	0.00%
377	9877	中银内核驱动	9月1日	0.79	0.79	1.50%	1.50%	15.45%	23.09%	32.75%	53.73%	17.51%	-1.72%	37.70%	-21.00%	54.54%	0.15%
378	1319	农银信息传媒	9月1日	1.2472	1.2472	0.53%	3.27%	14.33%	21.95%	17.01%	53.67%	16.15%	30.24%	19.81%	24.72%	57.18%	0.15%
379	9126	嘉实基础产业	9月1日	1.5177	1.5177	0.50%	-1.18%	7.57%	22.79%	31.46%	53.64%	38.91%	27.89%	36.07%	51.77%	54.32%	0.15%
380	11722	前海开源深圳	9月1日	1.0702	1.0702	0.59%	-0.63%	17.18%	29.58%	13.77%	53.63%	39.80%	43.04%	19.55%	7.02%	55.57%	0.15%
381	15364	汇丰晋信价值	9月1日	2.1453	2.5453	1.32%	1.66%	11.50%	19.48%	15.33%	53.60%	15.76%	26.76%	23.64%	20.13%	56.69%	0.00%
382	8283	易方达金融行	9月1日	1.6823	1.6823	-0.18%	-2.12%	5.16%	16.69%	25.84%	53.55%	45.91%	48.61%	28.19%	68.23%	54.10%	0.15%
383	16847	中欧高端装备	9月1日	1.1792	1.1792	-0.12%	-1.27%	5.87%	31.62%	43.75%	53.54%	35.04%	---	40.13%	17.92%	58.77%	0.15%
384	12045	大成医药健康	9月1日	0.8158	0.8158	3.34%	-0.90%	3.99%	27.01%	44.75%	53.52%	32.41%	5.52%	44.98%	-18.42%	55.42%	0.15%
385	14300	宏利先进制造	9月1日	1.0244	1.0244	1.88%	5.58%	23.70%	32.78%	19.27%	53.49%	28.05%	6.16%	24.28%	2.44%	56.13%	0.00%
386	11498	富国沪深30	9月1日	1.0325	1.0325	1.77%	3.53%	16.01%	23.95%	25.59%	53.12%	29.96%	22.92%	30.99%	3.25%	55.26%	0.15%
387	18589	农银信息传媒	9月1日	1.2368	1.2368	0.53%	3.26%	14.29%	21.83%	16.77%	53.09%	15.30%	---	19.49%	7.99%	56.58%	0.00%
388	1126	摩根卓越制造	9月1日	1.6168	1.7463	3.09%	10.61%	28.47%	41.38%	35.81%	52.99%	34.51%	19.44%	37.16%	74.62%	54.19%	0.15%
389	5960	博时量化价值	9月1日	1.6336	1.8243	1.26%	4.58%	15.72%	26.15%	28.67%	52.96%	37.50%	35.20%	29.88%	90.37%	54.78%	0.15%
390	2332	汇丰晋信沪港	9月1日	1.6192	1.6742	0.38%	0.20%	9.25%	23.98%	24.19%	52.94%	44.51%	26.69%	32.15%	70.23%	56.13%	0.15%
391	12046	大成医药健康	9月1日	0.8029	0.8029	3.33%	-0.90%	3.95%	26.88%	44.43%	52.90%	31.34%	4.26%	44.59%	-19.71%	54.79%	0.00%
392	12600	中银内核驱动	9月1日	0.7746	0.7746	1.49%	1.49%	15.41%	22.95%	32.46%	52.87%	16.41%	-3.22%	37.32%	-37.96%	53.69%	0.00%
393	11723	前海开源深圳	9月1日	1.061	1.061	0.59%	-0.63%	17.17%	29.53%	13.71%	52.82%	38.93%	41.98%	19.07%	6.10%	54.73%	0.00%
394	16848	中欧高端装备	9月1日	1.163	1.163	-0.12%	-1.28%	5.82%	31.47%	43.40%	52.81%	33.72%	---	39.68%	16.30%	58.02%	0.00%
395	540007	汇丰晋信中小	9月1日	3.16	3.18	1.41%	0.67%	8.09%	15.11%	27.40%	52.70%	48.84%	64.85%	33.31%	221.78%	54.90%	0.15%
396	1482	摩根新兴服务	9月1日	1.8853	1.8853	2.48%	8.86%	23.64%	41.48%	35.50%	52.68%	25.85%	8.91%	40.63%	88.53%	53.53%	0.15%
397	164205	天弘文化新兴	9月1日	2.8653	3.3317	-0.13%	1.42%	10.07%	15.00%	13.89%	52.59%	38.19%	27.46%	21.18%	233.17%	55.17%	0.15%
398	9127	嘉实基础产业	9月1日	1.4742	1.4742	0.50%	-1.19%	7.53%	22.64%	31.13%	52.55%	37.21%	25.70%	35.62%	47.42%	53.21%	0.00%
399	11499	富国沪深30	9月1日	1.0064	1.0064	1.77%	3.52%	15.96%	23.77%	25.22%	52.21%	28.42%	20.73%	30.48%	0.64%	54.36%	0.00%
400	21316	民生加银智选	9月1日	1.4674	1.4674	0.25%	-0.08%	8.22%	18.70%	19.90%	52.13%	---	---	22.95%	46.74%	55.20%	0.15%
401	15075	摩根卓越制造	9月1日	1.5845	1.5845	3.09%	10.60%	28.40%	41.17%	35.40%	52.08%	32.87%	17.27%	36.61%	-1.31%	53.25%	0.00%
402	15475	天弘文化新兴	9月1日	1.3075	1.3075	-0.13%	1.41%	10.04%	14.88%	13.67%	52.00%	37.13%	25.98%	20.86%	30.75%	54.57%	0.00%
403	1790	国泰智能汽车	9月1日	2.1171	2.1171	-0.47%	1.12%	14.14%	16.83%	4.44%	51.98%	-2.35%	-16.81%	22.59%	111.71%	56.13%	0.15%
404	2333	汇丰晋信沪港	9月1日	1.5407	1.5957	0.38%	0.19%	9.19%	23.82%	23.91%	51.94%	42.84%	24.63%	31.74%	62.07%	55.11%	0.00%
405	711	嘉实医疗保健	9月1日	2.328	2.328	3.33%	0.69%	5.29%	22.98%	31.60%	51.76%	20.25%	-3.20%	41.86%	132.80%	54.79%	0.15%
406	17177	摩根新兴服务	9月1日	1.8547	1.8547	2.48%	8.85%	23.58%	41.27%	35.09%	51.76%	24.34%	---	40.06%	18.75%	52.61%	0.00%
407	5961	博时量化价值	9月1日	1.5675	1.733	1.25%	4.56%	15.63%	25.89%	28.16%	51.73%	35.32%	32.01%	29.18%	79.69%	53.54%	0.00%
408	7479	光大保德信量	9月1日	1.1325	1.1325	1.14%	0.41%	7.91%	16.33%	20.57%	51.67%	15.73%	---	26.32%	19.11%	52.79%	0.00%
409	19026	易方达金融行	9月1日	1.6532	1.6532	-0.18%	-2.13%	5.12%	16.54%	25.53%	51.66%	---	---	27.78%	48.82%	52.23%	0.00%
410	978	景顺长城量化	9月1日	1.972	2.025	0.72%	1.60%	12.17%	24.89%	22.48%	51.58%	26.33%	10.97%	24.73%	105.55%	53.82%	0.15%
411	11506	建信高端装备	9月1日	1.4166	1.4166	2.39%	6.42%	20.80%	31.54%	16.93%	51.57%	27.32%	21.28%	28.00%	41.66%	54.40%	0.15%
412	21317	民生加银智选	9月1日	1.4608	1.4608	0.25%	-0.09%	8.18%	18.60%	19.68%	51.55%	---	---	22.65%	46.08%	54.61%	0.00%
413	2387	工银沪港深股	9月1日	1.1728	1.2408	2.28%	0.51%	8.32%	14.26%	20.66%	51.47%	35.19%	18.58%	35.12%	24.44%	53.09%	0.15%
414	20236	施罗德中国动	9月1日	1.4289	1.4289	2.33%	4.96%	19.83%	27.07%	23.30%	51.45%	---	---	33.52%	42.89%	52.35%	0.15%
415	11323	国泰智能汽车	9月1日	2.0775	2.0775	-0.48%	1.11%	14.10%	16.71%	4.24%	51.31%	-3.19%	-17.85%	22.28%	-18.18%	55.50%	0.00%
416	12835	招商景气精选	9月1日	1.36	1.36	3.72%	8.66%	24.53%	38.00%	41.08%	51.09%	77.57%	79.25%	37.76%	36.00%	50.91%	0.15%
417	11507	建信高端装备	9月1日	1.3929	1.3929	2.39%	6.42%	20.75%	31.41%	16.69%	51.04%	26.36%	19.89%	27.72%	39.29%	53.84%	0.00%
418	5009	申万菱信行业	9月1日	2.0252	2.0252	2.24%	3.35%	17.40%	32.12%	42.46%	50.99%	36.20%	0.97%	43.65%	102.50%	51.99%	0.15%
419	17300	安信数字经济	9月1日	1.1527	1.1527	0.90%	1.25%	17.44%	24.16%	15.37%	50.92%	23.09%	---	29.17%	15.27%	51.95%	0.15%
420	6868	华夏科技成长	9月1日	1.8409	1.8409	1.30%	2.42%	21.20%	29.98%	21.27%	50.84%	29.92%	3.30%	29.77%	84.09%	54.41%	0.15%
421	20237	施罗德中国动	9月1日	1.4207	1.4207	2.32%	4.94%	19.78%	26.89%	22.98%	50.83%	---	---	33.00%	42.07%	51.75%	0.00%
422	11146	创金合信气候	9月1日	1.2966	1.2966	0.99%	2.76%	14.93%	27.57%	22.01%	50.78%	32.82%	0.22%	23.74%	29.66%	53.37%	0.15%
423	12445	华富新能源股	9月1日	0.9416	0.9416	0.89%	2.23%	17.16%	27.78%	24.06%	50.70%	20.29%	0.92%	33.86%	-5.84%	52.54%	0.15%
424	7512	工银沪港深股	9月1日	1.1367	1.1367	2.28%	0.50%	8.27%	14.09%	20.31%	50.50%	33.54%	16.39%	34.57%	3.94%	52.11%	0.00%
425	15157	申万菱信行业	9月1日	1.9923	1.9923	2.24%	3.34%	17.35%	31.98%	42.16%	50.38%	34.73%	-0.53%	43.27%	-0.89%	51.38%	0.00%
426	360001	光大保德信量	9月1日	1.1305	3.5522	1.14%	0.41%	7.73%	16.12%	20.02%	50.37%	15.64%	8.36%	25.83%	458.02%	51.48%	0.15%
427	17301	安信数字经济	9月1日	1.1422	1.1422	0.90%	1.23%	17.39%	24.02%	15.13%	50.33%	22.10%	---	28.70%	14.22%	51.37%	0.00%
428	11147	创金合信气候	9月1日	1.2726	1.2726	0.98%	2.75%	14.89%	27.43%	21.76%	50.18%	31.77%	-0.97%	23.41%	27.26%	52.77%	0.00%
429	1605	国富沪港深成	9月1日	2.0436	2.0436	1.53%	2.45%	14.01%	31.07%	26.22%	49.97%	33.06%	8.88%	35.11%	104.36%	52.43%	0.15%
430	12836	招商景气精选	9月1日	1.3159	1.3159	3.72%	8.64%	24.45%	37.72%	40.51%	49.87%	74.75%	75.01%	37.03%	31.59%	49.72%	0.00%
431	10361	嘉实品质优选	9月1日	0.6835	0.6835	1.89%	5.20%	30.09%	52.40%	32.26%	49.86%	22.12%	-6.97%	43.77%	-31.65%	52.09%	0.15%
432	14589	招商成长先导	9月1日	0.9436	0.9436	3.60%	1.03%	5.70%	21.99%	31.09%	49.83%	13.95%	-1.84%	40.06%	-5.64%	52.64%	0.15%
433	17967	华富新能源股	9月1日	0.9274	0.9274	0.88%	2.20%	17.10%	27.58%	23.67%	49.80%	18.84%	---	33.32%	-0.40%	51.61%	0.00%
434	4075	交银医药创新	9月1日	2.912	3.033	4.43%	3.80%	8.24%	20.77%	39.00%	49.68%	26.25%	12.12%	42.66%	205.67%	51.72%	0.15%
435	1878	嘉实沪港深精	9月1日	2.865	2.933	1.09%	0.81%	11.00%	23.76%	28.30%	49.45%	52.07%	52.56%	31.30%	199.52%	52.56%	0.15%
436	7354	创金合信港股	9月1日	0.9977	0.9977	2.02%	-0.63%	6.65%	16.23%	20.12%	49.40%	39.23%	38.88%	30.93%	-0.23%	51.30%	0.15%
437	5660	嘉实资源精选	9月1日	3.8339	3.8339	3.25%	5.29%	20.60%	38.06%	47.11%	49.34%	51.63%	50.17%	45.41%	283.39%	51.90%	0.15%
438	1036	嘉实企业变革	9月1日	1.78	1.78	0.45%	2.18%	15.96%	26.69%	15.51%	49.33%	20.27%	5.70%	23.78%	78.00%	50.98%	0.15%
439	2300	长盛医疗量化	9月1日	2.3895	2.3895	4.00%	1.19%	5.34%	18.61%	28.34%	49.31%	39.81%	46.42%	33.45%	138.95%	51.30%	0.15%
440	17824	华安新材料主	9月1日	1.4369	1.4369	1.89%	3.40%	17.84%	32.19%	26.83%	49.16%	---	---	36.60%	43.69%	51.35%	0.15%
441	11645	国泰核心价值	9月1日	0.8937	0.8937	0.40%	-0.03%	10.81%	16.41%	13.67%	49.15%	15.23%	13.72%	23.35%	-10.63%	51.30%	0.15%
442	11425	广发优势成长	9月1日	0.5052	0.5052	1.67%	2.10%	12.72%	27.70%	28.88%	49.03%	2.54%	-24.77%	34.22%	-49.48%	51.30%	0.15%
443	14139	易方达高质量	9月1日	0.9583	0.9583	2.54%	3.14%	13.02%	21.12%	16.60%	48.99%	11.39%	-2.36%	24.63%	-4.17%	52.86%	0.15%
444	913	农银医疗保健	9月1日	1.9806	1.9806	3.70%	-3.08%	1.97%	22.68%	42.14%	48.93%	25.82%	5.31%	45.25%	98.06%	50.06%	0.15%
445	10362	嘉实品质优选	9月1日	0.6661	0.6661	1.87%	5.18%	30.02%	52.15%	31.85%	48.92%	20.63%	-8.64%	43.19%	-33.39%	51.18%	0.00%
446	15537	红塔红土新能	9月1日	0.8245	0.8245	-0.19%	1.45%	13.10%	23.69%	14.93%	48.91%	10.04%	---	20.49%	-17.55%	53.17%	0.10%
447	14046	交银医药创新	9月1日	2.9886	2.9886	4.43%	3.80%	8.18%	20.59%	38.58%	48.78%	24.74%	10.11%	42.09%	-11.40%	50.82%	0.00%
448	14590	招商成长先导	9月1日	0.921	0.921	3.61%	1.02%	5.64%	21.74%	30.58%	48.74%	12.22%	-4.10%	39.33%	-7.90%	51.53%	0.00%
449	17946	国富沪港深成	9月1日	2.016	2.016	1.52%	2.44%	13.98%	30.93%	25.97%	48.68%	31.46%	---	34.75%	18.55%	51.14%	0.00%
450	5661	嘉实资源精选	9月1日	3.7084	3.7084	3.24%	5.28%	20.55%	37.88%	46.74%	48.60%	50.14%	47.96%	44.92%	270.84%	51.15%	0.00%
451	11426	广发优势成长	9月1日	0.4961	0.4961	1.68%	2.08%	12.67%	27.56%	28.62%	48.44%	1.72%	-25.66%	33.86%	-50.39%	50.70%	0.00%
452	18009	长盛医疗量化	9月1日	2.3551	2.3551	3.99%	1.18%	5.28%	18.43%	27.95%	48.42%	38.14%	---	32.91%	18.17%	50.41%	0.00%
453	17825	华安新材料主	9月1日	1.4241	1.4241	1.89%	3.39%	17.79%	32.03%	26.53%	48.42%	---	---	36.15%	42.41%	50.60%	0.00%
454	11646	国泰核心价值	9月1日	0.8749	0.8749	0.39%	-0.06%	10.76%	16.25%	13.39%	48.39%	14.08%	12.01%	22.93%	-12.51%	50.53%	0.00%
455	15538	红塔红土新能	9月1日	0.8149	0.8149	-0.20%	1.44%	13.05%	23.56%	14.69%	48.30%	9.18%	---	20.16%	-18.51%	52.55%	0.00%
456	4476	景顺长城沪港	9月1日	1.914	1.914	0.79%	3.24%	14.00%	28.20%	22.30%	48.26%	24.45%	13.73%	28.37%	91.40%	50.95%	0.15%
457	7357	创金合信港股	9月1日	0.961	0.961	2.02%	-0.64%	6.56%	15.98%	19.63%	48.12%	36.97%	35.54%	30.22%	-3.90%	50.04%	0.00%
458	14140	易方达高质量	9月1日	0.9485	0.9485	2.54%	3.14%	12.98%	21.00%	16.37%	47.95%	10.84%	-3.23%	24.10%	-5.15%	51.81%	0.00%
459	756	建信潜力新蓝	9月1日	3.961	3.961	0.18%	-0.23%	15.31%	35.10%	19.74%	47.91%	27.08%	-2.94%	34.41%	296.10%	50.21%	0.15%
460	16336	博时卓远成长	9月1日	1.3114	1.3114	0.07%	-1.04%	6.34%	15.41%	19.81%	47.88%	27.44%	---	23.04%	31.14%	49.09%	0.15%
461	4040	金鹰医疗健康	9月1日	1.2475	1.5475	4.03%	-1.15%	-4.02%	14.68%	18.35%	47.84%	13.53%	-7.04%	35.48%	40.51%	51.08%	0.12%
462	10120	九泰久福量化	9月1日	0.8345	0.8345	0.86%	1.32%	11.97%	19.81%	16.31%	47.78%	19.78%	-4.12%	17.88%	-16.55%	50.01%	0.12%
463	14187	华夏量化优选	9月1日	1.0437	1.0437	0.94%	2.01%	12.47%	21.01%	20.76%	47.60%	27.62%	12.32%	23.28%	4.37%	50.82%	0.15%
464	1678	英大国企改革	9月1日	2.0352	2.6852	1.65%	5.12%	22.09%	37.87%	30.88%	47.59%	18.81%	24.89%	32.56%	210.54%	49.64%	0.15%
465	206012	鹏华价值精选	9月1日	3.434	3.434	0.97%	1.45%	11.71%	21.60%	19.44%	47.57%	18.66%	6.94%	23.13%	243.40%	50.75%	0.15%
466	831	工银医疗保健	9月1日	3.191	3.191	4.08%	2.44%	8.76%	20.28%	32.30%	47.53%	19.60%	9.88%	40.02%	219.10%	49.04%	0.15%
467	1766	摩根医疗健康	9月1日	1.746	1.746	4.41%	4.63%	5.80%	18.93%	32.85%	47.52%	24.50%	-3.80%	40.69%	74.60%	48.85%	0.15%
468	11923	大成消费精选	9月1日	0.8841	0.8841	1.09%	0.08%	6.88%	8.91%	24.01%	47.47%	25.26%	2.33%	26.93%	-11.59%	48.86%	0.15%
469	14967	建信潜力新蓝	9月1日	3.903	3.903	0.18%	-0.23%	15.27%	34.91%	19.50%	47.28%	26.03%	-4.13%	34.03%	20.39%	49.60%	0.00%
470	1009	摩根安全战略	9月1日	1.5164	1.763	2.53%	8.28%	26.32%	46.51%	51.73%	47.24%	32.29%	-6.53%	47.27%	71.89%	48.30%	0.15%
471	4041	金鹰医疗健康	9月1日	1.2808	1.5908	4.03%	-1.16%	-4.05%	14.56%	18.11%	47.24%	12.62%	-8.15%	35.12%	44.09%	50.47%	0.00%
472	1404	招商移动互联	9月1日	1.6062	1.6062	1.51%	1.71%	31.23%	40.54%	15.10%	47.17%	23.03%	9.15%	21.77%	60.62%	51.77%	0.15%
473	1542	国泰互联网+	9月1日	2.432	2.591	3.89%	11.66%	35.11%	47.30%	26.40%	47.13%	12.13%	-17.95%	30.19%	167.71%	50.40%	0.15%
474	10121	九泰久福量化	9月1日	0.8154	0.8154	0.87%	1.32%	11.93%	19.67%	16.01%	47.02%	18.59%	-5.55%	17.49%	-18.46%	49.26%	0.00%
475	16337	博时卓远成长	9月1日	1.2885	1.2885	0.06%	-1.05%	6.29%	15.23%	19.44%	46.99%	25.92%	---	22.54%	28.85%	48.19%	0.00%
476	1637	嘉实量化精选	9月1日	1.6679	2.0189	0.71%	1.49%	12.50%	24.41%	24.16%	46.96%	22.43%	10.97%	26.90%	108.07%	49.56%	0.15%
477	13049	兴业能源革新	9月1日	0.9104	0.9104	1.57%	3.94%	18.87%	29.91%	17.68%	46.93%	18.37%	4.55%	23.41%	-8.96%	49.98%	0.15%
