序号	基金代码	基金简称	日期	单位净值	累计净值	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来	自定义 	手续费
53	15608	信澳转型创新	9月1日	1.327	1.327	1.07%	4.82%	27.72%	58.92%	38.66%	106.70%	70.13%	24.37%	46.95%	36.80%	111.98%	0.00%
54	19917	富国医药创新	9月1日	1.9967	1.9967	4.57%	0.04%	5.84%	35.75%	78.10%	106.36%	---	---	100.81%	99.67%	107.06%	0.00%
55	11269	中银证券优势	9月1日	1.3784	1.3784	3.50%	7.81%	25.90%	59.67%	49.78%	104.21%	35.80%	29.11%	67.38%	37.84%	112.55%	0.15%
56	18048	申万菱信数字	9月1日	1.2782	1.2782	1.00%	-0.97%	12.00%	33.66%	18.28%	104.02%	34.07%	---	28.06%	27.82%	109.99%	0.15%
57	4784	招商稳健优选	9月1日	4.4056	4.4056	4.06%	16.25%	43.17%	74.14%	53.31%	103.71%	72.30%	60.36%	62.87%	340.56%	109.10%	0.15%
58	20476	泰康半导体量	9月1日	2.0244	2.0244	1.74%	6.33%	31.93%	39.89%	29.06%	103.50%	---	---	40.24%	102.44%	111.34%	0.12%
59	11270	中银证券优势	9月1日	1.3549	1.3549	3.50%	7.81%	25.86%	59.49%	49.43%	103.32%	34.64%	27.50%	66.90%	35.49%	111.64%	0.00%
60	18240	嘉实制造升级	9月1日	1.5292	1.5292	-0.55%	-1.85%	10.61%	26.97%	16.80%	103.24%	55.72%	---	47.07%	52.92%	108.54%	0.15%
61	18049	申万菱信数字	9月1日	1.2663	1.2663	1.01%	-0.97%	11.96%	33.55%	18.05%	103.19%	33.00%	---	27.73%	26.63%	109.13%	0.00%
62	20477	泰康半导体量	9月1日	2.0139	2.0139	1.74%	6.32%	31.89%	39.76%	28.80%	102.69%	---	---	39.87%	101.39%	110.50%	0.00%
63	18241	嘉实制造升级	9月1日	1.5171	1.5171	-0.56%	-1.86%	10.58%	26.85%	16.57%	102.52%	54.55%	---	46.74%	51.71%	107.82%	0.00%
64	19863	招商稳健优选	9月1日	4.5211	4.5211	4.06%	16.24%	43.10%	73.87%	52.84%	102.47%	---	---	62.23%	82.50%	107.85%	0.00%
65	519606	国泰金鑫股票	9月1日	2.8845	3.1315	4.20%	14.92%	40.68%	77.96%	44.33%	101.14%	74.00%	44.83%	47.82%	188.45%	107.53%	0.15%
66	19824	国寿安保新材	9月1日	1.873	1.873	1.24%	4.40%	28.55%	55.90%	37.12%	100.49%	---	---	56.11%	87.30%	102.68%	0.12%
67	15593	国泰金鑫股票	9月1日	2.8231	2.8231	4.19%	14.91%	40.61%	77.68%	43.84%	99.84%	71.58%	41.94%	47.19%	56.38%	106.20%	0.00%
68	19825	国寿安保新材	9月1日	1.8623	1.8623	1.23%	4.39%	28.51%	55.70%	36.77%	99.54%	---	---	55.61%	86.23%	101.72%	0.00%
69	9557	申万菱信创业	9月1日	1.1852	1.1852	1.72%	3.92%	19.16%	40.78%	40.14%	99.33%	61.63%	32.04%	44.20%	18.52%	103.78%	0.15%
70	10505	申万菱信创业	9月1日	1.1069	1.1069	1.71%	3.91%	19.12%	40.63%	39.85%	98.55%	60.35%	30.48%	43.81%	10.69%	102.99%	0.00%
71	14736	创金合信专精	9月1日	1.5498	1.5498	1.22%	1.89%	25.76%	35.78%	28.51%	98.41%	43.16%	47.97%	39.38%	54.98%	106.45%	0.15%
72	10709	安信医药健康	9月1日	1.6866	1.7446	5.23%	1.96%	8.07%	36.61%	83.31%	98.17%	58.96%	40.90%	85.08%	76.60%	102.16%	0.15%
73	8009	华商高端装备	9月1日	3.4119	3.4119	3.35%	8.80%	35.96%	68.33%	62.65%	98.04%	72.44%	47.51%	73.70%	241.19%	102.45%	0.15%
74	9162	富国医药成长	9月1日	1.3359	1.3359	5.04%	-0.67%	3.62%	35.69%	76.38%	97.56%	82.45%	49.56%	91.64%	33.59%	99.69%	0.15%
75	15052	东方红医疗升	9月1日	1.7143	1.7143	3.84%	-0.40%	5.05%	24.65%	61.70%	97.48%	83.47%	74.34%	82.04%	71.43%	99.76%	0.15%
76	14737	创金合信专精	9月1日	1.5222	1.5222	1.22%	1.87%	25.71%	35.61%	28.19%	97.41%	41.73%	45.76%	38.92%	52.22%	105.43%	0.00%
77	8382	融通产业趋势	9月1日	1.1574	1.2124	2.81%	9.92%	38.05%	67.91%	64.36%	97.27%	41.70%	20.02%	84.80%	21.38%	100.24%	0.15%
78	4292	鹏华沪深港互	9月1日	2.3023	2.3023	1.27%	0.12%	21.87%	41.14%	30.85%	97.25%	43.53%	24.11%	43.13%	130.23%	102.26%	0.15%
79	10710	安信医药健康	9月1日	1.6486	1.7056	5.23%	1.95%	8.03%	36.43%	82.83%	97.15%	57.38%	38.80%	84.45%	72.55%	101.12%	0.00%
80	20698	国泰君安科创	9月1日	1.7374	1.7374	2.01%	2.22%	19.11%	40.95%	34.31%	97.14%	---	---	48.01%	73.74%	103.32%	0.15%
81	16050	华商高端装备	9月1日	3.3468	3.3468	3.34%	8.80%	35.89%	68.08%	62.17%	96.88%	70.41%	44.83%	73.02%	40.12%	101.28%	0.00%
82	15053	东方红医疗升	9月1日	1.6853	1.6853	3.83%	-0.41%	5.00%	24.49%	61.32%	96.54%	81.64%	71.76%	81.49%	68.53%	98.81%	0.00%
83	6228	中欧医疗创新	9月1日	1.7834	1.7834	4.10%	-0.65%	3.59%	34.01%	57.17%	96.52%	30.98%	2.48%	71.51%	78.34%	99.98%	0.15%
84	20699	国泰君安科创	9月1日	1.7278	1.7278	2.00%	2.22%	19.08%	40.81%	34.04%	96.34%	---	---	47.62%	72.78%	102.51%	0.00%
85	13465	博时智选量化	9月1日	1.4061	1.5189	0.49%	4.35%	21.67%	31.97%	27.79%	96.18%	69.82%	58.48%	42.38%	54.81%	100.01%	0.15%
86	19759	中欧半导体产	9月1日	1.5489	1.5489	1.07%	4.74%	28.40%	37.12%	22.50%	95.27%	---	---	33.64%	54.89%	102.66%	0.15%
