序号	基金代码	基金简称	日期	单位净值	累计净值	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来	自定义 
132	6618	长江可转债债	9月1日	1.5803	1.6503	-1.12%	-3.83%	3.33%	11.00%	8.96%	24.78%	13.02%	6.84%	12.80%	65.73%	25.90%
133	5717	兴业机遇债券	9月1日	1.6331	1.7031	-0.13%	0.07%	3.20%	6.79%	6.73%	24.63%	18.52%	16.79%	10.11%	74.09%	25.61%
134	8332	万家可转债债	9月1日	1.3497	1.3497	-0.16%	-3.45%	4.52%	10.29%	8.40%	24.61%	12.45%	10.02%	13.92%	34.97%	25.96%
135	6619	长江可转债债	9月1日	1.5426	1.6076	-1.12%	-3.84%	3.30%	10.88%	8.74%	24.27%	12.11%	5.56%	12.50%	61.40%	25.40%
136	8222	兴业机遇债券	9月1日	1.6454	1.6854	-0.13%	0.06%	3.16%	6.68%	6.51%	24.12%	17.57%	15.39%	9.81%	63.72%	25.12%
137	50011	博时信用债券	9月1日	3.5536	3.6686	0.13%	-1.92%	4.57%	10.32%	14.14%	23.52%	18.53%	14.04%	13.58%	290.19%	24.21%
138	261001	景顺长城稳定	9月1日	1.212	1.568	-0.33%	-1.30%	1.34%	4.39%	6.22%	23.17%	13.70%	14.82%	9.39%	68.47%	23.67%
139	50111	博时信用债券	9月1日	3.3984	3.4954	0.13%	-1.93%	4.54%	10.22%	13.94%	23.09%	17.71%	12.87%	13.32%	268.00%	23.78%
140	14088	永赢稳健增强	9月1日	1.168	1.168	0.67%	0.96%	4.65%	11.91%	11.97%	22.65%	22.35%	15.35%	14.32%	16.80%	22.32%
141	1086	华富恒利债券	9月1日	1.1822	1.2262	-0.65%	-4.39%	2.02%	6.64%	4.64%	22.63%	15.68%	5.27%	9.52%	22.86%	23.66%
142	261101	景顺长城稳定	9月1日	1.198	1.5	-0.33%	-1.32%	1.18%	4.26%	6.02%	22.62%	12.81%	13.49%	9.11%	58.88%	23.12%
143	14775	招商安本增利	9月1日	1.7968	1.9836	0.22%	-0.17%	2.87%	8.99%	11.34%	22.55%	19.84%	21.80%	11.71%	21.01%	23.16%
144	536	前海开源可转	9月1日	1.345	1.715	-0.14%	-2.97%	6.85%	11.63%	12.36%	22.50%	-0.30%	-6.92%	14.47%	92.03%	23.28%
145	2474	中邮睿信增强	9月1日	1.356	1.618	-0.07%	-1.17%	3.83%	8.31%	8.48%	22.49%	21.18%	23.93%	10.69%	68.14%	22.71%
146	4318	国寿安保尊裕	9月1日	1.212	1.323	-0.08%	-0.57%	1.34%	5.21%	7.16%	22.42%	14.56%	15.43%	7.73%	34.59%	23.80%
147	2101	创金合信转债	9月1日	1.4054	1.4961	-0.45%	-4.39%	2.43%	9.31%	9.50%	22.33%	7.37%	10.18%	11.77%	49.61%	23.06%
148	519162	新华增怡债券	9月1日	1.6568	1.8838	0.27%	-0.16%	3.97%	7.28%	5.76%	22.28%	17.69%	16.77%	9.24%	99.84%	23.49%
149	217008	招商安本增利	9月1日	1.7773	2.5836	0.22%	-0.17%	2.85%	8.91%	11.17%	22.18%	19.13%	20.72%	11.49%	234.24%	22.80%
150	14089	永赢稳健增强	9月1日	1.1511	1.1511	0.67%	0.96%	4.62%	11.80%	11.76%	22.17%	21.40%	13.98%	14.03%	15.11%	21.85%
151	1087	华富恒利债券	9月1日	1.1303	1.1513	-0.66%	-4.40%	1.99%	6.49%	4.37%	22.06%	14.63%	3.89%	9.17%	15.19%	23.13%
152	2102	创金合信转债	9月1日	1.375	1.3429	-0.45%	-4.39%	2.41%	9.23%	9.34%	21.96%	6.70%	9.16%	11.55%	34.29%	22.70%
153	4319	国寿安保尊裕	9月1日	1.188	1.283	-0.08%	-0.67%	1.28%	5.04%	6.93%	21.85%	13.58%	13.90%	7.41%	30.01%	23.24%
154	13720	新华增怡债券	9月1日	1.1681	1.1681	0.27%	-0.17%	3.93%	7.17%	5.54%	21.79%	16.74%	15.35%	8.93%	16.81%	23.00%
155	2459	华夏鼎利债券	9月1日	1.4589	1.7559	0.07%	-0.14%	6.40%	10.19%	9.00%	21.56%	17.94%	15.29%	10.86%	88.22%	22.67%
156	2460	华夏鼎利债券	9月1日	1.4533	1.7413	0.07%	-0.14%	6.39%	10.16%	8.94%	21.44%	17.68%	14.84%	10.78%	86.34%	22.55%
157	5579	光大晟利债券	9月1日	1.3362	1.3362	-0.86%	-4.12%	1.64%	6.54%	4.51%	21.31%	11.54%	13.14%	9.10%	33.62%	21.58%
158	5843	金元顺安沣泉	9月1日	1.118	1.286	-0.01%	-0.61%	1.91%	5.71%	5.09%	21.11%	8.88%	9.16%	8.34%	30.09%	22.23%
159	19486	金元顺安沣泉	9月1日	1.1047	1.1047	-0.01%	-0.61%	1.89%	5.65%	4.98%	20.88%	---	---	8.21%	7.61%	22.00%
160	5580	光大晟利债券	9月1日	1.2946	1.2946	-0.87%	-4.13%	1.59%	6.43%	4.30%	20.84%	10.66%	11.81%	8.82%	29.46%	21.12%
161	166010	中欧鼎利债券	9月1日	1.2856	1.8158	0.57%	0.38%	4.76%	7.66%	6.34%	20.62%	10.05%	5.30%	10.48%	105.29%	21.32%
162	9519	中欧鼎利债券	9月1日	1.3896	1.4286	0.56%	0.38%	4.76%	7.66%	6.33%	20.61%	10.22%	5.47%	10.46%	25.96%	21.31%
163	160718	嘉实多利收益	9月1日	0.904	1.6621	0.20%	0.30%	4.18%	9.05%	9.68%	20.37%	17.55%	16.76%	10.50%	98.72%	21.00%
164	310518	申万菱信可转	9月1日	1.997	2.147	-0.75%	-2.54%	5.38%	10.45%	9.30%	20.30%	11.07%	9.42%	12.95%	129.13%	20.52%
165	164814	工银双债增强	9月1日	1.11	1.837	-0.89%	-3.65%	4.42%	10.89%	7.87%	20.26%	11.22%	8.50%	11.45%	113.59%	20.78%
