序号	基金代码	基金简称	日期	单位净值	累计净值	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来	自定义 	手续费
121	501015	财通多策略升	9月1日	2.141	2.141	2.69%	5.62%	26.02%	68.85%	77.97%	129.47%	99.53%	71.01%	76.07%	114.10%	136.57%	0.15%
122	10238	安信创新先锋	9月1日	1.0702	1.0702	3.05%	14.41%	47.03%	93.98%	68.43%	129.26%	89.89%	45.65%	86.77%	7.02%	139.47%	0.00%
123	18325	国泰君安创新	9月1日	1.3173	1.3173	1.26%	6.21%	33.26%	66.24%	59.73%	129.18%	63.48%	---	71.52%	31.73%	134.23%	0.15%
124	17290	中欧科创主题	9月1日	2.8809	2.8809	1.05%	4.12%	24.71%	37.30%	28.21%	128.90%	104.29%	---	62.66%	75.70%	136.90%	0.00%
125	20398	中银港股通医	9月1日	1.9935	1.9935	4.27%	0.80%	9.51%	46.80%	91.90%	128.82%	---	---	127.41%	99.35%	129.85%	0.00%
126	501099	平安新兴产业	9月1日	2.4202	2.4202	3.16%	7.90%	41.89%	79.49%	62.15%	128.77%	80.33%	58.35%	89.29%	142.02%	134.86%	0.12%
127	16234	财通景气行业	9月1日	1.2706	1.2706	2.72%	5.54%	25.62%	67.49%	76.23%	128.77%	100.73%	70.78%	75.23%	64.42%	135.95%	0.00%
128	162201	宏利成长混合	9月1日	3.5736	5.9701	5.24%	16.49%	42.37%	91.59%	82.48%	128.58%	139.15%	55.96%	80.28%	2565.93%	137.02%	0.15%
129	18326	国泰君安创新	9月1日	1.3053	1.3053	1.25%	6.20%	33.22%	66.07%	59.40%	128.28%	62.17%	---	71.07%	30.53%	133.30%	0.00%
130	5311	万家经济新动	9月1日	2.2585	2.2585	0.80%	5.02%	22.45%	35.61%	31.61%	128.27%	47.60%	43.45%	73.04%	125.85%	135.21%	0.15%
131	11306	富国低碳新经	9月1日	3.75	3.75	2.71%	9.87%	35.48%	68.62%	68.92%	128.24%	71.31%	48.16%	79.68%	19.39%	134.38%	0.00%
132	6523	财通新兴蓝筹	9月1日	2.3812	2.3812	2.88%	7.63%	31.32%	78.86%	62.14%	127.82%	101.34%	50.17%	64.55%	138.12%	133.09%	0.00%
133	14727	易方达成长动	9月1日	2.0237	2.0237	2.17%	8.22%	32.81%	79.36%	77.42%	127.77%	122.02%	97.18%	83.14%	102.37%	133.44%	0.15%
134	15271	财通多策略升	9月1日	2.106	2.106	2.73%	5.62%	26.03%	68.75%	76.97%	127.68%	97.38%	68.48%	74.92%	83.77%	134.78%	0.00%
135	168401	红土转型精选	9月1日	3.501	3.501	4.13%	14.43%	38.07%	78.60%	74.67%	127.54%	75.41%	27.36%	82.73%	250.10%	135.05%	0.15%
136	5312	万家经济新动	9月1日	2.1567	2.1567	0.80%	5.01%	22.40%	35.45%	31.27%	127.14%	46.14%	41.31%	72.47%	115.67%	134.04%	0.00%
137	14728	易方达成长动	9月1日	1.9878	1.9878	2.15%	8.20%	32.75%	79.13%	76.98%	126.61%	119.79%	94.23%	82.52%	98.78%	132.27%	0.00%
138	17102	大摩数字经济	9月1日	2.2797	2.2797	2.47%	7.92%	38.33%	78.95%	59.20%	126.52%	169.02%	---	65.80%	127.97%	133.41%	0.15%
139	50010	博时特许价值	9月1日	5.252	5.692	1.55%	9.69%	39.94%	80.85%	59.59%	126.09%	80.23%	44.01%	71.75%	634.73%	132.70%	0.15%
140	10421	海富通消费优	9月1日	1.4382	1.4382	0.44%	3.26%	18.57%	32.96%	57.54%	125.92%	79.55%	50.77%	77.73%	43.82%	129.30%	0.15%
141	4223	金信多策略精	9月1日	2.0748	2.8427	0.56%	-0.42%	22.69%	41.59%	28.97%	125.89%	68.18%	46.53%	44.43%	268.86%	133.78%	0.15%
142	110029	易方达科讯混	9月1日	2.7037	11.2689	2.40%	9.55%	37.43%	84.82%	80.74%	125.32%	111.21%	74.88%	82.36%	291.75%	130.95%	0.15%
143	17103	大摩数字经济	9月1日	2.2459	2.2459	2.46%	7.91%	38.26%	78.67%	58.71%	125.15%	165.82%	---	65.13%	124.59%	132.01%	0.00%
144	4320	前海开源沪港	9月1日	2.7373	2.7373	4.45%	17.75%	43.04%	108.48%	71.13%	125.13%	80.20%	97.58%	77.85%	173.73%	129.64%	0.15%
145	10422	海富通消费优	9月1日	1.4071	1.4071	0.44%	3.25%	18.51%	32.78%	57.17%	124.81%	77.75%	48.52%	77.15%	40.71%	128.20%	0.00%
146	14036	博时成长回报	9月1日	1.2454	1.2454	4.10%	9.67%	37.92%	70.81%	54.71%	124.76%	65.55%	44.28%	79.09%	24.54%	132.48%	0.15%
147	20592	金信多策略精	9月1日	2.0648	2.0648	0.55%	-0.43%	22.63%	41.37%	28.61%	124.75%	---	---	43.84%	95.09%	132.60%	0.00%
148	5851	财通新视野灵	9月1日	3.5185	3.5185	2.78%	5.74%	25.69%	67.33%	73.86%	124.65%	96.74%	72.06%	71.94%	251.85%	131.69%	0.15%
149	1900	诺安精选价值	9月1日	2.0882	2.0882	5.11%	0.36%	5.91%	40.25%	76.37%	124.47%	103.41%	70.74%	113.36%	108.82%	125.61%	0.15%
150	13369	汇添富自主核	9月1日	1.62	1.62	5.09%	15.08%	42.81%	86.98%	61.34%	124.28%	81.66%	71.05%	78.26%	62.00%	130.61%	0.15%
151	19347	富国匠心成长	9月1日	2.0835	2.0835	3.20%	11.03%	27.45%	44.73%	38.84%	123.84%	---	---	79.33%	108.35%	128.48%	0.15%
152	14037	博时成长回报	9月1日	1.2177	1.2177	4.10%	9.65%	37.86%	70.55%	54.24%	123.43%	63.56%	41.69%	78.39%	21.77%	131.11%	0.00%
153	13370	汇添富自主核	9月1日	1.5974	1.5974	5.09%	15.06%	42.77%	86.76%	61.00%	123.38%	80.21%	69.02%	77.77%	59.74%	129.71%	0.00%
154	17835	信澳匠心回报	9月1日	2.0125	2.0125	0.37%	0.99%	15.57%	39.75%	67.95%	123.07%	---	---	85.72%	101.25%	126.61%	0.15%
155	5959	财通新视野灵	9月1日	3.3221	3.3221	2.77%	5.73%	25.61%	66.98%	73.16%	122.87%	93.63%	67.99%	71.04%	232.21%	129.87%	0.00%
156	19348	富国匠心成长	9月1日	2.0681	2.0681	3.20%	11.02%	27.39%	44.51%	38.44%	122.66%	---	---	78.41%	106.81%	127.26%	0.00%
157	519770	交银优择回报	9月1日	3.0657	3.1407	3.63%	15.08%	50.58%	104.08%	100.92%	121.83%	117.73%	117.43%	115.29%	228.85%	121.99%	0.08%
158	17836	信澳匠心回报	9月1日	1.9895	1.9895	0.37%	0.97%	15.52%	39.57%	67.47%	121.79%	---	---	85.02%	98.95%	125.34%	0.00%
