序号	基金代码	基金简称	日期	单位净值	累计净值	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来	自定义 
3183	24003	汇添富国证自	9月1日	1.1197	1.1197	0.77%	-1.09%	6.69%	12.00%	---	---	---	---	---	11.97%	11.97%
3184	22101	嘉实彭博国开	9月1日	1.0709	1.0709	0.04%	0.01%	-0.11%	-0.03%	---	---	---	---	---	0.04%	0.04%
3185	23050	交银上证科创	9月1日	1.3432	1.3432	1.76%	3.79%	21.39%	37.02%	34.36%	---	---	---	---	34.32%	34.32%
3186	23051	交银上证科创	9月1日	1.3419	1.3419	1.76%	3.79%	21.38%	36.94%	34.24%	---	---	---	---	34.19%	34.19%
3187	23911	国联上证科创	9月1日	1.2828	1.2828	1.34%	3.06%	18.83%	---	---	---	---	---	---	28.28%	28.28%
3188	23442	前海开源北证	9月1日	1.2005	1.2005	-0.53%	-2.08%	9.57%	9.73%	---	---	---	---	---	20.05%	20.05%
3189	22636	宏利中证同业	9月1日	1.0072	1.0072	0.01%	0.03%	0.08%	0.35%	---	---	---	---	---	0.72%	0.72%
3190	23476	农银中证A5	9月1日	1.1965	1.1965	0.90%	1.70%	12.82%	20.20%	---	---	---	---	---	19.65%	19.65%
3191	23426	中欧恒生沪深	9月1日	1.0232	1.0232	-0.66%	-1.25%	8.53%	7.71%	---	---	---	---	---	2.32%	2.32%
3192	23427	中欧恒生沪深	9月1日	1.022	1.022	-0.66%	-1.27%	8.50%	7.62%	---	---	---	---	---	2.20%	2.20%
3193	22820	融通中证A5	9月1日	1.1625	1.1625	0.64%	0.89%	10.98%	16.72%	---	---	---	---	---	16.25%	16.25%
3194	22821	融通中证A5	9月1日	1.1613	1.1613	0.63%	0.88%	10.96%	16.64%	---	---	---	---	---	16.13%	16.13%
3195	23182	太平中证红利	9月1日	1.0637	1.0637	-0.23%	-1.93%	0.81%	4.21%	7.17%	---	---	---	---	6.37%	6.37%
3196	24038	银华港股科技	9月1日	1.1986	1.1986	1.61%	-0.37%	7.03%	20.27%	---	---	---	---	---	19.86%	19.86%
3197	23711	中金中证优选	9月1日	2.3372	2.3372	0.27%	-0.71%	6.01%	12.58%	---	---	---	---	---	13.09%	13.09%
