排名,股票,价,涨,PEG,PE.扣非,预测增速,北上持股,PB,股息,ROE,市值.亿,今年来,行业
'294,SH600999.招商证券,'18.09,'+0.44%,'0.69,'14.93,21.75%,3.09%,'1.20,2.64%,8.24%,'1343,'-3.55%,证券
'295,SH603697.有友食品,'12.56,'-1.02%,'0.69,'32.68,57.65%,'-,'2.94,3.74%,8.88%,'54,'+25.38%,食品饮料
'296,SH688019.安集科技,'149.46,'-0.29%,'0.69,'42.15,62.86%,7.58%,'8.75,0.23%,23.34%,'252,'+39.73%,电子化学品
'297,SZ300373.扬杰科技,'56.68,'+0.84%,'0.69,'27.89,43.32%,1.46%,'3.38,1.17%,12.55%,'305,'+31.33%,半导体
'298,SH603115.海星股份,'15.69,'+0.32%,'0.70,'22.30,33.19%,'-,'1.82,3.82%,8.28%,'38,'+26.75%,电子元件
'299,SH688222.成都先导,'23.78,'+0.25%,'0.70,'145.02,203.87%,0.49%,'6.69,0.25%,4.70%,'95,'+93.73%,医疗服务
'300,SZ300408.三环集团,'34.57,0.00%,'0.70,'28.93,47.38%,6.37%,'3.25,1.10%,11.73%,'663,'-9.17%,电子元件
'301,SH600062.华润双鹤,'20.33,'-0.93%,'0.71,'12.29,19.61%,1.18%,'1.93,2.32%,15.32%,'211,'+4.73%,化学制药
'302,SH601633.长城汽车,'22.61,'+1.57%,'0.71,'17.25,29.75%,1.37%,'2.34,1.99%,14.52%,'1411,'-12.35%,汽车整车
'303,SH603888.新华网,'19.58,'+0.20%,'0.71,'53.87,80.41%,0.54%,'3.73,0.53%,7.01%,'132,'+14.57%,文化传媒
'304,SZ000755.山西高速,'4.99,'-0.40%,'0.71,'15.04,21.33%,0.31%,'1.35,3.99%,9.32%,'74,'+2.58%,铁路公路
'305,SZ001914.招商积余,'13.02,'+2.60%,'0.71,'15.48,22.85%,1.51%,'1.26,1.34%,8.44%,'135,'+23.18%,房地产服务
'306,SZ002626.金达威,'20.39,'+0.39%,'0.71,'31.53,44.73%,1.14%,'2.82,1.97%,9.37%,'124,'+38.14%,食品饮料
'307,SZ300628.亿联网络,'34.05,'+0.09%,'0.71,'16.31,24.80%,3.14%,'4.53,5.57%,29.02%,'431,'-8.46%,通信设备
'308,SH600415.小商品城,'19.64,'-1.36%,'0.72,'34.04,48.47%,6.41%,'5.05,1.68%,15.92%,'1077,'+49.07%,商业百货
'309,SH603713.密尔克卫,'54.30,'+0.15%,'0.72,'14.64,21.64%,8.00%,'1.93,1.31%,13.65%,'86,'+7.50%,物流行业
'310,SH603983.丸美生物,'40.51,'+1.25%,'0.72,'44.38,63.43%,1.21%,'4.62,1.85%,10.50%,'162,'+26.96%,美容护理
'311,SZ001696.宗申动力,'24.24,'+2.11%,'0.72,'47.90,69.65%,0.45%,'5.22,0.84%,11.17%,'272,'-1.73%,交运设备
'312,SZ002396.星网锐捷,'27.96,'+2.46%,'0.72,'36.91,57.38%,7.75%,'2.39,0.92%,6.61%,'161,'+49.14%,通信设备
'313,SH601990.南京证券,'8.25,'+0.36%,'0.73,'29.95,40.95%,1.12%,'1.70,2.52%,5.75%,'304,'-3.81%,证券
'314,SH603538.美诺华,'25.02,'-5.69%,'0.73,'74.34,165.40%,'-,'2.48,0.20%,3.42%,'55,'+97.34%,化学制药
'315,SH603676.卫信康,'12.89,'-2.13%,'0.73,'23.79,35.11%,'-,'3.82,2.65%,16.23%,'56,'+31.62%,化学制药
'316,SZ002536.飞龙股份,'19.59,'+9.99%,'0.74,'28.73,35.09%,0.58%,'3.03,2.25%,10.77%,'102,'+72.78%,汽车零部件
'317,SZ002550.千红制药,'11.89,'+4.48%,'0.74,'35.27,71.37%,2.28%,'5.44,1.05%,16.21%,'146,'+95.01%,化学制药
'318,SZ300545.联得装备,'33.19,'+0.97%,'0.74,'24.76,35.24%,0.17%,'3.00,0.61%,12.99%,'59,'+6.69%,光学光电子
'319,SH600211.西藏药业,'42.12,'-4.01%,'0.75,'13.47,20.70%,0.80%,'3.31,4.65%,25.97%,'136,'+17.14%,生物制品
'320,SH601717.中创智领,'17.39,0.00%,'0.75,'7.80,11.30%,5.04%,'1.38,6.44%,18.16%,'268,'+42.96%,汽车零部件
'321,SH688080.映翰通,'49.07,'+1.43%,'0.75,'26.67,37.54%,'-,'3.40,0.41%,13.59%,'36,'+49.70%,通信设备
'322,SZ002916.深南电路,'134.84,'-0.78%,'0.75,'45.55,63.68%,2.14%,'6.00,0.85%,13.88%,'906,'+42.22%,电子元件
'323,SH603109.神驰机电,'35.77,'-1.32%,'0.76,'30.47,43.21%,'-,'3.75,0.84%,12.86%,'75,'+103.82%,通用设备
'324,SH603605.珀莱雅,'82.39,'-0.12%,'0.76,'19.91,26.84%,11.99%,'5.63,1.44%,31.86%,'326,'-1.32%,美容护理
'325,SH601702.华峰铝业,'16.40,'+1.80%,'0.77,'13.31,17.61%,0.47%,'2.82,1.83%,23.27%,'164,'-8.78%,有色金属
'326,SH603055.台华新材,'9.88,'+1.75%,'0.77,'11.90,20.12%,0.36%,'1.70,2.53%,15.14%,'88,'-8.45%,纺织服装
'327,SH603269.海鸥股份,'10.41,'+0.58%,'0.77,'31.52,43.18%,'-,'2.99,2.06%,9.79%,'32,'+39.20%,通用设备
