序,股票,价,涨,低估率,当前市值.亿,折现市值.亿,当前现金流.亿,资产负债率,PE,PB,股息,ROE,今年来,行业
'23,600551.时代出版,'9.19,'+0.55%,591.54%,'61,'428,'24,31.34%,'15.59,'1.06,4.38%,6.85%,'+10.42%,文化传媒
'24,600894.广日股份,'10.23,'-0.29%,585.24%,'87,'598,'37,35.80%,'10.84,'1.00,13.39%,8.94%,'-25.87%,专用设备
'25,601117.中国化学,'8.33,'+1.83%,578.58%,'499,'3389,'170,69.43%,'8.44,'0.78,2.18%,9.65%,'+0.48%,工程建设
'26,601811.新华文轩,'15.58,'+0.32%,576.95%,'191,'1297,'87,35.92%,'11.99,'1.29,3.86%,11.29%,'+0.96%,文化传媒
'27,600662.外服控股,'5.95,'-1.49%,566.97%,'137,'919,'87,64.07%,'12.50,'2.61,2.15%,22.72%,'+17.36%,专业服务
'28,601098.中南传媒,'12.95,'+0.15%,540.69%,'232,'1487,'73,37.16%,'15.96,'1.46,4.25%,9.21%,'-10.80%,文化传媒
'29,002864.盘龙药业,'30.64,'-1.03%,533.74%,'32,'208,'10,28.18%,'27.34,'1.98,0.97%,7.43%,'+1.83%,中药
'30,603687.大胜达,'7.77,'-0.89%,530.36%,'43,'271,'11,19.89%,'36.46,'1.31,0.75%,3.64%,'+7.45%,包装材料
'31,601006.大秦铁路,'6.48,'-0.46%,525.23%,'1311,'8200,'476,13.12%,'15.32,'0.79,3.95%,5.40%,'-2.38%,物流行业
'32,600219.南山铝业,'4.12,'+0.24%,524.29%,'477,'2979,'188,16.80%,'8.40,'0.92,4.15%,11.42%,'+7.99%,有色金属
'33,600720.中交设计,'8.13,'-0.49%,509.79%,'187,'1143,'53,48.27%,'10.69,'1.24,'-,12.67%,'-8.24%,工程咨询服务
'34,600694.大商股份,'19.96,'+0.30%,507.11%,'69,'420,'29,47.84%,'11.77,'0.77,4.57%,6.67%,'-13.09%,商业百货
'35,600312.平高电气,'15.83,'-0.75%,503.54%,'216,'1306,'64,48.49%,'18.79,'2.00,1.81%,10.92%,'-16.79%,电网设备
'36,000800.一汽解放,'7.09,'-0.28%,503.52%,'349,'2111,'196,66.31%,'72.57,'1.33,0.70%,1.89%,'-12.91%,汽车整车
'37,003012.东鹏控股,'6.07,'+0.50%,500.24%,'69,'419,'18,33.81%,'22.58,'0.92,4.14%,4.03%,'-4.29%,装修建材
