序,股票,价,涨,低估率,当前市值.亿,折现市值.亿,当前现金流.亿,资产负债率,PE,PB,股息,ROE,今年来,行业
'183,000513.丽珠集团,'40.06,'-1.01%,165.34%,'365,'970,'70,37.21%,'17.51,'2.58,2.72%,14.53%,'+8.41%,化学制药
'184,601010.文峰股份,'2.64,'+0.38%,164.94%,'48,'128,'5,29.98%,'35.72,'1.09,4.71%,3.04%,'-1.19%,商业百货
'185,002543.万和电气,'12.88,'-5.16%,164.26%,'100,'266,'17,42.97%,'15.05,'2.05,3.24%,13.93%,'+28.32%,家电行业
'186,300724.捷佳伟创,'67.16,'-0.07%,163.30%,'233,'615,'61,63.91%,'8.08,'1.98,1.79%,27.39%,'+8.67%,光伏设备
'187,605259.绿田机械,'28.74,'+2.13%,163.25%,'48,'127,'10,34.87%,'23.47,'2.77,2.13%,12.30%,'+95.43%,通用设备
'188,603922.金鸿顺,'22.04,'-1.61%,162.43%,'40,'105,'6,28.03%,'300.00,'3.92,0.06%,0.83%,'-11.63%,汽车零部件
'189,688358.祥生医疗,'34.70,'+0.29%,162.37%,'38,'101,'8,9.84%,'28.40,'2.65,2.89%,9.49%,'+46.87%,医疗器械
'190,603927.中科软,'20.08,'-0.35%,161.02%,'167,'437,'26,52.24%,'53.50,'5.11,1.69%,9.53%,'-5.79%,软件开发
'191,002012.凯恩股份,'6.37,'-0.16%,160.54%,'29,'77,'4,6.37%,'300.00,'1.95,0.06%,0.31%,'+23.55%,造纸印刷
'192,002401.中远海科,'20.33,'+4.52%,159.86%,'72,'187,'15,38.11%,'93.94,'4.32,0.67%,4.61%,'+28.88%,互联网服务
'193,300994.久祺股份,'17.64,'-0.62%,158.91%,'41,'107,'6,38.50%,'29.11,'3.43,'-,12.09%,'+56.38%,交运设备
'194,600628.新世界,'7.62,'-0.39%,158.48%,'49,'127,'11,25.29%,'80.78,'1.17,0.39%,1.45%,'-6.73%,商业百货
'195,301119.正强股份,'40.48,'-2.95%,157.84%,'43,'111,'7,31.90%,'39.49,'4.08,2.45%,10.79%,'+34.08%,汽车零部件
'196,603339.四方科技,'13.43,'+1.44%,154.97%,'40,'104,'6,20.20%,'17.49,'1.56,1.78%,9.12%,'+8.35%,通用设备
'197,003023.彩虹集团,'23.56,'-0.88%,154.67%,'25,'63,'5,30.30%,'24.22,'1.59,1.68%,6.69%,'+34.37%,家电行业
'198,300286.安科瑞,'22.99,'+0.57%,154.65%,'57,'145,'12,15.15%,'32.43,'2.59,1.69%,9.90%,'+13.44%,电网设备
'199,003031.中瓷电子,'55.88,'+0.11%,154.35%,'251,'640,'30,16.21%,'43.45,'4.09,0.75%,9.77%,'+7.61%,通信设备
'200,301153.中科江南,'25.24,'+0.68%,153.82%,'88,'224,'13,22.01%,'122.33,'5.14,0.71%,4.09%,'-9.00%,软件开发
'201,002790.瑞尔特,'7.79,'-0.38%,153.76%,'32,'82,'6,18.84%,'22.70,'1.52,3.07%,6.71%,'+9.78%,装修建材
'202,000636.风华高科,'14.09,'-0.35%,152.83%,'163,'413,'39,23.71%,'49.72,'1.32,1.06%,2.70%,'-0.74%,电子元件
'203,300982.苏文电能,'19.78,'-1.15%,152.19%,'41,'104,'10,34.39%,'108.19,'1.36,3.25%,1.24%,'+6.38%,工程建设
'204,300048.合康新能,'6.20,'+0.81%,151.91%,'68,'173,'9,62.36%,'250.80,'3.97,'-,1.60%,'+23.02%,专用设备
'205,300407.凯发电气,'11.45,'-1.55%,151.34%,'37,'93,'4,43.40%,'49.70,'2.03,0.86%,4.13%,'+13.64%,电网设备
'206,688092.爱科科技,'25.32,'-0.90%,151.02%,'21,'53,'4,18.73%,'34.62,'3.30,1.41%,9.73%,'+24.53%,专用设备
'207,002978.安宁股份,'29.77,'-0.54%,150.84%,'141,'354,'25,23.09%,'16.59,'1.69,3.09%,11.67%,'+6.47%,有色金属
'208,301106.骏成科技,'32.33,'-0.46%,149.83%,'33,'82,'5,15.94%,'33.42,'2.63,1.23%,8.12%,'+16.46%,光学光电子
'209,002145.中核钛白,'4.28,'-0.70%,149.72%,'164,'409,'24,38.06%,'28.91,'1.35,0.38%,4.70%,'+1.32%,化学原料
'210,300750.宁德时代,'263.25,'-0.16%,147.56%,'12021,'29759,'1844,62.59%,'20.60,'4.08,2.19%,23.77%,'+1.43%,电池
'211,603586.金麒麟,'19.58,'-2.34%,147.04%,'39,'97,'6,16.22%,'26.23,'1.69,2.00%,6.51%,'+38.37%,汽车零部件
'212,600009.XD上海机,'31.84,'-0.19%,146.70%,'793,'1958,'142,35.81%,'38.40,'1.88,1.25%,4.97%,'-5.89%,航空机场
'213,300906.日月明,'35.12,'-5.00%,145.67%,'29,'72,'3,9.39%,'39.53,'3.22,1.35%,8.31%,'+37.73%,交运设备
'214,301197.工大科雅,'20.67,'-0.86%,145.36%,'25,'61,'3,21.02%,'44.76,'1.85,0.48%,4.17%,'+38.03%,软件开发
'215,002641.公元股份,'4.26,'-0.47%,142.75%,'52,'127,'7,39.16%,'38.29,'0.97,1.17%,2.55%,'-2.02%,装修建材
'216,603136.天目湖,'12.69,'-0.94%,142.28%,'34,'83,'4,16.71%,'32.17,'2.56,1.83%,7.98%,'+14.59%,旅游酒店
'217,300803.指南针,'92.94,'+1.83%,142.09%,'555,'1343,'67,80.78%,'245.52,'24.88,'-,10.94%,'+40.45%,软件开发
'218,300079.数码视讯,'5.85,'-0.51%,142.06%,'83,'202,'18,7.12%,'300.00,'1.98,0.17%,0.60%,'+8.32%,互联网服务
'219,300304.云意电气,'12.90,'-3.01%,140.78%,'116,'281,'13,23.31%,'29.62,'3.77,0.59%,13.44%,'+62.54%,汽车零部件
'220,600825.新华传媒,'7.27,'-0.68%,140.74%,'76,'184,'13,37.53%,'191.83,'3.12,0.16%,1.62%,'+11.18%,文化传媒
'221,600054.黄山旅游,'11.75,'-0.09%,139.66%,'85,'205,'12,14.73%,'26.28,'1.83,1.46%,7.10%,'+5.57%,旅游酒店
'222,605058.澳弘电子,'29.52,'-1.20%,139.29%,'42,'102,'7,33.53%,'29.07,'2.43,2.01%,8.62%,'+52.41%,电子元件
'223,600959.江苏有线,'3.60,'-1.10%,137.05%,'182,'431,'33,37.76%,'45.52,'0.80,0.60%,1.78%,'+8.13%,文化传媒
'224,603888.新华网,'19.45,'+0.46%,136.52%,'130,'308,'17,27.11%,'53.26,'3.69,0.54%,7.01%,'+13.81%,文化传媒
'225,603456.九洲药业,'18.43,'-0.11%,135.99%,'164,'387,'23,19.86%,'24.98,'1.88,1.64%,7.68%,'+37.50%,化学制药
'226,603027.千禾味业,'11.89,'+0.51%,135.74%,'121,'285,'12,15.94%,'23.34,'3.18,4.23%,14.02%,'+2.28%,食品饮料
'227,301003.江苏博云,'34.16,'-2.12%,135.34%,'33,'79,'6,9.05%,'24.17,'2.74,5.26%,11.60%,'+64.95%,塑料制品
'228,301289.国缆检测,'51.94,'-0.44%,132.61%,'40,'94,'7,17.94%,'50.76,'4.08,0.79%,8.24%,'+7.21%,专业服务
'229,002649.博彦科技,'14.68,'+0.27%,132.59%,'85,'199,'15,27.69%,'48.50,'2.03,1.17%,4.28%,'+22.71%,互联网服务
'230,000969.安泰科技,'13.39,'-0.96%,130.28%,'142,'327,'16,41.95%,'37.75,'2.52,1.48%,6.91%,'+21.95%,通用设备
'231,688571.杭华股份,'8.78,'-0.45%,130.14%,'37,'85,'7,21.04%,'26.23,'2.35,2.27%,9.25%,'+34.39%,化学制品
'232,600125.铁龙物流,'5.85,'+0.17%,129.91%,'76,'175,'14,28.35%,'20.88,'1.02,1.54%,4.96%,'+0.22%,物流行业
'233,688236.春立医疗,'25.08,'+4.54%,129.49%,'92,'211,'18,17.11%,'71.97,'3.20,0.55%,4.40%,'+96.37%,医疗器械
'234,300880.迦南智能,'20.50,'-0.48%,128.63%,'40,'91,'5,28.64%,'22.46,'3.71,2.18%,17.54%,'-5.61%,电网设备
'235,300144.宋城演艺,'8.53,'-0.12%,128.60%,'223,'511,'27,13.01%,'21.47,'2.68,2.34%,13.14%,'-6.01%,旅游酒店
'236,002515.金字火腿,'7.38,'-0.94%,128.38%,'90,'205,'7,2.21%,'143.46,'3.40,0.40%,2.39%,'+63.86%,食品饮料
'237,301208.中亦科技,'49.00,'-0.04%,128.31%,'58,'134,'10,17.79%,'74.88,'3.82,0.41%,5.17%,'+27.75%,软件开发
'238,688009.中国通号,'5.43,'-0.37%,127.28%,'577,'1311,'93,55.95%,'16.72,'1.19,3.12%,7.19%,'-10.57%,交运设备
'239,300792.壹网壹创,'26.34,'+2.05%,126.67%,'61,'138,'12,4.02%,'84.11,'2.13,0.39%,2.54%,'+10.20%,互联网服务
'240,600993.XD马应龙,'27.91,'-0.21%,126.26%,'120,'272,'14,19.03%,'22.58,'2.82,2.22%,13.05%,'+9.24%,中药
'241,603013.亚普股份,'21.00,'-0.52%,125.52%,'108,'244,'13,33.63%,'21.59,'2.46,1.89%,11.73%,'+43.02%,汽车零部件
'242,002962.五方光电,'15.68,'+0.51%,124.11%,'45,'101,'9,14.24%,'87.61,'2.58,1.28%,2.91%,'-8.58%,光学光电子
'243,000880.潍柴重机,'46.04,'-0.80%,123.35%,'153,'343,'21,68.49%,'79.72,'7.35,0.06%,9.50%,'+166.50%,通用设备
'244,002869.金溢科技,'28.06,'+3.31%,122.62%,'48,'108,'7,15.84%,'67.19,'2.23,0.74%,3.37%,'+6.35%,电子元件
'245,300833.浩洋股份,'36.46,'-0.30%,121.27%,'46,'102,'10,8.35%,'18.18,'1.86,3.55%,10.36%,'-14.30%,专用设备
'246,300968.格林精密,'15.43,'+0.13%,121.11%,'63,'140,'9,12.67%,'189.88,'3.37,0.32%,1.79%,'-6.02%,消费电子
'247,002737.葵花药业,'16.13,'-0.37%,120.47%,'94,'208,'9,19.49%,'32.16,'2.13,3.09%,6.22%,'-18.77%,中药
'248,000419.通程控股,'6.09,'+2.35%,120.10%,'32,'71,'6,35.32%,'26.84,'0.93,2.52%,3.54%,'+9.41%,商业百货
'249,001229.魅视科技,'34.09,'-0.50%,118.97%,'34,'75,'4,6.17%,'47.92,'3.43,1.75%,7.20%,'-2.77%,计算机设备
'250,000568.泸州老窖,'125.43,'-0.52%,118.85%,'1855,'4061,'250,24.67%,'13.76,'3.70,9.00%,27.99%,'+5.12%,酿酒行业
'251,300795.米奥会展,'15.54,'+0.19%,118.55%,'46,'101,'6,28.83%,'40.82,'7.90,3.22%,18.18%,'+2.36%,文化传媒
'252,689009.九号公司-WD,'61.74,'-0.58%,118.02%,'446,'974,'56,64.66%,'25.82,'6.59,1.82%,27.90%,'+32.42%,交运设备
'253,002406.远东传动,'8.37,'-2.22%,117.71%,'62,'136,'7,14.49%,'51.53,'1.54,1.75%,3.01%,'+32.43%,汽车零部件
'254,605066.天正电气,'7.87,'-1.13%,116.66%,'40,'87,'7,41.09%,'31.85,'2.19,4.40%,6.83%,'+35.16%,电网设备
'255,600241.时代万恒,'8.66,'-1.37%,116.33%,'25,'55,'3,11.37%,'133.89,'2.21,'-,1.66%,'+29.45%,电池
'256,300945.曼卡龙,'19.58,'-1.85%,113.50%,'52,'111,'4,11.78%,'48.90,'3.15,0.70%,6.60%,'+71.53%,珠宝首饰
'257,002695.煌上煌,'14.35,'-9.97%,113.46%,'89,'190,'12,16.24%,'157.46,'3.22,0.69%,2.05%,'+70.08%,食品饮料
'258,688667.菱电电控,'65.18,'+0.08%,113.30%,'34,'72,'5,22.59%,'103.07,'2.07,'-,2.03%,'+62.43%,汽车零部件
'259,000985.大庆华科,'19.11,'-0.98%,112.31%,'25,'53,'3,11.74%,'137.12,'4.08,0.26%,3.04%,'+2.46%,化学制品
'260,688112.鼎阳科技,'42.49,'+0.71%,111.69%,'67,'142,'12,6.78%,'54.86,'4.26,1.21%,7.73%,'+53.77%,仪器仪表
'261,300111.向日葵,'3.96,'-1.25%,111.45%,'51,'109,'5,16.68%,'300.00,'7.52,'-,1.05%,'+22.22%,化学制药
'262,603298.杭叉集团,'21.98,'+3.53%,111.23%,'278,'587,'32,34.99%,'13.37,'2.63,2.36%,21.25%,'+26.12%,工程机械
'263,002658.雪迪龙,'8.06,'-0.12%,110.80%,'51,'108,'6,13.49%,'27.73,'1.98,3.10%,7.12%,'+30.80%,仪器仪表
'264,603899.晨光股份,'31.88,'+1.53%,110.45%,'289,'608,'31,38.48%,'21.67,'3.15,3.19%,15.34%,'+9.10%,家用轻工
'265,300802.矩子科技,'20.38,'-1.50%,110.29%,'59,'125,'8,12.07%,'89.73,'3.67,0.77%,4.06%,'+12.50%,专用设备
'266,002332.仙琚制药,'10.74,'+0.37%,109.67%,'105,'221,'13,14.80%,'27.14,'1.75,2.80%,6.53%,'+11.61%,化学制药
'267,002282.博深股份,'7.89,'-0.13%,108.07%,'41,'86,'4,9.93%,'21.66,'1.15,2.53%,5.41%,'+9.55%,通用设备
'268,601958.XD金钼股,'13.06,'+0.62%,105.90%,'418,'862,'47,9.81%,'13.83,'2.36,3.08%,17.97%,'+33.94%,小金属
'269,300578.会畅通讯,'20.53,'-1.91%,105.33%,'41,'85,'5,10.74%,'204.99,'3.50,'-,1.72%,'+6.65%,通信服务
'270,300564.筑博设计,'17.68,'-1.72%,104.31%,'29,'59,'5,22.79%,'51.10,'2.28,2.78%,4.40%,'+48.26%,工程咨询服务
'271,603018.华设集团,'8.33,'-0.72%,102.61%,'57,'116,'7,56.62%,'16.50,'1.10,1.19%,6.77%,'+2.76%,工程咨询服务
'272,002732.燕塘乳业,'17.49,'-0.28%,101.70%,'27,'55,'2,21.48%,'28.95,'1.86,0.86%,6.59%,'+12.34%,食品饮料
'273,688389.普门科技,'14.50,'+0.35%,101.39%,'61,'124,'9,26.13%,'21.21,'2.94,1.95%,14.54%,'-0.51%,医疗器械
'274,002486.嘉麟杰,'2.84,'-1.04%,101.35%,'23,'47,'3,16.57%,'67.21,'2.25,'-,3.39%,'+15.92%,纺织服装
'275,605111.新洁能,'33.86,'+1.53%,101.32%,'138,'278,'21,9.50%,'31.28,'3.41,0.35%,11.44%,'+0.06%,半导体
'276,002194.武汉凡谷,'13.50,'-0.22%,100.36%,'92,'185,'13,16.33%,'158.54,'3.64,0.52%,2.28%,'+20.90%,通信设备
'277,002912.中新赛克,'28.22,'-1.84%,99.96%,'49,'98,'9,16.25%,'83.92,'2.99,0.70%,3.57%,'+11.24%,互联网服务
'278,603106.恒银科技,'10.84,'+1.69%,99.28%,'55,'110,'8,22.19%,'83.24,'4.23,0.28%,5.22%,'+38.21%,计算机设备
'279,000788.北大医药,'6.42,'-7.36%,98.52%,'41,'81,'5,32.78%,'29.59,'2.65,1.15%,9.22%,'+7.49%,化学制药
'280,600055.万东医疗,'17.85,'+0.51%,98.29%,'124,'247,'14,8.98%,'78.46,'2.60,0.73%,3.33%,'+19.11%,医疗器械
'281,000551.创元科技,'12.09,'-0.25%,96.46%,'58,'115,'8,37.73%,'21.95,'2.18,0.69%,10.50%,'+22.25%,环保行业
'282,603533.掌阅科技,'20.56,'-0.63%,96.16%,'90,'178,'12,20.25%,'188.53,'3.62,0.48%,1.94%,'+1.73%,文化传媒
'283,002033.丽江股份,'8.92,'+0.23%,94.52%,'48,'95,'7,10.94%,'25.33,'2.00,3.93%,7.94%,'+4.68%,旅游酒店
'284,600650.锦江在线,'16.39,'-0.18%,93.65%,'90,'175,'16,18.70%,'53.30,'2.17,0.67%,4.20%,'+18.03%,铁路公路
'285,600423.柳化股份,'3.77,'-1.31%,93.35%,'30,'58,'4,9.22%,'102.32,'5.51,'-,5.54%,'+28.23%,化学原料
'286,688330.宏力达,'27.65,'-0.32%,93.33%,'38,'75,'3,8.03%,'18.75,'1.02,1.23%,5.56%,'+6.70%,电网设备
'287,603365.水星家纺,'17.90,'+0.96%,92.80%,'46,'89,'8,18.29%,'12.82,'1.51,5.08%,11.97%,'+15.82%,纺织服装
'288,600728.佳都科技,'5.80,'-0.34%,92.56%,'124,'239,'15,53.27%,'65.91,'1.61,0.32%,2.47%,'+23.93%,软件开发
'289,600507.方大特钢,'6.31,'+0.16%,92.44%,'145,'280,'27,54.56%,'36.00,'1.53,0.52%,4.29%,'+57.02%,钢铁行业
'290,300951.博硕科技,'34.42,'-0.14%,92.26%,'58,'112,'8,17.59%,'28.60,'2.46,1.74%,8.74%,'+17.61%,消费电子
'291,300613.富瀚微,'53.63,'+4.38%,92.18%,'119,'229,'12,22.40%,'50.53,'4.27,0.23%,8.78%,'-8.09%,半导体
'292,301065.本立科技,'25.08,'-0.75%,92.09%,'26,'51,'4,17.62%,'42.37,'2.03,0.79%,4.89%,'+34.87%,化学原料
'293,600158.中体产业,'8.66,'+0.35%,91.73%,'82,'158,'16,39.02%,'300.00,'3.17,0.23%,0.58%,'+4.95%,文化传媒
'294,300519.新光药业,'17.32,'-1.81%,91.64%,'28,'54,'6,7.46%,'54.17,'3.30,1.70%,6.05%,'+33.25%,中药
'295,688205.德科立,'72.83,'+3.94%,91.46%,'110,'212,'7,14.65%,'120.58,'4.91,0.55%,4.13%,'+4.46%,光学光电子
'296,688032.禾迈股份,'109.41,'-1.39%,91.44%,'137,'263,'27,23.28%,'51.64,'2.17,2.88%,4.18%,'+0.25%,光伏设备
'297,300770.新媒股份,'40.40,'-0.52%,91.21%,'93,'177,'16,25.66%,'13.87,'2.48,7.07%,17.71%,'+1.84%,文化传媒
'298,301001.凯淳股份,'33.00,'+1.73%,90.10%,'25,'49,'3,8.75%,'198.81,'3.16,1.16%,1.59%,'-4.57%,互联网服务
'299,600838.XD上海九,'8.87,'+1.03%,89.94%,'35,'66,'4,7.10%,'79.51,'2.31,0.36%,2.96%,'-8.50%,商业百货
'300,601921.浙版传媒,'8.31,'-0.12%,89.86%,'184,'351,'58,37.85%,'16.31,'1.33,3.61%,8.29%,'+9.47%,文化传媒
'301,605377.华旺科技,'9.36,'+0.21%,89.57%,'51,'98,'5,33.55%,'12.91,'1.28,7.77%,9.82%,'-12.27%,造纸印刷
'302,002977.天箭科技,'40.19,'-1.93%,89.48%,'49,'93,'5,12.55%,'191.62,'4.43,0.44%,2.32%,'+48.38%,通信设备
'303,600101.明星电力,'10.28,'-0.58%,89.34%,'56,'107,'9,26.83%,'26.69,'1.85,1.16%,7.12%,'+18.00%,电力行业
'304,601086.国芳集团,'11.10,'-0.36%,88.11%,'74,'139,'8,43.04%,'132.17,'4.66,0.72%,3.47%,'+90.18%,商业百货
'305,001266.宏英智能,'29.81,'-1.13%,87.37%,'31,'58,'3,38.85%,'131.01,'3.12,1.00%,2.38%,'+30.27%,仪器仪表
'306,600983.惠而浦,'11.48,'+0.17%,86.90%,'87,'164,'17,50.33%,'28.57,'3.15,2.53%,11.53%,'+27.77%,家电行业
'307,301045.天禄科技,'25.63,'+0.63%,86.16%,'28,'52,'2,17.24%,'102.42,'2.81,0.20%,2.76%,'+16.15%,光学光电子
'308,002700.万憬能源,'7.94,'+3.25%,85.88%,'31,'59,'2,11.72%,'34.70,'2.36,0.86%,8.53%,'-22.27%,燃气
'309,002476.宝莫股份,'4.93,'-0.40%,84.98%,'30,'56,'4,10.63%,'47.85,'3.22,0.20%,6.94%,'+17.08%,化学制品
'310,605288.凯迪股份,'53.30,'-1.48%,83.97%,'37,'69,'5,21.51%,'44.98,'1.70,0.69%,3.82%,'+58.10%,专用设备
'311,688553.汇宇制药-W,'21.31,'-5.25%,83.80%,'95,'175,'14,20.27%,'37.61,'2.41,2.06%,6.52%,'+43.93%,化学制药
'312,300389.艾比森,'12.22,'-0.65%,83.57%,'45,'83,'7,56.56%,'55.14,'2.94,1.22%,5.40%,'+4.09%,光学光电子
'313,300384.三联虹普,'19.47,'-0.71%,83.44%,'62,'114,'7,22.46%,'19.57,'2.34,2.57%,12.14%,'+5.87%,专业服务
'314,601601.中国太保,'37.41,'+1.44%,83.38%,'3547,'6506,'534,90.04%,'8.28,'1.35,2.93%,16.43%,'+13.00%,保险
'315,688616.西力科技,'14.04,'-2.30%,83.36%,'25,'47,'3,16.81%,'23.97,'3.02,2.09%,12.98%,'+38.31%,电网设备
'316,002970.锐明技术,'46.51,'+0.15%,82.12%,'82,'150,'9,38.14%,'24.54,'4.56,2.15%,20.81%,'-0.96%,计算机设备
'317,300674.宇信科技,'26.21,'+0.31%,81.97%,'183,'334,'20,22.56%,'45.32,'4.24,1.00%,9.71%,'+35.74%,互联网服务
'318,688777.中控技术,'47.98,'-0.93%,81.89%,'383,'696,'27,41.64%,'35.10,'3.67,1.46%,10.71%,'-1.88%,软件开发
'319,600131.国网信通,'18.03,'-0.06%,81.67%,'216,'393,'21,44.47%,'31.07,'3.18,0.95%,10.59%,'-3.75%,互联网服务
'320,300294.博雅生物,'27.08,'+0.11%,81.44%,'136,'247,'6,10.05%,'35.48,'1.79,1.18%,5.09%,'-10.03%,生物制品
'321,002820.桂发祥,'13.68,'+9.97%,81.27%,'24,'45,'4,7.14%,'300.00,'2.82,1.21%,0.05%,'+11.60%,食品饮料
'322,002773.康弘药业,'42.18,'-0.87%,81.08%,'391,'709,'34,6.49%,'32.19,'4.33,1.41%,14.13%,'+119.52%,化学制药
'323,300908.仲景食品,'30.68,'+0.49%,80.79%,'44,'80,'5,13.04%,'25.77,'2.52,3.28%,9.88%,'+2.47%,食品饮料
'324,600066.宇通客车,'27.70,'+4.96%,80.10%,'584,'1052,'65,53.20%,'13.86,'4.12,5.68%,29.34%,'+9.09%,汽车整车
'325,688171.纬德信息,'43.75,'+2.03%,79.40%,'35,'64,'4,7.39%,'300.00,'4.38,0.10%,0.81%,'+161.86%,软件开发
'326,002767.先锋电子,'20.14,'-2.33%,79.21%,'30,'55,'2,27.38%,'123.38,'3.69,0.21%,3.03%,'+51.92%,仪器仪表
'327,002233.塔牌集团,'8.55,'+0.71%,79.12%,'101,'181,'10,9.10%,'13.55,'0.85,5.30%,6.35%,'+17.88%,水泥建材
'328,300171.东富龙,'15.31,'+1.19%,78.99%,'115,'207,'26,38.09%,'77.47,'1.48,0.50%,1.90%,'+16.02%,医疗器械
'329,000792.盐湖股份,'19.43,'-2.17%,78.35%,'1050,'1874,'114,12.67%,'21.56,'2.79,'-,13.82%,'+18.04%,化肥行业
'330,600085.同仁堂,'36.44,'-0.46%,77.06%,'502,'889,'82,32.65%,'32.76,'3.65,2.73%,11.21%,'-8.98%,中药
'331,301093.华兰股份,'27.25,'+1.08%,76.76%,'44,'78,'4,9.58%,'77.29,'1.96,0.57%,2.49%,'+49.77%,医疗器械
'332,603002.宏昌电子,'7.22,'+0.42%,76.04%,'81,'143,'8,26.10%,'180.46,'2.36,0.28%,1.31%,'+34.92%,电子化学品
'333,605098.行动教育,'37.20,'+1.09%,75.71%,'43,'77,'6,'-,'16.08,'4.43,6.09%,27.65%,'+7.71%,教育
'334,688016.心脉医疗,'120.00,'+1.55%,75.67%,'145,'255,'8,13.00%,'32.55,'3.79,1.70%,11.34%,'+9.67%,医疗器械
'335,688580.伟思医疗,'55.86,'+5.40%,75.24%,'50,'88,'10,8.47%,'44.75,'3.05,1.51%,6.85%,'+103.67%,医疗器械
'336,605577.龙版传媒,'13.50,'-0.15%,75.02%,'60,'105,'2,34.44%,'34.79,'1.57,1.11%,4.54%,'-5.99%,文化传媒
'337,688517.金冠电气,'16.00,'-0.93%,74.61%,'22,'38,'3,35.21%,'24.61,'2.64,3.41%,10.95%,'+22.67%,电网设备
'338,000409.云鼎科技,'12.69,'-1.17%,74.27%,'87,'151,'7,31.84%,'112.94,'5.63,'-,5.13%,'+42.42%,互联网服务
'339,002025.航天电器,'50.44,'-0.43%,73.99%,'230,'401,'20,37.36%,'137.21,'3.54,0.45%,2.58%,'+4.37%,电子元件
'340,605155.西大门,'13.70,'+0.51%,72.04%,'26,'44,'2,6.93%,'21.37,'2.00,1.84%,9.66%,'+39.07%,家用轻工
'341,300467.迅游科技,'22.89,'-0.52%,71.54%,'46,'80,'5,20.92%,'288.28,'7.44,'-,2.62%,'+45.52%,游戏
'342,000538.云南白药,'55.95,'-0.11%,71.22%,'999,'1711,'103,24.81%,'20.06,'2.45,4.28%,12.10%,'-4.71%,中药
'343,002749.国光股份,'15.88,'+2.98%,71.10%,'71,'123,'8,13.67%,'18.91,'3.49,5.86%,18.53%,'+16.42%,农药兽药
'344,601801.皖新传媒,'6.84,'-0.15%,70.52%,'134,'228,'4,39.77%,'16.81,'1.13,2.92%,6.73%,'-5.43%,文化传媒
'345,301218.华是科技,'23.77,'-0.75%,70.41%,'27,'46,'5,38.59%,'300.00,'2.91,0.10%,0.96%,'+9.53%,软件开发
'346,300142.沃森生物,'12.93,'-2.19%,70.39%,'211,'360,'30,20.02%,'161.80,'2.24,0.08%,1.39%,'+7.14%,生物制品
'347,605398.新炬网络,'32.50,'-2.40%,70.08%,'54,'92,'6,11.18%,'300.00,'5.27,0.26%,1.67%,'+49.63%,互联网服务
'348,300206.理邦仪器,'13.49,'+0.82%,69.80%,'77,'131,'8,12.84%,'41.11,'3.74,1.55%,9.26%,'+22.86%,医疗器械
'349,000738.航发控制,'21.13,'-1.03%,69.74%,'280,'476,'35,19.19%,'44.10,'2.25,0.81%,5.18%,'-4.14%,航天航空
'350,603369.今世缘,'39.82,'-0.18%,68.82%,'497,'839,'52,31.95%,'14.12,'2.91,3.01%,22.08%,'-9.48%,酿酒行业
'351,000810.创维数字,'11.77,'+0.17%,68.64%,'134,'226,'22,40.43%,'89.47,'2.11,1.11%,2.34%,'-25.28%,通信设备
'352,301219.腾远钴业,'57.35,'-0.93%,68.62%,'170,'287,'29,17.14%,'25.67,'1.91,0.86%,7.56%,'+28.29%,能源金属
'353,603020.爱普股份,'9.19,'-0.86%,67.83%,'35,'59,'3,6.73%,'22.60,'1.08,1.94%,4.86%,'+21.04%,食品饮料
'354,001207.联科科技,'26.51,'-1.08%,67.75%,'54,'90,'4,31.24%,'18.07,'2.85,1.49%,16.32%,'+38.55%,橡胶制品
'355,002444.巨星科技,'33.68,'+4.01%,67.19%,'386,'646,'35,22.69%,'16.45,'2.29,1.55%,14.61%,'+4.11%,通用设备
'356,600645.中源协和,'26.49,'-0.49%,66.73%,'124,'207,'15,29.84%,'141.18,'3.44,'-,2.42%,'+37.25%,生物制品
'357,300882.万胜智能,'16.99,0.00%,66.63%,'48,'81,'2,24.28%,'43.43,'4.06,0.29%,9.30%,'+6.02%,电网设备
'358,600452.涪陵电力,'11.95,'+2.31%,66.05%,'179,'298,'10,16.01%,'36.11,'3.32,0.90%,9.46%,'+13.52%,电力行业
'359,002091.江苏国泰,'7.42,'-0.27%,65.57%,'121,'200,'15,49.31%,'10.67,'0.76,5.38%,7.24%,'+5.60%,贸易行业
'360,002057.中钢天源,'10.15,'+0.10%,64.93%,'76,'126,'7,32.06%,'40.87,'2.42,1.13%,5.94%,'+41.57%,非金属材料
'361,300860.锋尚文化,'29.50,'-0.47%,64.71%,'56,'93,'6,10.96%,'122.17,'1.78,0.71%,1.44%,'+6.87%,文化传媒
'362,603758.秦安股份,'14.19,'-2.67%,64.27%,'63,'105,'8,12.38%,'40.77,'2.64,2.06%,6.23%,'+77.19%,汽车零部件
'363,688696.极米科技,'107.20,'-0.53%,64.20%,'75,'123,'2,44.03%,'44.78,'2.52,0.28%,5.60%,'+9.37%,家电行业
'364,002613.北玻股份,'3.98,'-0.75%,63.81%,'44,'72,'4,26.90%,'113.58,'1.98,0.75%,1.95%,'-0.70%,玻璃玻纤
'365,603006.联明股份,'13.34,'-0.89%,63.53%,'34,'55,'4,19.26%,'57.24,'2.36,2.82%,4.11%,'+31.56%,汽车零部件
'366,600826.兰生股份,'11.24,'+1.35%,63.31%,'81,'133,'11,25.33%,'28.37,'1.98,2.52%,7.25%,'+34.48%,贸易行业
