序,股票,价,涨,推荐数,北上,扣非PE,PB,股息,ROE,2月内涨,市值.亿,今年来,行业
'54,603997.继峰股份,'11.87,'+0.51%,'7,0.88%,亏损,'3.12,0.00%,'-1.00%,'-10.28%,'150.51,'+3.67%,汽车零部件
'55,603986.兆易创新,'118.28,'+0.24%,'7,6.12%,'73.37,'4.68,0.29%,7.05%,'-1.11%,'785.45,'+11.06%,半导体
'56,600885.宏发股份,'24.57,'+0.20%,'7,20.32%,'21.67,'3.61,1.50%,18.76%,'+8.24%,'358.66,'+9.88%,电网设备
'57,688521.芯原股份,'101.88,'-0.10%,'7,1.11%,亏损,'27.87,0.00%,'-1.00%,'+13.73%,'535.60,'+94.32%,半导体
'58,002225.濮耐股份,'7.53,'+6.51%,'6,0.32%,'106.48,'2.06,0.71%,3.62%,'+44.29%,'71.44,'+52.72%,装修建材
'59,600323.瀚蓝环境,'27.54,'+0.47%,'6,0.68%,'13.42,'1.62,2.90%,12.94%,'+13.47%,'224.55,'+20.56%,环保行业
'60,603893.瑞芯微,'163.20,'+0.74%,'6,3.26%,'100.93,'18.25,0.67%,21.38%,'+14.11%,'686.63,'+49.14%,半导体
'61,601128.常熟银行,'7.68,'+0.26%,'6,3.17%,'6.49,'0.86,2.96%,14.12%,'+3.36%,'254.71,'+15.20%,银行
'62,002701.奥瑞金,'5.47,'+0.18%,'6,2.92%,'20.36,'1.44,2.20%,12.61%,'-4.88%,'139.76,'-1.59%,包装材料
'63,002352.顺丰控股,'46.42,'-0.39%,'6,7.25%,'24.93,'2.51,3.94%,11.32%,'-3.58%,'2247.37,'+16.27%,物流行业
'64,688313.仕佳光子,'57.15,'-0.03%,'6,0.33%,'100.76,'18.85,0.10%,21.30%,'+63.61%,'262.21,'+249.25%,通信设备
'65,002938.鹏鼎控股,'48.37,'-0.68%,'6,2.06%,'32.21,'3.45,2.05%,11.50%,'+66.84%,'1128.89,'+37.02%,电子元件
'66,002768.国恩股份,'39.05,'+4.13%,'6,2.01%,'19.94,'2.02,0.75%,13.78%,'+42.31%,'101.72,'+71.05%,塑料制品
'67,600066.宇通客车,'25.65,'-1.65%,'6,10.72%,'16.04,'4.01,5.85%,29.34%,'+4.52%,'567.88,'+1.02%,汽车整车
'68,601766.中国中车,'7.42,'+0.54%,'6,3.46%,'17.34,'1.24,2.70%,8.66%,'+3.92%,'1805.12,'-11.46%,交运设备
'69,300502.新易盛,'186.40,'+2.17%,'6,5.10%,'44.50,'18.26,0.18%,51.96%,'+80.98%,'1813.03,'+126.69%,通信设备
'70,002028.思源电气,'77.30,'-0.59%,'6,19.90%,'30.66,'4.70,0.64%,18.02%,'+7.27%,'605.29,'+7.05%,电网设备
'71,600732.爱旭股份,'15.01,'+0.67%,'6,1.81%,亏损,'8.43,0.00%,'-1.00%,'+28.18%,'274.13,'+36.21%,光伏设备
'72,300395.菲利华,'76.50,'-1.86%,'6,0.93%,'131.31,'9.59,0.17%,8.30%,'+81.62%,'407.11,'+104.00%,非金属材料
'73,300708.聚灿光电,'12.81,'+1.34%,'6,1.45%,'44.25,'3.12,1.26%,7.41%,'+11.76%,'85.97,'+3.80%,光学光电子
'74,002001.新和成,'22.26,'+0.14%,'6,6.24%,'9.97,'2.23,3.15%,24.43%,'+1.65%,'683.22,'+4.55%,化学制药
'75,002050.三花智控,'27.65,'+2.71%,'6,4.72%,'34.33,'5.60,1.30%,17.44%,'+4.02%,'1004.76,'+18.71%,家电行业
'76,605507.国邦医药,'23.11,'-2.53%,'5,0.79%,'16.09,'1.60,2.62%,10.66%,'+12.35%,'129.14,'+14.18%,化学制药
'77,603588.高能环境,'6.44,'-0.77%,'5,1.91%,'26.80,'1.04,6.25%,5.98%,'+13.18%,'98.10,'+24.44%,环保行业
'78,000568.泸州老窖,'127.58,'+0.45%,'5,2.22%,'13.91,'3.73,1.07%,27.99%,'+12.23%,'1869.53,'+3.10%,酿酒行业
'79,600483.福能股份,'9.59,'+0.21%,'5,0.68%,'8.96,'1.02,3.23%,12.43%,'+2.79%,'266.62,'-0.70%,电力行业
'80,688591.泰凌微,'48.03,'+2.63%,'5,0.53%,'89.05,'4.84,0.43%,5.87%,'+34.65%,'115.63,'+53.60%,半导体
'81,002568.百润股份,'24.87,'-0.40%,'5,0.45%,'38.02,'5.38,1.20%,16.20%,'-10.24%,'262.03,'-10.32%,酿酒行业
'82,300476.胜宏科技,'197.65,'+4.32%,'5,3.21%,'87.94,'16.46,0.16%,21.07%,'+78.73%,'1634.54,'+371.51%,电子元件
'83,000526.学大教育,'54.50,'-1.85%,'5,2.14%,'38.19,'7.93,0.00%,26.87%,'+15.81%,'67.67,'+29.58%,教育
'84,300012.华测检测,'12.36,'+0.08%,'5,15.96%,'23.81,'2.95,0.81%,13.84%,'+9.39%,'207.83,'+0.34%,专业服务
'85,688008.澜起科技,'90.94,'+6.79%,'5,10.07%,'67.99,'8.70,0.43%,15.46%,'+11.88%,'1041.07,'+34.60%,半导体
'86,000725.京东方Ａ,'4.06,'+0.49%,'5,5.57%,'32.91,'1.14,1.24%,4.53%,'+4.12%,'1483.53,'-6.34%,光学光电子
'87,688072.拓荆科技,'166.39,'-0.99%,'5,2.44%,'211.47,'8.98,0.16%,10.83%,'+19.33%,'465.44,'+8.48%,半导体
'88,600690.海尔智家,'25.23,'+0.80%,'5,7.19%,'12.78,'2.01,3.82%,17.29%,'+4.69%,'1578.01,'-8.18%,家电行业
'89,301345.涛涛车业,'160.99,'+5.42%,'5,0.38%,'36.36,'5.16,1.31%,15.07%,'+61.85%,'165.90,'+151.06%,交运设备
'90,603859.能科科技,'44.30,'+2.78%,'5,0.61%,'69.55,'3.68,0.05%,6.48%,'+52.86%,'108.40,'+48.25%,软件开发
'91,002444.巨星科技,'32.40,'+0.68%,'5,1.65%,'16.46,'2.27,1.56%,14.61%,'+30.28%,'384.38,'+0.15%,通用设备
'92,600733.北汽蓝谷,'9.08,'+3.77%,'5,1.21%,亏损,'11.11,0.00%,'-1.00%,'+21.72%,'506.07,'+13.50%,汽车整车
'93,605589.圣泉集团,'32.12,'+0.22%,'5,0.82%,'30.37,'2.71,1.71%,9.29%,'+17.87%,'271.86,'+38.94%,化学制品
'94,603296.华勤技术,'80.22,'+0.19%,'5,1.22%,'31.63,'3.48,1.12%,14.14%,'+13.00%,'814.84,'+14.51%,消费电子
'95,688012.中微公司,'196.06,'+0.45%,'5,9.18%,'86.24,'6.09,0.15%,8.82%,'+18.32%,'1227.62,'+3.82%,半导体
'96,002948.青岛银行,'5.11,'+0.99%,'5,1.83%,'6.79,'0.66,3.16%,10.37%,'-1.94%,'178.54,'+35.89%,银行
'97,603071.物产环能,'13.53,'+0.52%,'5,0.64%,'12.50,'1.33,4.43%,11.81%,'+9.55%,'75.49,'+9.86%,贸易行业
'98,002458.益生股份,'8.92,'-1.00%,'5,0.53%,'31.13,'2.32,2.22%,7.54%,'+8.69%,'99.69,'-5.01%,农牧饲渔
'99,002967.广电计量,'17.49,'+1.16%,'5,2.28%,'31.22,'3.02,2.31%,10.25%,'+4.47%,'100.84,'+9.21%,专业服务
'100,603119.浙江荣泰,'65.09,'+4.08%,'4,0.41%,'105.51,'12.54,0.30%,13.55%,'+50.64%,'236.76,'+192.08%,非金属材料
