序号	基金代码	基金简称	日期	单位净值	累计净值	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来	自定义 
51	13037	长城大健康混	8月5日	1.2184	1.2184	1.58%	0.08%	21.04%	51.77%	95.10%	101.46%	62.97%	30.41%	88.52%	21.84%	97.79%
52	1194	景顺长城稳健	8月5日	2.741	2.806	0.55%	-0.44%	21.50%	43.81%	37.32%	101.25%	91.81%	89.56%	41.29%	186.90%	98.19%
53	1407	景顺长城稳健	8月5日	2.657	2.72	0.57%	-0.41%	21.49%	43.78%	37.24%	100.83%	90.88%	88.04%	41.10%	172.81%	97.84%
54	6881	华宝大健康混	8月5日	2.8995	2.8995	1.82%	-0.57%	16.76%	43.23%	101.47%	100.69%	93.56%	64.81%	95.20%	189.95%	95.93%
55	13038	长城大健康混	8月5日	1.1836	1.1836	1.58%	0.06%	20.96%	51.45%	94.32%	99.86%	60.40%	27.31%	87.63%	18.36%	96.22%
56	18529	华宝大健康混	8月5日	2.8598	2.8598	1.82%	-0.57%	16.69%	43.05%	100.94%	99.60%	91.12%	---	94.57%	60.97%	94.86%
57	19864	浦银安盛高端	8月5日	1.8492	1.8492	0.82%	0.34%	8.90%	13.69%	13.89%	99.57%	---	---	37.89%	84.92%	96.93%
58	14317	广发价值领航	8月5日	1.8157	1.8157	1.53%	-0.23%	5.63%	19.63%	42.21%	98.96%	54.76%	71.41%	47.93%	81.57%	96.46%
59	14318	广发价值领航	8月5日	1.7918	1.7918	1.52%	-0.24%	5.60%	19.51%	41.92%	98.05%	53.43%	69.26%	47.57%	79.18%	95.55%
60	19865	浦银安盛高端	8月5日	1.832	1.832	0.81%	0.33%	8.87%	13.56%	13.66%	97.99%	---	---	37.55%	83.20%	95.39%
61	10115	易方达远见成	8月5日	1.5481	1.5481	1.06%	3.47%	30.59%	80.43%	60.08%	97.64%	32.95%	48.04%	60.98%	54.81%	97.01%
62	17483	财通资管数字	8月5日	1.5359	1.6309	-0.06%	1.05%	15.19%	20.91%	30.89%	97.55%	46.65%	---	45.10%	66.35%	95.17%
63	11673	长城医药科技	8月5日	1.0011	1.0011	1.49%	0.00%	20.11%	50.09%	90.03%	97.03%	61.36%	26.27%	84.06%	0.11%	93.45%
64	11826	汇添富健康生	8月5日	1.6655	1.6655	2.09%	-0.62%	14.51%	40.24%	100.49%	96.98%	98.11%	81.09%	94.18%	66.55%	92.81%
65	5117	金信价值精选	8月5日	1.8799	1.8799	0.28%	0.47%	15.50%	50.77%	72.45%	96.95%	64.08%	47.86%	67.53%	87.99%	91.55%
66	3032	平安医疗健康	8月5日	2.9261	2.9261	2.20%	-2.11%	10.32%	35.95%	88.74%	96.95%	87.65%	53.71%	88.27%	192.58%	93.23%
67	11412	易方达远见成	8月5日	1.5209	1.5209	1.06%	3.46%	30.55%	80.22%	59.76%	96.83%	31.89%	46.27%	60.58%	52.09%	96.22%
68	17484	财通资管数字	8月5日	1.5195	1.6145	-0.06%	1.04%	15.15%	20.79%	30.64%	96.78%	45.49%	---	44.77%	64.65%	94.40%
69	5118	金信价值精选	8月5日	1.613	1.7891	0.27%	0.47%	15.49%	50.73%	72.37%	96.76%	63.74%	47.42%	67.45%	88.89%	91.34%
70	7718	中银创新医疗	8月5日	2.2464	2.3019	3.33%	-0.94%	13.75%	32.09%	90.91%	96.50%	76.70%	62.44%	86.69%	133.53%	90.41%
71	11827	汇添富健康生	8月5日	1.6367	1.6367	2.09%	-0.63%	14.46%	40.09%	100.09%	96.20%	96.53%	78.93%	93.72%	63.67%	92.03%
72	11674	长城医药科技	8月5日	0.9805	0.9805	1.49%	-0.01%	20.06%	49.90%	89.58%	96.06%	59.74%	24.40%	83.51%	-1.95%	92.48%
73	20137	平安医疗健康	8月5日	2.9055	2.9055	2.21%	-2.11%	10.28%	35.66%	88.17%	96.01%	---	---	87.67%	68.48%	92.30%
