序号	基金代码	基金简称	日期	单位净值	累计净值	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来	自定义 
52	3205	财通可转债债	8月5日	1.1339	1.1816	0.75%	1.49%	4.81%	9.98%	12.78%	30.23%	13.37%	-1.06%	12.81%	18.36%	30.12%
53	8817	华宝可转债债	8月5日	1.77	1.77	0.56%	0.92%	6.00%	9.38%	11.29%	29.93%	11.22%	3.01%	17.98%	51.97%	29.48%
54	163816	中银转债增强	8月5日	3.244	3.244	0.67%	0.65%	5.38%	11.11%	10.66%	29.90%	16.53%	10.61%	13.93%	224.40%	29.04%
55	3628	兴银收益增强	8月5日	1.2617	1.5116	0.56%	0.14%	3.87%	8.80%	10.67%	29.46%	17.57%	18.92%	12.94%	56.33%	28.97%
56	163817	中银转债增强	8月5日	3.0801	3.0801	0.67%	0.65%	5.34%	11.01%	10.47%	29.45%	15.71%	9.46%	13.69%	208.01%	28.59%
57	18500	兴银收益增强	8月5日	1.3192	1.4924	0.57%	0.15%	3.87%	8.77%	10.62%	29.35%	17.36%	---	12.90%	18.27%	28.87%
58	40012	华安强化收益	8月5日	1.3824	2.3048	0.65%	0.13%	3.01%	8.04%	9.17%	28.46%	19.04%	22.37%	12.24%	193.55%	27.79%
59	3510	长盛可转债债	8月5日	1.1081	1.5348	0.72%	0.85%	4.69%	10.21%	10.69%	28.10%	7.66%	-9.91%	13.47%	54.95%	27.87%
60	40013	华安强化收益	8月5日	1.3712	2.2099	0.65%	0.12%	2.97%	7.93%	8.97%	27.94%	18.09%	20.84%	11.98%	174.32%	27.29%
61	675011	西部利得稳健	8月5日	1.741	1.896	0.58%	0.75%	5.13%	11.32%	10.82%	27.92%	10.82%	3.32%	12.69%	101.22%	27.27%
62	3511	长盛可转债债	8月5日	1.1002	1.5347	0.71%	0.83%	4.66%	10.13%	10.52%	27.72%	7.01%	-10.73%	13.26%	54.77%	27.47%
63	5246	国泰可转债债	8月5日	1.5583	1.5583	0.72%	0.22%	4.34%	10.67%	9.91%	27.68%	10.02%	-0.92%	12.57%	55.83%	27.34%
64	675013	西部利得稳健	8月5日	1.69	1.815	0.60%	0.72%	5.03%	11.18%	10.60%	27.45%	10.03%	2.11%	12.37%	90.20%	26.88%
65	28	华富安鑫债券	8月5日	1.0731	1.5961	0.48%	0.49%	2.84%	7.75%	10.21%	27.39%	10.98%	6.98%	13.22%	71.93%	26.79%
66	720003	财通收益增强	8月5日	1.6131	1.9621	0.65%	1.29%	6.59%	12.55%	12.30%	27.24%	19.42%	15.45%	13.45%	112.78%	26.48%
67	3204	财通收益增强	8月5日	1.5294	1.8064	0.64%	1.28%	6.55%	12.43%	12.08%	26.72%	18.46%	14.07%	13.17%	92.32%	25.97%
68	3504	景顺长城景颐	8月5日	1.3432	1.397	0.25%	0.23%	4.12%	9.96%	11.35%	26.18%	19.03%	16.07%	12.35%	41.20%	26.13%
69	6898	天弘弘丰增强	8月5日	1.3046	1.3046	0.62%	0.42%	5.10%	12.10%	9.66%	26.15%	7.44%	-0.19%	9.80%	30.46%	25.94%
70	3133	易方达裕鑫债	8月5日	1.6414	1.7104	0.34%	0.82%	3.43%	7.93%	8.93%	25.84%	16.76%	16.04%	10.22%	73.75%	25.14%
71	3505	景顺长城景颐	8月5日	1.314	1.3677	0.25%	0.22%	4.10%	9.85%	11.14%	25.71%	18.10%	14.71%	12.09%	38.13%	25.65%
72	6899	天弘弘丰增强	8月5日	1.2719	1.2719	0.62%	0.40%	5.06%	11.97%	9.44%	25.64%	6.58%	-1.38%	9.53%	27.19%	25.43%
73	3134	易方达裕鑫债	8月5日	1.6322	1.6912	0.34%	0.82%	3.42%	7.88%	8.83%	25.59%	16.29%	15.36%	10.10%	71.21%	24.89%
74	4564	北信瑞丰鼎利	8月5日	1.2652	1.3732	0.83%	0.68%	3.07%	7.55%	10.05%	25.38%	24.61%	22.28%	11.00%	39.96%	24.60%
75	40022	华安可转债债	8月5日	2.102	2.102	0.53%	0.57%	2.89%	7.46%	8.74%	25.34%	13.56%	13.50%	10.34%	110.20%	24.82%
